PublishDate,Sentence
2017-03-01T06:55:00.000Z,傳產股方面，航運股陽明 (2609) 挾低價轉機題材衝高大漲，激勵類股逆勢收紅；鋼鐵股龍頭中鋼 (2002) 第二季內銷盤價持續大漲，帶動盛餘 (2029) 、中鴻 (2014) 、聚亨 (2022) 、燁興 (2007) 、海光 (2038) 等紅光滿面。
2017-03-01T06:55:00.000Z,傳產股方面，航運股陽明 (2609) 挾低價轉機題材衝高大漲，激勵類股逆勢收紅；鋼鐵股龍頭中鋼 (2002) 第二季內銷盤價持續大漲，帶動盛餘 (2029) 、中鴻 (2014) 、聚亨 (2022) 、燁興 (2007) 、海光 (2038) 等紅光滿面。
2017-03-09T07:06:00.000Z,鋼鐵類股受龍頭中鋼跌逾 1% 拖累，聚亨、第一銅、燁興、盛餘、豐興、允強、東明 - KY、海光、美亞等也都下跌超過 1%。
2018-01-11T07:12:00.000Z,傳產股方面，鋼鐵股受惠報價看漲、大陸冬季限產等利多持續火熱，中鋼構 (2013) 、新鋼 (2032) 、佳大 (2033) 、海光 (2038) 盤中漲停表現相對搶眼；台塑四寶去年獲利交出豐收大驚喜，台化 (1326) 以9.3元勇奪EPS冠軍激勵股價走高，其餘三寶則呈現利多出盡走勢。
2018-01-25T07:12:00.000Z,傳產股方面，汽車股在和泰車 (2207) 催油門飆高下，帶動類指大漲3%最為剽悍，塑化、鋼鐵等原物料族群亦表現亮眼，海光 (2038) 強拉漲停，帶動第一銅 (2009) 、彰源 (2030) 、大成鋼 (2027) 、中鴻 (2014) 等攜手強彈；台塑四寶台塑 (1301) 、南亞 (1303) 、台化 (1326) 、台塑化 (6505) 亦聯手上攻。
2018-01-25T03:02:00.000Z,  非電子股方面，今日則以原物料相關較有表現空間，塑化、鋼鐵類股不淡，海光 (2038) 攻上漲停，第一銅 (2009) 大漲6%，彰源 (2030) 漲幅逾4%，大成鋼 (2027) 、官田鋼 (2017) 、中鋼構 (2013) 等漲幅也都超過2.5%；台塑四寶中台塑 (1301) 、南亞 (1303) 、台化 (1326) 漲幅皆於1.5%~2%區間強勢震盪。
2018-01-31T02:06:00.000Z,  4.海光 (2038) ：昨外資轉買超，激勵早盤股價強漲逾5%。
2018-01-31T02:06:00.000Z,  4.海光 (2038) ：昨外資轉買超，激勵早盤股價強漲逾5%。
2018-02-09T02:18:00.000Z,  6.海光 (2038) ：1月營收月增2.73%、年增176.43%，另具重建題材，早盤股價開低後逆漲逾2%。
2018-02-22T02:19:00.000Z,  3.海光 (2038) ：股價已箱型整理近月，今日人氣爆發，激勵股價逆勢衝上12.55元漲停價。
2018-02-23T07:06:00.000Z,傳產股方面，造紙股重獲買盤關愛，正隆 (1904) 、華紙 (1905) 、寶隆 (1906) 、永豐餘 (1907) 、榮成 (1909) 等放量大漲，帶動類指飆升逾5%盤面最火；中鋼 (2002) Q2盤價續看漲，帶動鋼鐵股新鋼 (2032) 、志聯 (2024) 、海光 (2038) 、佳大 (2033) 紅通通。
2018-03-05T06:26:00.000Z,　美國總統川普在1日宣布將長期對進口鋼鐵、鋁材分別課徵25%、10%的關稅，預計本周簽署生效，點燃全球貿易戰火，讓原本認為通膨蠢蠢欲動，資金力拱的鋼鐵類股及原物料個股挨了一記悶棍，在全球貿易戰開打下，雖然美股在上周五開低收高，科技類股更止跌反彈，台股今天亦在台積電 (2330) 、智原 (3035) ，以及供不應求的被動元件個股—國巨 (2327) 、華新科 (2492) 大漲帶動下以高盤開出，但居高思危獲利了結賣壓出籠，鋼鐵類股等原物料股今天都遭逢不小的獲利了結賣壓，中鴻 (2014) 、官田鋼 (2017) 、海光 (2038) 、世紀鋼 (9958) 同步走弱，中鴻更被打至跌停板作收，台玻 (1802) 、榮成 (1909) 、寶隆 (1906) 等盤中股價亦拉回修正，傳產股積弱不振，電子股亦只演了半場好戲，股王—大立光 (3008) 股價以3700元作收，具題材顯卡概念股—美桀 (5255) 及撼訊 (6150) 盤中雖然漲停，但收盤未能收高，增添市場疑慮，加重台股跌勢，指數失守10650點，終場加權股價指數為10642.9點，下跌55.27點，成交量為1119.83億元；OTC指數為146.69點，下跌1.1點，成交量為306.58億元。
2018-04-02T07:10:00.000Z,清明長假壓抑買盤，台股今日在10900點附近偏空震盪，個股漲跌互見，風電概念股-上緯控投 (3708) 漲停作收，虛擬貨幣概念股-撼訊 (6150) ，以及微星 (2377) 、海光 (2038) 、志聯 (2024) 、承啟 (2425) 同樣在盤中亮紅燈，但上週強勢的國巨 (2327) 等被動元件個股及中小型股股價賣壓湧出，股價急轉直下。
2018-04-02T07:10:00.000Z,清明長假壓抑買盤，台股今日在10900點附近偏空震盪，個股漲跌互見，風電概念股-上緯控投 (3708) 漲停作收，虛擬貨幣概念股-撼訊 (6150) ，以及微星 (2377) 、海光 (2038) 、志聯 (2024) 、承啟 (2425) 同樣在盤中亮紅燈，但上週強勢的國巨 (2327) 等被動元件個股及中小型股股價賣壓湧出，股價急轉直下。
2019-08-02T02:11:00.000Z, 3.海光 (2038) ：股價跌多且深，加上具風電題材，今早挾量逆勢彈升約0.5%。
2019-08-02T02:11:00.000Z, 3.海光 (2038) ：股價跌多且深，加上具風電題材，今早挾量逆勢彈升約0.5%。
2019-09-04T05:44:00.000Z,　傳產股有13家，包括海光、東元、亞德客-KY、統一超、寶雅、富邦媒、台灣高鐵、聚陽、統一、億豐、中裕、葡萄王、大江等，金融股僅有國泰金、中信金及富邦金等3家。
2019-09-04T05:44:00.000Z,　傳產股有13家，包括海光、東元、亞德客-KY、統一超、寶雅、富邦媒、台灣高鐵、聚陽、統一、億豐、中裕、葡萄王、大江等，金融股僅有國泰金、中信金及富邦金等3家。
2019-10-02T23:50:00.000Z,　除了周邊零組件目標朝自製之外，中國大陸也期望開發出長期被美商把持的CPU產品，現陸系廠商各自瞄準x86、ARM及新興的RISC-V等架構，舉凡華為旗下海思、中天微及天津海光等半導體廠都正積極研發自製CPU，且目標是近幾年內就要量產，在陸官方支持，陸半導體廠都正朝向最先進製程開發產品。
2019-10-02T23:50:00.000Z,　除了周邊零組件目標朝自製之外，中國大陸也期望開發出長期被美商把持的CPU產品，現陸系廠商各自瞄準x86、ARM及新興的RISC-V等架構，舉凡華為旗下海思、中天微及天津海光等半導體廠都正積極研發自製CPU，且目標是近幾年內就要量產，在陸官方支持，陸半導體廠都正朝向最先進製程開發產品。
2019-11-28T07:12:26.000Z,鋼鐵股力拉尾盤，收上紅盤，海光 (2038) 、東鋼 (2006) 等個股擁抱利多，齊步力拱上位。
2019-11-28T07:12:00.000Z,鋼鐵股力拉尾盤，收上紅盤，海光 (2038) 、東鋼 (2006) 等個股擁抱利多，齊步力拱上位。
2020-01-10T07:05:59.000Z,台股周五開漲38.64點在12009.27點，蘋概三雄領軍，帶動指數重返12000行情，一度走揚至12038.21點，惟上檔有月線反壓，多空在萬二關卡糾結，台積電亦盤中翻黑，萬二得而復失、大盤曾翻黑震盪，而選前尾盤百億元買盤助陣，成功收復月線、萬二整數關，站上所有短均線，終場收漲54.02點或0.45%，報12024.65點，大選前觀望，成交金額略縮至1274.02億元。
2020-01-10T07:05:00.000Z,台股周五開漲38.64點在12009.27點，蘋概三雄領軍，帶動指數重返12000行情，一度走揚至12038.21點，惟上檔有月線反壓，多空在萬二關卡糾結，台積電亦盤中翻黑，萬二得而復失、大盤曾翻黑震盪，而選前尾盤百億元買盤助陣，成功收復月線、萬二整數關，站上所有短均線，終場收漲54.02點或0.45%，報12024.65點，大選前觀望，成交金額略縮至1274.02億元。
2020-01-10T03:12:00.000Z,台股昨天大漲逾150點後，今天開高震盪，台股加權指數11時5分來到12005.34點，上漲34.71點，成交值來到762.53億元，早盤高點上漲至12038.21點，短暫收復月線與12000點整數關卡。
2020-08-26T02:12:44.000Z,"
4.海光(2038)：風電題材護價，昨外資又轉買超，盤初股價一度逆漲逾4.5%。"
