PublishDate,Sentence,Score
2018-10-01T06:36:00.000Z, 中小型股—環科 (2412) 、橙的 (4554) 、盛弘 (8403) 、易華電 (6552) 、永昕 (4726) 、國光生 (4142) 及達邦蛋白 (6578) 均以漲停作收，搭配台積電及鴻海 (2317) 穩盤，電子類族重掌多頭大旗，帶動台股指數開高走高，尾盤雖然小幅拉回，但仍順利站上11050點，不過市場追價意願不足，成交量呈現萎縮，未達千億元水準，終場加權股價指數為11051.8點，上漲45.46點，成交量為928.65億元；OTC指數為134.81點，上漲1.23點，成交量為193.64億元。,5
2018-10-04T06:25:00.000Z,微軟 Azure 硬體基礎架構總經理工程師威德(Kushagra Vaid)表示，微軟、台積電和益華電腦(Cadence) 三強聯手，協助新創晶片設計公司 SiFive運用台積電全新 OIP VDE 推出完整的系統單晶片(SoC)設計。,4
2018-10-04T06:25:00.000Z,OIP VDE 是布署在微軟 Azure 上，且由益華電腦雲端代管設計方案提供的服務。,0
2018-10-04T02:32:00.000Z,」Kushagra Vaid指出：「微軟、台積電和益華電腦(Cadence)三強聯手，協助新創晶片設計公司SiFive運用台積電全新OIP VDE推出完整的系統單晶片(SoC)設計。,4
2018-10-04T02:32:00.000Z,OIP VDE是佈署在微軟Azure上，且由益華電腦雲端代管設計方案提供的服務。,0
2018-10-04T02:32:00.000Z,此設計架構由SiFive與益華電腦(Cadence)於微軟Azure運算雲端平台上聯手完成，搭載 SiFive自行開發的64位元多核開放原始碼指令集架構(Multi-Core RISC-V CPU)製成的Freedom Unleashed系列首款高端處理器U540，可運行 RISC-V Linux系統與應用。,3
2018-10-04T00:51:00.000Z,此外，台積電亦宣布成立OIP平台雲端聯盟啟動，合作創始成員包括亞馬遜雲端服務（AWS）、益華電腦（Cadence）、微軟Azure、新思科技（Synopsys）等。,2
2018-10-04T00:51:00.000Z,　OIP VDE是台積電與OIP上最新成立的雲端聯盟的創始成員合作，包括亞馬遜AWS、益華電腦、微軟Azure、新思科技的合作成果，在雲端提供RTL-to-GDSII的數位設計以及schematic capture-to-GDSII的客製化設計能力。,3
2018-10-04T00:51:00.000Z,同時，為了降低客戶首度採用雲端的門檻，並且確保客戶獲得充分的技術支援，益華電腦與新思科技將扮演單一窗口的角色，協助客戶架設VDE並且提供第一線的支援。,3
2018-10-04T00:46:00.000Z,　　OIP VDE是台積電與OIP上最新成立的「雲端聯盟」的創始成員合作，包括亞馬遜雲端服務(AWS)、益華電腦(Cadence)、微軟Azure(Microsoft Azure)以及新思科技(Synopsys)的合作成果，在雲端提供RTL-to-GDSII 的數位設計以及schematic capture-to-GDSII 的客製化設計能力。,3
2018-10-24T10:42:00.000Z,台灣永續指數10大成分股包含台積電 (2330) 、鴻海 (2317) 、聯發科 (2454) 、南亞 (1303) 、國泰金 (2882) 、富邦金 (2881) 、中華電 (2412) 、中信金 (2891) 、統一 (1216) 、中鋼 (2002) 等電金傳產3大族群權值股。,0
2018-10-25T02:05:00.000Z, 15.中華電 (2412) ：大盤弱勢格局之際，高防禦性股成資金避風港，中華電獲投信連續買超逾10日，早盤股價表現硬頸。,-1
2018-10-29T09:09:00.000Z,華為今(29)日舉辦下半年旗艦機Hauwei Mate20新機發表會，不僅有5家電信業者中華電 (2412) 、台灣大 (3045) 、遠傳 (4904) 、亞太電 (3682) 以及台灣之星強勢站台，台灣一線大廠品牌供應鏈一字排開站台，除大立光 (3008) 董事長林恩舟以及矽品董事長林文伯外，還有台積電 (2330) 、億光 (2392) 、精元 (2387) 、欣興 (3037) 、華通 (2313) 、嘉聯益 (6153) 、華晶科 (3046) 、晶技 (3042) 等大廠，針對美中貿易戰，林恩舟直言，今年還看不明顯，擔心明年狀況。,-1
2018-10-30T07:08:00.000Z,2018年台灣投入研發經費最多的十大企業依序為：鴻海 (2317) 、台積電 (2330) 、聯發科 (2454) 、台達電 (2308) 、華碩電腦 (2357) 、緯創資通 (3231) 、聯華電子 (2303) 、和碩聯合科技 (4938) 、群創光電 (3481) 、廣達電腦 (2382) 。,1
