PublishDate,Sentence,Score
2018-12-05T07:13:00.000Z,盤面上僅油電燃氣、百貨、通信股守住紅盤，裕隆集團因嚴陳莉蓮接班穩住軍心，裕隆 (2201) 、嘉裕 (1417) 、中華 (2204) 報以漲聲；電信股再成貿易戰避風港，三雄中華電 (2412) 、台灣大 (3045) 、遠傳 (4904) 及網通股兆赫 (2485) 、仲琦 (2419) 、盛達 (3027) 等突圍向上；漲價概念股僅MOSFET的尼克森 (3317) 剽悍強彈，其餘包括被動元件、矽晶圓、二極體等全面拉回整理。,8
2018-12-10T06:47:00.000Z,　雖然內資力挺中小型股的立凱-KY (5227) 、公準 (3178) 、類比科 (3438) 、霈方 (6574) 及傳奇 (4994) 強攻漲停板作收，法人作帳標的如台光電 (2383) 、雙鴻 (3324) 、欣興 (3037) 、聚積 (3527) 、易華電 (6552) 、亞德客-KY (1590) 、台燿 (6274) 及杰力 (5299) 強攻，但11月營收表現不佳的國巨 (2327) 及康控-KY (4943) ，被台灣50指數刪除的華新科 (2492) 同步重挫，台股指數開低走低，大跌逾百點作收，失守9650點，終場加權股價指數為9647.54點，下跌113.34點，成交量為980.67億元；OTC指數為123.74點，下跌1.72點，成交量為283.87億元。,-5
2018-12-22T06:14:00.000Z,　權值股今日偏弱，統一超 （2912） 、中華電 （2412） 漲近0.5％較強，台達電 （2308） 、中信金 （2891） 、統一 （1216） 小漲。,1
2018-12-25T07:05:00.000Z,近期因轉機題材漲多的IC載板族群易華電 (6552) 、南電 (8046) 、欣興 (3037) 、景碩 (3189) 因調節賣壓出籠集體跳水。,-2
2018-12-28T07:09:00.000Z,台股封關日交投清淡，在三巨頭大立光 (3008) 、台積電 (2330) 、鴻海 (2317) 攜手穩盤，加上傳產的台塑四寶及金融股聯手護體下，指數多於平盤附近震盪，尾盤在權值股大立光 (3008) 、台積電 (2330) 、聯發科 (2454) 、中華電 (2412) 等獲買單敲進下，拉抬指數擺尾收高，終場加權股價指數收在今日最高點9721.41點，上漲85.85點為，站上月線及9700點大關，成交值縮為737.75億元。,6
2018-12-28T07:09:00.000Z,　權值股今日成穩盤要角，鴻海 (2317) 、友達 (2409) 、群創 (3481) 震盪整理，大立光 (3008) 、台積電 (2330) 、聯發科 (2454) 、中華電 (2412) 甩尾勁揚。,2
2018-12-28T02:51:00.000Z,觀察向來是資金避風港的電信股，台灣大哥大 (3045) 今天早盤湧近約萬張大量下跌1.4%，至105元，成交值位居台股第3名；中華電小漲約0.5%，至107元，成交量約1700張。,-1
2018-12-29T08:54:00.000Z,台股2018年封關前夕急起直追，仍無法挽回年跌8.6％的疲態，以蘋概三王為首的電子股今年股價跌不休，鴻海 （2317） 、台積電 （2330） 、大立光 （3008） 市值蒸發千億元起跳，反觀中華電 （2412） 在28日獲買盤強拉，封關日跳居市值增加最多的個股，台股今年市值增減，電子哭、傳產笑。,-3
2018-12-29T08:54:00.000Z,　市值增加最多的前十檔，分別是中華電、台灣高鐵、台泥、大成鋼、大江、統一超、豐泰、兆豐金、玉山金、華新科，市值增加238～543億元不等，除華新科屬電子股外，其餘都是非電股，其中以傳產股占7檔最多。,1
2018-12-29T08:54:00.000Z,　有趣的是，台灣高鐵在封關前一日，還穩居市值增加第一名寶座，不過中華電昨日最後一盤上演大驚奇，多方強拉5.61％，終場大漲6.1％收113元，單日市值大增504.3億元，全年市值增加543.1億元，一舉擠下台灣高鐵，成為今年市值增加最多個股。,11
