PublishDate,Sentence
2017-12-22T14:10:00.000Z,不過，數字會說話，根據統計，近3年增加不動產、廠房及設備成本的前10大上市公司，除了台積電外，排名第2的聯電 (2303) 投資金額僅1230億元，鴻海集團 (2317) 更只有群創 (3481) 以664億元排上第3，國泰金控 (2882) 、富邦金控 (2881) 雖然分居第4、第10，但因壽險業主要增加以不動產為主，對於GDP的成長貢獻度相對製造業有限。
2018-02-12T03:10:00.000Z,　根據投信統計，截至上周為止，台股市值增加最多的公司為晶圓代工龍頭台積電 （2330） ，增加1.21兆元；其次是環球晶 （6488） 增加1230億元排名第二、聯發科 （2454） 1098億元排名第三，此外，台塑化 （6505） 、南亞科 （2408） 、國巨 （2327） 、國泰金 （2882） 、統一 （1216） 、穩懋 （3105） 、鴻海 （2317） 及可成 （2474） 市值則增加600億元水準。
2018-05-03T07:18:00.000Z,聯準會宣布維持利率不變，惟市場仍憂心中美貿易談判，抵銷蘋果財報利多，周三美股四大指數全面收黑，台股今日在台積電 (2330) 、鴻海 (2317) 領跌下，開盤跳空跌破年線，指數再度壓回所有均線之下，台達電 (2308) 、聯發科 (2454) 、台塑四寶、台泥 (1101) 、亞泥 (1102) 等權值股表現弱勢，以及國泰金 (2882) 、富邦金 (2881) 等金融股疲軟，盤中指數跌幅擴大至百點，最低來到10509.03點，股王大立光 (3008) 尾盤亦翻黑，終場加權指數下跌104.63點為10514.18點，成交值縮小1230.52億元。
2018-05-03T06:05:00.000Z,台股在台積電 (2330) 、鴻海 (2317) 及金控股等大型股領跌下，開盤跳空跌破年線，指數一度震盪收低，終場以10514.18點作收，下跌104.63點，成交金額1230.51億元。
2018-05-03T07:18:00.000Z,聯準會宣布維持利率不變，惟市場仍憂心中美貿易談判，抵銷蘋果財報利多，周三美股四大指數全面收黑，台股今日在台積電 (2330) 、鴻海 (2317) 領跌下，開盤跳空跌破年線，指數再度壓回所有均線之下，台達電 (2308) 、聯發科 (2454) 、台塑四寶、台泥 (1101) 、亞泥 (1102) 等權值股表現弱勢，以及國泰金 (2882) 、富邦金 (2881) 等金融股疲軟，盤中指數跌幅擴大至百點，最低來到10509.03點，股王大立光 (3008) 尾盤亦翻黑，終場加權指數下跌104.63點為10514.18點，成交值縮小1230.52億元。
2018-05-03T06:05:00.000Z,台股在台積電 (2330) 、鴻海 (2317) 及金控股等大型股領跌下，開盤跳空跌破年線，指數一度震盪收低，終場以10514.18點作收，下跌104.63點，成交金額1230.51億元。
2018-07-02T06:02:00.000Z,被動元件族群股價上揚，國巨 (2327) 上漲105元，收1230元，漲幅逾9%，華新科 (2492) 漲停收458.5元，禾伸堂 (3026) 漲停收269.5元，奇力新 (2456) 上漲13.5元，漲幅近8%，收192元。
2018-07-02T06:02:00.000Z,被動元件族群股價上揚，國巨 (2327) 上漲105元，收1230元，漲幅逾9%，華新科 (2492) 漲停收458.5元，禾伸堂 (3026) 漲停收269.5元，奇力新 (2456) 上漲13.5元，漲幅近8%，收192元。
2018-11-16T02:59:00.000Z,至10時40分左右，台股加權指數來到9823.13點，下跌3.33點，跌幅0.03%，成交值新台幣581.14億元，預估量能約1230億元。
2019-04-26T02:06:00.000Z," 11.凱美 (5317) ：受到處分雲林廠獲利8,000萬元激勵，第一季歸屬於母公司淨利達4.39億元，年增1230％，每股稅後純益2.87元，股價漲4.91%。"
2019-08-08T06:41:00.000Z,加權股價指數終場上漲108.31點、漲幅1.04%，收在10494.49點，成交值新台幣1230.55億元。
2019-10-22T02:44:00.000Z,到10時14分，台股加權指數來到11230.02點，上揚45.87點，漲幅0.41%，成交值來到新台幣565.3億元。
2019-11-01T09:12:31.000Z,"
22.美利達 (9914) ：每股成交價178.87元，成交量22萬9000股，成交金額4096萬1230元。"
2019-11-01T09:12:31.000Z,"
22.美利達 (9914) ：每股成交價178.87元，成交量22萬9000股，成交金額4096萬1230元。"
2020-07-31T01:16:00.000Z,"」
&nbsp;
（封面合成示意圖／翻攝自謝金河臉書／維基百科）
更多東森財經新聞報導
<a href=""https://fnc.ebc.net.tw/FncNews/headline/123017?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">李登輝逝世 蔡英文不捨哀悼：國家莫大損失</a>
<a href=""https://fnc.ebc.net.tw/FncNews/headline/123016?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">放下恩怨！"
2020-07-31T01:16:00.000Z,"」
&nbsp;
（封面合成示意圖／翻攝自謝金河臉書／維基百科）
更多東森財經新聞報導
<a href=""https://fnc.ebc.net.tw/FncNews/headline/123017?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">李登輝逝世 蔡英文不捨哀悼：國家莫大損失</a>
<a href=""https://fnc.ebc.net.tw/FncNews/headline/123016?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">放下恩怨！"
2020-09-24T06:06:39.000Z,台股今天開盤跳空大跌百點，盤中跌勢不止，終場下跌319.5點，收在今天低點12264.38點，跌幅2.54%，失守季線12577點，也摜破12300點關卡，交易值新台幣2434.99億元，台股大量收黑。
2020-09-24T03:07:36.000Z,"
截至10時55分，指數下跌282.86點，為12301.02點，成交值1381億元。"
