PublishDate,Sentence
2019-01-07T07:13:00.000Z,而今年拚轉盈的艾美特-KY (1626) 和營運表現亮眼的達豐科 (3004) 今日大步攻上漲停。
2019-01-07T02:12:00.000Z, 6.艾美特-KY (1626) ：深圳舊廠開發，預計2021年完工，今早爆量觸及漲停慶賀。
2019-05-06T02:13:00.000Z, 8.艾美特-KY (1626) ：Q1獲利告捷+外資近期持續買超，推升早盤股價逆漲逾3%。
2019-05-08T02:02:00.000Z, 5.艾美特-KY (1626) ：外資近期偏多布局，早盤股價一度衝高至22.7元，惟上方季線反壓不輕，漲幅旋即縮減。
2019-08-23T02:09:16.000Z,"
6.艾美特-KY (1626) ：今年力拚獲利，外資連日買超相挺，昨挾量攻克月線後，今早續漲逾6%、達31.9元。"
2019-08-23T02:09:00.000Z, 6.艾美特-KY (1626) ：今年力拚獲利，外資連日買超相挺，昨挾量攻克月線後，今早續漲逾6%、達31.9元。
2019-08-27T02:08:00.000Z, 7.艾美特-KY (1626) ：外資近期偏多操作，明日法說在即，早盤股價漲逾5%暖身。
2019-09-19T02:05:42.000Z,"
31.艾美特-KY (1626) ：成長動能強勁，挑戰全年EPS逾3元，昨外資賣超縮手，早盤股價反彈近4%。"
2019-09-19T02:05:00.000Z, 31.艾美特-KY (1626) ：成長動能強勁，挑戰全年EPS逾3元，昨外資賣超縮手，早盤股價反彈近4%。
2019-09-25T02:06:01.000Z,"
32.艾美特-KY (1626) ：Q3若不虧損，法人估全年EPS有望挑戰逾2.5元，外資昨日賣超縮手，早盤股價微漲，站回5日線。"
2019-09-25T02:06:00.000Z, 32.艾美特-KY (1626) ：Q3若不虧損，法人估全年EPS有望挑戰逾2.5元，外資昨日賣超縮手，早盤股價微漲，站回5日線。
2019-10-24T02:11:15.000Z,"
25.艾美特-KY (1626) ：預計11月現增資金到位，全年EPS有望創6年新高，外資昨反手轉買，早盤續漲逾2%。"
2019-10-24T02:11:00.000Z, 25.艾美特-KY (1626) ：預計11月現增資金到位，全年EPS有望創6年新高，外資昨反手轉買，早盤續漲逾2%。
2019-12-16T02:05:00.000Z, 15.艾美特-KY (1626) ：完成1.2萬張現增案，早盤跳漲4%，收復周線，向30元靠攏。
2019-12-23T02:16:08.000Z,"
25.艾美特-KY (1626) ：搶攻個人化小家電，明年業績拚增5%，20日賣超減幅，早盤多頭敲進，一度漲逾3%、收復月線。"
2019-12-23T02:16:00.000Z, 25.艾美特-KY (1626) ：搶攻個人化小家電，明年業績拚增5%，20日賣超減幅，早盤多頭敲進，一度漲逾3%、收復月線。
2020-01-09T09:12:47.000Z,"
17.可成 (2474) ：每股成交價235.69元，成交量6萬9000股，成交金額1626萬2610元。"
2020-02-13T09:17:07.000Z,"
10.鴻海 (2317) ：每股成交價84.7元，成交量19萬2000股，成交金額1626萬2400元。"
2020-02-21T02:09:14.000Z,"
4.艾美特-KY (1626) ：財報公布在即，早盤量增價漲近2.5%。"
2020-02-21T02:09:00.000Z,  4.艾美特-KY (1626) ：財報公布在即，早盤量增價漲近2.5%。
2021-02-18T07:50:00.000Z,（中央社記者鍾榮峰台北2021年2月18日電）因應產能擴增需求，台積電 (2330) 供應鏈之一、EUV光罩盒大廠家登 (3680) 再投資新台幣9.1億元，取得新北市土城區土地不動產約1626坪，興建廠辦。
