PublishDate,Sentence
2017-01-18T06:53:00.000Z,　光電股再扮多方領頭羊，股王大立光盤中高點4450元及收盤4445元，再度改寫歷史新高，玉晶光 (3406) 、亞光 (3019) 、華晶科 (3059) 盤中同步漲停；太陽能族群環球晶 (6488) 、中美晶 (5483) 、合晶 (6182) 、嘉晶 (3016) 熱烘烘；雙D族群合力突圍，面板雙虎友達 (2409) 、群創 (3481) 攜手喊衝，記憶體族群華邦電 (2344) 、旺宏 (2337) 齊步走揚；電玩展明登場，遊戲股宇峻 (3546) 、網龍 (3083) 、昱泉 (6169) 、隆中 (6542) 及歐買尬 (3687) 勁歌熱舞。
2017-05-23T06:45:00.000Z,  盤面上，遊戲新股王大宇資訊 (6111) 繼續衝上櫃新高價229.5元，以漲停作收，帶動遊戲族群走高，以上櫃遊戲指數來看，今天盤中漲幅達3.08％，創下去年9月以來的新高，激勵智冠 (5478) 、網龍 (3083) 、隆中 (6542) 、歐買尬 (3687) 、傳奇 (4994) 聯袂飆漲收高，成為今日多頭指標。
2018-01-02T07:12:00.000Z,　台股新春開紅盤，在雙王台積電 (2330) 、大立光 (3008) 聯袂領軍上演慶祝行情，帶動玉晶光 (3406) 、亞光 (3019) 、新鉅科 (3630) 等光學股紅光滿面；遊戲股受到TGS展加持及寒假旺季將至，歐買尬 (3687) 、隆中 (6542) 、遊戲橘子 (6180) 及網龍 (3083) 攜手漲停；整流二極體漲聲響起，概念股強茂 (2481) 、德微 (3675) 、台半 (5425) 、虹揚-KY (6573) 齊聲飆高。
2018-01-02T06:20:00.000Z,在類股表現方面，航運股受惠美國線擬調漲運價，由長榮海 (2603) 率先發起攻勢，盤中拉上漲停價17.95元，創去年11月以來新高，陽明 (2609) 跟漲近8%；遊戲股則由歐買尬 (3687) 、隆中 (6542) 、橘子 (6180) 、網龍 (3083) 紛紛亮燈漲停下，帶動大宇資 (6111) 、辣椒 (4946) 聯袂大漲。
2018-01-02T06:20:00.000Z,  盤面上，台北國際電玩展25日舉行、寒假即將來臨及紅包行情啟動，遊戲族群多頭士氣如虹，表現十分強勢，橘子 （6180） 、網龍 （3083） 、隆中 (6542) 、歐買尬 (3587) 今日全數收在漲停。
2018-01-02T07:12:00.000Z,　台股新春開紅盤，在雙王台積電 (2330) 、大立光 (3008) 聯袂領軍上演慶祝行情，帶動玉晶光 (3406) 、亞光 (3019) 、新鉅科 (3630) 等光學股紅光滿面；遊戲股受到TGS展加持及寒假旺季將至，歐買尬 (3687) 、隆中 (6542) 、遊戲橘子 (6180) 及網龍 (3083) 攜手漲停；整流二極體漲聲響起，概念股強茂 (2481) 、德微 (3675) 、台半 (5425) 、虹揚-KY (6573) 齊聲飆高。
2018-01-02T06:20:00.000Z,在類股表現方面，航運股受惠美國線擬調漲運價，由長榮海 (2603) 率先發起攻勢，盤中拉上漲停價17.95元，創去年11月以來新高，陽明 (2609) 跟漲近8%；遊戲股則由歐買尬 (3687) 、隆中 (6542) 、橘子 (6180) 、網龍 (3083) 紛紛亮燈漲停下，帶動大宇資 (6111) 、辣椒 (4946) 聯袂大漲。
2018-01-02T06:20:00.000Z,  盤面上，台北國際電玩展25日舉行、寒假即將來臨及紅包行情啟動，遊戲族群多頭士氣如虹，表現十分強勢，橘子 （6180） 、網龍 （3083） 、隆中 (6542) 、歐買尬 (3587) 今日全數收在漲停。
2018-05-17T07:10:00.000Z,遊戲、顯示卡、光學族群今日強勢表態，遊戲族群受惠暑假旺季將至，智冠 (5478) 、橘子 (6180) 、大宇資 (6111) 、辣椒 (4946) 、網龍 (3083) 及歐買尬 (3687) 盤中齊攻漲停，顯示卡族群微星 (2377) 、技嘉 (2376) 聯袂走高，光學股明光 (3504) 、亞光 (3019) 表現強過大盤。
2018-05-17T06:15:00.000Z,  遊戲族群今受惠騰訊財報亮眼，遊戲業務恢復成長，激勵市場看好遊戲業景氣，加上暑期旺季將至，智冠 (5478) 、遊戲橘子 (6180) 、大宇資 (6111) 、辣椒 (4946) 、網龍 (3083) 、歐買尬 (3687) 全數漲停，智冠、大宇資及宇峻 (3546) 也重新觸及百元價位。
2018-11-26T02:07:00.000Z, 8.歐買尬 (3687) ：侵權案獲釐清，士林地檢署不起訴，多方鬆口氣，跳登漲停。
2018-12-26T07:11:00.000Z,盤面上僅部分族群零星點火，包括LED族群的晶電 (2448) 、光鋐 (4956) 和榮創 (3437) 等閃閃發光，5G概念股亞信 (3169) 、智邦 (2345) 、友訊 (2332) 、盛達 (3027) 、台嘉碩 (3221) 等強勢表態，遊戲股因大陸重啟審批鼓舞，歐買尬 (3687) 和傳奇 (4994) 逆勢勁揚。
2018-12-27T02:08:00.000Z, 13.歐買尬 (3687) ：迎接寒假、農曆新年旺季，營運添活水，股價突破季線後多方信心大增，早盤再拉抬7%。
2019-01-17T07:05:00.000Z,遊戲股因寒假將至提前開趴，昱泉 (6169) 、歐買尬 (3687) 、橘子 (6180) 和宇峻 (3546) 勁歌熱舞。
2019-03-13T07:07:00.000Z,遊戲股網龍 (3083) 挾業績題材走高，帶動尚凡 (5278) 、鈊象 (3293) 、大宇資 (6111) 、歐買尬 (3687) 、橘子 (6180) 、宇峻 (3546) 齊步走揚。
2019-04-10T07:10:00.000Z,台股在雙王大立光 (3008) 、台積電 (2330) 雙雙熄火下，改由鴻海 (2317) 挑大樑，力撐10800點大關，相對其他亞股抗跌，挖礦族群撼訊 (6150) 、創意 (3443) 等因陸揮重拳應聲重挫，IC載板易華電 (6552) 、南電 (8046) 及遊戲族群歐買尬 (3687) 、網龍 (3083) 、大宇資 (6111) 人氣強強滾，午盤過後買盤進場點火，拉升指數由黑翻紅，終場加權股價指數上漲16.54點為10868.14點，呈現連七漲走勢，成交值為1284.66億元。
2019-04-10T07:10:00.000Z,遊戲族群買盤強勁，歐買尬 (3687) 、網龍 (3083) 、大宇資 (6111) 、鈊象 (3293) 、昱泉 (6169) 熱鬧開趴。
2019-08-21T07:16:00.000Z,台股晨盤在雙王台積電 (2330) 、大立光 (3008) 熄火，金融股國泰金 (2882) 、玉山金 (2884) 等亦出現回檔，壓抑指數於平盤附近遊蕩，盤面上以面板雙虎群創 (3481) 、友達 (2409) 及遊戲股網龍 (3083) 、隆中 (6542) 、歐買尬 (3687) 、智冠 (5478) 、大宇資 (6111) 等表現相對帶勁，終場加權股價指數上漲3.3點為10525.8點，成交值縮為1088.32億元。
2019-08-21T07:16:00.000Z,遊戲族群受惠「2019科隆電玩展」登場，在網龍 (3083) 、隆中 (6542) 聯袂漲停帶動下，歐買尬 (3687) 、智冠 (5478) 、大宇資 (6111) 強強滾。
2019-08-28T07:16:04.000Z,遊戲族群抓住暑假尾巴，昱泉 (6169) 、歐買尬 (3687) 雙雙漲停，網龍 (3083) 、宇峻 (3546) 、辣椒 (4946) 、智崴 (5263) 、智冠 (5478) 、橘子 (6180) 同聲走揚。
2019-08-28T07:16:00.000Z,遊戲族群抓住暑假尾巴，昱泉 (6169) 、歐買尬 (3687) 雙雙漲停，網龍 (3083) 、宇峻 (3546) 、辣椒 (4946) 、智崴 (5263) 、智冠 (5478) 、橘子 (6180) 同聲走揚。
2019-09-05T02:07:00.000Z, 23.歐買尬 (3687) ：7月每股賺0.06元，揮別虧損命運，多方歡呼攻漲8%。
2019-09-17T02:05:07.000Z,"
17.歐買尬 (3687) ：基本面好轉且短線回檔幅度大，買盤進場，攻高逾3%。"
2019-09-17T02:05:00.000Z, 17.歐買尬 (3687) ：基本面好轉且短線回檔幅度大，買盤進場，攻高逾3%。
2019-10-09T02:13:17.000Z,"
11.歐買尬 (3687) ：9月營收為0.91億元，年增42.23%，今早回檔後反彈，攻高4%以上。"
2019-10-21T06:42:29.000Z,受台積電 (2330) 弱勢拖累，今天台股指數幾乎是悶整場，一直處在平盤下游走，不過中小型股及傳產股強出頭，大洋 (1321) 、華電 (1603) 、歐買尬 (3687) 、中環 (2323) 、前鼎 (4908) 、泰豐 (2102) 、南仁湖 (5905) 、台火 (9902) 、和進 (3191) 及藍天 (2362) 等股價以漲停作收，亞翔 (6139) 、環球晶 (6488) 及漢磊 (3707) 收高，加上—大立光 (3008) 及玉晶光 (3406) 轉強收紅，讓台股指數無畏台積弱勢及外資報告力挺的國巨 (2327) 等被動元件個股股價開高走低，在尾盤時擺尾收高，終場加權股價指數為11184.15點，小漲3.93點，成交量1017.61億元；OTC指數為143.24點，上漲0.43點，成交量375.39億元。
2019-10-21T06:42:00.000Z,受台積電 (2330) 弱勢拖累，今天台股指數幾乎是悶整場，一直處在平盤下游走，不過中小型股及傳產股強出頭，大洋 (1321) 、華電 (1603) 、歐買尬 (3687) 、中環 (2323) 、前鼎 (4908) 、泰豐 (2102) 、南仁湖 (5905) 、台火 (9902) 、和進 (3191) 及藍天 (2362) 等股價以漲停作收，亞翔 (6139) 、環球晶 (6488) 及漢磊 (3707) 收高，加上—大立光 (3008) 及玉晶光 (3406) 轉強收紅，讓台股指數無畏台積弱勢及外資報告力挺的國巨 (2327) 等被動元件個股股價開高走低，在尾盤時擺尾收高，終場加權股價指數為11184.15點，小漲3.93點，成交量1017.61億元；OTC指數為143.24點，上漲0.43點，成交量375.39億元。
2019-10-22T02:05:40.000Z,"
35.歐買尬 (3687) ：遊戲+金流+電子支付為業績添火力，股價偏多反應，大漲7%以上。"
