PublishDate,Sentence
2016-12-30T06:12:00.000Z,　但實際上，今年整體成交金額連19兆元都達不到，是2002年以來單一年度的最低水準，也是網路泡沫以來最低量，平均日均量僅775億元，為2005年以來年度最低日均量，這個數字，連台灣證券交易所開門都準備要賠錢，何況是沒跟上權值股的股民。
2017-01-10T02:58:00.000Z,分析師表示，現階段大盤預期將呈現震盪整理格局，未來影響台股的觀察重點在於國際股市表現，以及各公司營收數字、原物料行情走勢等。
2017-01-11T06:06:00.000Z,　此外，農曆春節愈來愈近，使得台股觀望氣息相當濃厚，追價意願不強，因此，元大投顧資深副總杜富蓉預期指數短期內不太容易大漲大跌，市場焦點將回歸基本面，去年12月營收數字變化仍會影響個股短線走勢，須特別追蹤留意。
2017-01-14T01:17:00.000Z,　林恩平昨表示，一例一休的確已經增加人事成本，初步估計大立光新增人事成本會超過台積電0.3％的數字，由於產業存在淡旺季因素，如果加班工時的時數能多些彈性，他支持張忠謀放寬上限的提議。
2017-02-03T06:05:00.000Z,  目前美國Fed會議已過，國際不確定因素減少，短線持續關注美國元月就業報告，在今晚數字揭露前，市場依舊保守等待，至於白宮新主人川普的新政，依舊為目前市場中最大風險關注指標。
2017-02-03T06:05:00.000Z,  目前美國Fed會議已過，國際不確定因素減少，短線持續關注美國元月就業報告，在今晚數字揭露前，市場依舊保守等待，至於白宮新主人川普的新政，依舊為目前市場中最大風險關注指標。
2017-02-14T10:30:00.000Z,台積電先前已在法說會中，公布去年自結財務數字，今日董事會一併核准去年營業報告書與財務報表，去年全年營收為 9479.4 億元，創歷史新高，稅後純益為 3342.5 億元，同寫新猷，每股純益 12.89 元，相關數字與先前揭露的自結數相同。
2017-03-09T07:06:00.000Z,鉅亨網記者李宜儒 台北美國就業數字佳，加深美國升息機率，熱錢回流機率大增，加上新台幣今 (9) 日一度重貶逾 1.5 角，跌破 31 元大關，同時國際油價也大跌 5%，導致今天塑化、鋼鐵、造紙等原物料股齊拉回，電子權值股台積電、鴻海也難抗跌勢，指數盤中一度跌逾百點，終場下跌 94.84 點，以 9658.61 點作收，成交值 885.57 億元。
2017-03-15T07:26:00.000Z,公告本公司將參加瑞士信貸所舉辦之『20th Annual Asian Investment Conference』符合條款第四條第XX款：12事實發生日：106/03/291.召開法人說明會之日期：106/03/29 ～ 106/03/302.召開法人說明會之時間：09 時 30 分 3.召開法人說明會之地點：香港康萊德酒店4.法人說明會擇要訊息：本公司將參加瑞士信貸所舉辦之『20th Annual Asian Investment Conference』，會中就本公司1/12法說會已公開發佈之財務數字、經營績效等相關資訊做說明。
2017-03-15T02:46:00.000Z,上述數字幾乎都是指Switch開賣首週的銷售量，因此現在Switch銷售量應已進一步擴大。
