PublishDate,Sentence
2017-04-16T23:57:00.000Z,而電子商務公司亞馬遜揭露財報時，黃文清認為，受惠的網家、商店街、富邦媒等個股可搭上一波想像題材，但漲勢能否延續，依然得回歸公司基本面。
2017-06-29T00:58:00.000Z,5.其他個別修正或漲多拉回者，諸如網家 (8044) 、信驊 (5274) 、凌華 (6166) 、茂迪 (6244) 、鈊象 (3293) 、勝麗 (6238) 、?矬? (8349) 、雄獅 (2731) 、亞翔 (6139) 等。
2017-11-03T06:59:00.000Z,　蘋果財報優於預期且iPhone X買氣發燒，激勵蘋果供應鏈強強滾，在股王大立光 (3008) 領軍衝高下，玉晶光 (3406) 、台郡 (6269) 、華通 (2313) 、燿華 (2367) 、超眾 (6230) 、穩懋 (3105) 等紅光滿面；Tesla業績遜預期，拖累概念股和大 (1536) 、貿聯-KY (3665) 以及前波漲多的美琪瑪 (4721) 、康普 (4739) 等疲弱無力；網家 (8044) 、商店街 (4965) 因店商大戰使第3季財報大虧，今日雙雙倒地不起。
2017-11-03T06:59:00.000Z,　蘋果財報優於預期且iPhone X買氣發燒，激勵蘋果供應鏈強強滾，在股王大立光 (3008) 領軍衝高下，玉晶光 (3406) 、台郡 (6269) 、華通 (2313) 、燿華 (2367) 、超眾 (6230) 、穩懋 (3105) 等紅光滿面；Tesla業績遜預期，拖累概念股和大 (1536) 、貿聯-KY (3665) 以及前波漲多的美琪瑪 (4721) 、康普 (4739) 等疲弱無力；網家 (8044) 、商店街 (4965) 因店商大戰使第3季財報大虧，今日雙雙倒地不起。
2017-12-01T02:11:00.000Z,  17.網家 (8044) ：受近期購物熱潮帶動，股價逐步向上回升，早盤漲逾2.5%。
2017-12-01T02:11:00.000Z,  17.網家 (8044) ：受近期購物熱潮帶動，股價逐步向上回升，早盤漲逾2.5%。
2017-12-15T07:12:00.000Z,周四美股震盪走跌、四大指數全數收黑，今日亞股中僅以韓股相對有撐，台股面臨月線、季線反壓，今日開低震盪走低，在蘋果三雄大立光 (3008) 、鴻海 (2317) 、台積電 (2330) 同步熄火，金融股亦壓回修正下，指數一度大跌百點、下探10436.11點，所幸尾盤獲買盤拉抬，指數跌幅略為收斂，終場加權指數下跌46.57點為10491.44點，5日線失而復得，成交值增為1248.38億元，周線翻紅上漲92.82點；今日外資賣超42.8044億元，投信賣超0.6025億元，自營商賣超29.901億元，三大法人賣超73.30億元。
2017-12-15T07:12:00.000Z,　今日外資賣超42.8044億元，5日RSI為47.93，10日RSI為43.41，9日K值為46.14，9日D值為36.50，20日乖離率為-1.07。
2019-09-04T05:44:00.000Z,　據了解，瑞信邀請台股上市櫃公司約有79家，其中，電子科技股占63家，包括緯創、廣達、光寶科、技嘉、華碩、鎧勝-KY、研華、仁寶、華新科、國巨、群光、致伸、臻鼎-KY、晶技、信邦、群電、健鼎、欣興、聯茂、台光電、聯強、台灣大、璟德、美律、全新、網家、鴻海、致茂、可成、貿聯-KY、旭隼、勝麗、友達、GIS-KY、TPK-KY、瑞儀、元太。
2019-09-04T05:44:00.000Z,　據了解，瑞信邀請台股上市櫃公司約有79家，其中，電子科技股占63家，包括緯創、廣達、光寶科、技嘉、華碩、鎧勝-KY、研華、仁寶、華新科、國巨、群光、致伸、臻鼎-KY、晶技、信邦、群電、健鼎、欣興、聯茂、台光電、聯強、台灣大、璟德、美律、全新、網家、鴻海、致茂、可成、貿聯-KY、旭隼、勝麗、友達、GIS-KY、TPK-KY、瑞儀、元太。
2019-10-16T02:02:17.000Z,"
30.網家 (8044) ：迎接雙11、拚業績破60億元，Q4看旺，早盤漲逾3%，5日、10線失而復得。"
2019-10-16T02:02:00.000Z, 30.網家 (8044) ：迎接雙11、拚業績破60億元，Q4看旺，早盤漲逾3%，5日、10線失而復得。
2019-10-23T02:06:06.000Z,"
33.網家 (8044) ：喜迎雙11購物節，土洋法人昨聯手買超71張，早盤漲逾1%，飛越5日線。"
2019-10-23T02:06:00.000Z, 33.網家 (8044) ：喜迎雙11購物節，土洋法人昨聯手買超71張，早盤漲逾1%，飛越5日線。
2019-11-05T02:14:00.000Z, 26.網家 (8044) ：雙11早鳥買氣旺，旗下PChome24h購物報捷，早盤漲逾2%、重返5日線之上。
