PublishDate,Sentence,Score
2018-07-04T07:36:00.000Z,日月光投控 (3711) 收在70元，小漲0.7%。,1
2018-07-04T02:44:00.000Z,日月光投控 (3711) 來到69.9元，小漲0.5%。,1
2018-07-04T07:36:00.000Z,日月光投控 (3711) 收在70元，小漲0.7%。,1
2018-07-04T02:44:00.000Z,日月光投控 (3711) 來到69.9元，小漲0.5%。,1
2018-07-18T00:21:00.000Z,　7月下旬到7月底還有20餘家科技公司法會將密集登場，其中具產業指標或高價位股的有：23日的揚明光、24日的牧德、力成、25日的聯電、26日的友達、TPK-KY、27日的日月光投控、30日的中華電、31日的聯發科等，法說內容也影響法人調整操作策略及個股行情。,-1
2018-07-23T06:04:00.000Z,其他電子權值股鴻海 (2317) 終場收在85.5元，小漲0.23%；股王大立光 (3008) 終場收在5175元，下跌95元，跌幅1.8%；日月光投控 (3711) 收在70元，小跌0.8%；聯發科 (2454) 收在271.5元，跌3.04%。,-2
2018-07-23T03:07:00.000Z,日月光投控 (3711) 來到70元，小跌0.8%。,-1
2018-07-25T07:13:00.000Z,台股今日受制鴻海除息表現不振，且台塑四寶、台積電、台泥 (1101) 、統一 (1216) 及日月光投控 (3711) 等集團股同步軟腳，終場加權股價指數收盤下挫29.6點，仍有守於五日線之上。,-2
2018-07-30T07:10:00.000Z,　盤面上，被動元件族群遭知名分析師保守看待，使相關個股臉色鐵青，股后國巨 (2327) 中箭落馬率先殺跌停，引發一連串賣壓出籠，奇力新 (2456) 、華新科 (2492) 、禾伸堂 (3026) 、大毅 (2478) 、光頡 (3624) 、達方 (8163) 等全部躺平，股王大立光 (3008) 同步走弱失守5200元，光學股玉晶光 (3406) 跟進走跌；權王台積電 (2330) 擺尾收紅，激勵蘋概股台郡 (6269) 、和碩 (4938) 、鴻海 (2317) 及季報出色的日月光控股 (3711) 強力收高，IC設計股智原 (3035) Q2獲利欠佳失守季線大關。,1
2018-07-30T06:18:00.000Z,股王及被動元件不振，台股終止日K連5紅！　美國科技股財報不如預期，上周五Nasdaq指數重挫，讓台灣電子股未開盤先烏雲罩頂，而知名蘋果分析師首次談MLCC，竟重創被動元件，股后—國巨 (2327) 、奇力新 (2456) 、華新科 (2492) 、光頡 (3624) 、禾伸堂 (3026) 、大毅 (2478) 及達方 (8163) 等多檔股票同步跌停作收，讓以低盤開出的台股盤中指數一度回測11000點，所幸，台積電 (2330) 在尾盤奮力收紅，蘋果概念股的台郡 (6269) 、和碩 (4938) 、鴻海 (2317) 及季報出色的日月光控股 (3711) 收高，搭配傳產龍頭股—台泥 (1101) 、台塑 (1301) 及永豐餘 (1907) 等力挺，台股指數在尾盤小幅拉升，守住11000點，但終止日K連5紅，終場加權股價指數為11033.54點，下跌42.24點，成交量為1252.08億元；OTC指數為150.09點，下跌2.03點，成交量為298.54億元。,-3
2018-07-30T07:10:00.000Z,　盤面上，被動元件族群遭知名分析師保守看待，使相關個股臉色鐵青，股后國巨 (2327) 中箭落馬率先殺跌停，引發一連串賣壓出籠，奇力新 (2456) 、華新科 (2492) 、禾伸堂 (3026) 、大毅 (2478) 、光頡 (3624) 、達方 (8163) 等全部躺平，股王大立光 (3008) 同步走弱失守5200元，光學股玉晶光 (3406) 跟進走跌；權王台積電 (2330) 擺尾收紅，激勵蘋概股台郡 (6269) 、和碩 (4938) 、鴻海 (2317) 及季報出色的日月光控股 (3711) 強力收高，IC設計股智原 (3035) Q2獲利欠佳失守季線大關。,1
2018-07-30T06:18:00.000Z,股王及被動元件不振，台股終止日K連5紅！　美國科技股財報不如預期，上周五Nasdaq指數重挫，讓台灣電子股未開盤先烏雲罩頂，而知名蘋果分析師首次談MLCC，竟重創被動元件，股后—國巨 (2327) 、奇力新 (2456) 、華新科 (2492) 、光頡 (3624) 、禾伸堂 (3026) 、大毅 (2478) 及達方 (8163) 等多檔股票同步跌停作收，讓以低盤開出的台股盤中指數一度回測11000點，所幸，台積電 (2330) 在尾盤奮力收紅，蘋果概念股的台郡 (6269) 、和碩 (4938) 、鴻海 (2317) 及季報出色的日月光控股 (3711) 收高，搭配傳產龍頭股—台泥 (1101) 、台塑 (1301) 及永豐餘 (1907) 等力挺，台股指數在尾盤小幅拉升，守住11000點，但終止日K連5紅，終場加權股價指數為11033.54點，下跌42.24點，成交量為1252.08億元；OTC指數為150.09點，下跌2.03點，成交量為298.54億元。,-3
