PublishDate,Sentence,Score
2017-11-01T02:12:00.000Z,　鏡週刊引述知情人士說法指出，日前台積電30周年慶，蘋果營運長Jeff Williams除了來台祝賀台積電 (2330) 董事長張忠謀外，還特別拜會郭台銘，希望鴻海 (2317) 可以幫忙解決iPhone X缺貨問題。,4
2017-11-01T00:10:00.000Z,(三)發明專利申請前五大，本國法人部分，分別為台積電(225件)、鴻海(114件)、友達光電(99件)、聯發科(97件)、宏??(85件)。,0
2017-11-01T00:10:00.000Z,(三)發明專利公告發證前五大，本國法人部分，分別為台積電(160件)、鴻海(147件)、工研院(129件)、友達光電(89件)、宏??(85件)。,-1
2017-11-02T06:40:00.000Z,公開資訊觀測站重大訊息公告(2330)台積電-本公司訂購工程設施公告1.標的物之名稱及性質（如坐落台中市北區ＸＸ段ＸＸ小段土地）:工程設施。,2
2017-11-02T06:08:00.000Z,美股周三續揚，但台積電 (2330) 、股王大立光 (3008) 股價壓回，台股今日未再創27年新高。,2
2017-11-02T06:08:00.000Z,台股今日開在平盤附近；台積電收盤下跌1.5元，股王大立光 (3008) 收盤小跌，漲多的光學股亞光 (3019) 等回檔；周三強勢的南亞科 (2408) 等DRAM股回檔；TFT大型股群創 (3481) 下跌，但彩晶 (6116) 挾業績利多上攻。,2
2017-11-02T06:08:00.000Z,  整體來說，因大型電子權值股台積電等漲勢停滯，電子股指數收低；金融股富邦金 (2881) 收高力撐。,0
2017-11-02T06:08:00.000Z,  台股周三再創逾27年新高，最高達10843點，但今日受到台積電收低，台股收盤並未再創新高。,5
2017-11-02T06:02:00.000Z,（中央社記者江明晏台北2017年11月2日電）台股指數位居高檔，今天在平盤10800點附近震盪，台積電 (2330) 、大立光 (3008) 等權值股無力，盤面以坐擁業績與轉機題材的中小型個股表現較搶眼，終場收在10788.51點，下跌17.85點。,-3
2017-11-02T06:02:00.000Z,電子權值股今天漲跌互見，台積電跌逾0.6%，收241元，鴻海 (2317) 小漲0.45%，收112.5元，大立光 (3008) 下跌5元，收5775元，跌幅0.09%。,-2
2017-11-02T04:58:00.000Z,台積電 (2330) 日前股價、市值創新高，國發基金身為台積電原始股東，過去兩年國發基金都編列釋股預算，最後都沒有執行。,1
2017-11-02T04:58:00.000Z,國發會主委陳美伶今天表示，目前沒有規畫釋股台積電，未來基本上都維持不釋股的原則。,-2
2017-11-02T04:58:00.000Z,  過去為了平衡國家財政，台積電經常成為國發基金釋股標的。,3
2017-11-02T04:58:00.000Z,  針對國發會基金是否有釋股台積電的打算，國發會主委陳美伶今天在立法院經濟委員會受訪時表示，到目前為止沒有這樣的規畫，未來基本上都維持不釋股的原則。,-2
2017-11-02T04:58:00.000Z,  國發基金身為台積電原始股東，也是外資之外單一最大股東，過去為了平衡國家財政，經常成為國發基金釋股標的，前國發會主委陳添枝先前重新檢討後，制定退場機制，將釋股制度化。,2
2017-11-02T04:58:00.000Z,  國發基金目前持有台積電股票約16.5億股，持股比約6.4%，今年台積電股價頻創新高且配發7元現金股利，國發基金除了現金股息就有逾百億元進帳且帳上價值水漲船高。,5
2017-11-02T03:12:00.000Z,電子權值股今天漲跌互見，台積電 (2330) 跌逾0.4%，至241.5元，鴻海 (2317) 小漲0.45%，至112.5元，大立光 (3008) 下跌45元，至5735元，跌幅0.78%。,-2
2017-11-02T02:59:00.000Z,台股三雄中以鴻海 （2317） 持穩紅盤、漲近0.5％最強勢，台積電 （2330） 及股王大立光 （3008） 則跌近0.5％，至於台達電 （2308） 則下跌近1.5％，表現較為弱勢。,0
2017-11-02T02:45:00.000Z,過去幾年為紓解國庫入不敷出，國發會經常編列逾百億元的台積電 （2330） 釋股預算案，國發會主委陳美伶上午在立法院表示，明年度預算案中並未規劃台積電釋股預算。,0
2017-11-02T02:45:00.000Z,國發會於103、104年編列次年預算時，皆有編列台積電釋股預算，105年提次年預算案時則未編列。,0
2017-11-02T00:12:00.000Z,華為(HUAWEI)智慧型手機Mate 10內建的系統單晶片(SoC)晶片組「Kirin 970」採用台積電(2330)10奈米晶片組製程技術，號稱可以更省電、更快速地處理相同的AI運算任務。,2
2017-11-03T06:59:00.000Z,美國總統川普提名鮑威爾為聯準會下任主席，周四美股道瓊指數再創新高，受到蘋果財報優於預期且iPhone X今日在台開賣激勵，台股今日小幅開高，在股王大立光 (3008) 衝高領軍蘋概股強彈，推升盤中指數一度攻抵10835.7點，惟台積電 (2330) 續弱壓抑指數表現，尾盤在金融股拉抬助陣下，終場加權指數剛好站上10800點大關，上漲12.26點收在10800.77點，成交值為1130.32億元；周線翻紅上漲91.66點。,14
2017-11-03T06:59:00.000Z,台股今日受惠於蘋果公布新一季財報優於市場預期，加上iX今日在台正式開賣等利多消息激勵，使大立光扮開路先鋒，帶領指數向「錢」衝，無奈台積電漲多拉回，使指數漲幅收斂，終場仍收復10800點大關。,11
2017-11-03T06:18:00.000Z,公開資訊觀測站重大訊息公告(2330)台積電-本公司訂購工程設施公告1.標的物之名稱及性質（如坐落台中市北區ＸＸ段ＸＸ小段土地）:工程設施。,2
2017-11-03T06:17:00.000Z,觀察盤面焦點，受iPhone X今天開賣帶動，蘋果概念股的大立光 (3008) 漲3.64%，收5985元；鴻海 (2317) 漲0.44%，收113元；台積電 (2330) 下跌0.83%，收239元。,1
2017-11-03T06:03:00.000Z,美股周四再創新高，台股今早小幅開高，蘋概股由股王大立光 (3008) 大漲逾200元領軍，但台積電 (2330) 收低，壓抑指數表現。,4
2017-11-03T06:03:00.000Z,  蘋果公布財報表現佳，加上蘋果iPhoneX今早在台灣開賣，但台股多頭大將台積電 (2330) 收跌2元，鴻海 (2317) 也表現平平；整體蘋果概念股則多半上漲，至於Tesla供應鏈股價仍疲弱。,-1
2017-11-03T06:03:00.000Z,  本周下半周，台股隨著台積電並未再創新高，但不少人氣中型電子股表現強勁；DRAM相關的華東 (8110) 、PCB燿華 (2367) 即如此，今日漲勢再延續。,8
2017-11-03T06:03:00.000Z,  台積電左右台股指數，隨著台積電下半周股價並未再創新高，台股下半周回落10800點，今日尾盤拉升逾10點帶動指數翻紅。,6
2017-11-03T02:06:00.000Z,美股周四再創新高，台股今早小幅開高，雖蘋果公布財報佳加上蘋果iPhoneX今早在台灣開賣，但台積電 (2330) 盤中下跌2元，蘋果概念股則多半上漲，Tesla供應鏈股價仍疲弱。,2
2017-11-03T02:06:00.000Z,  台積電左右台股指數，隨著台積電下半周股價並未再創新高，台股下半周也未能站穩10800點；目前多空拉鋸，類股輪動快速，由於第三季財報進入發布的高峰期，加上10月營收將密集公布，短期以業績亮麗個股成為盤面焦點。,6
2017-11-04T08:40:00.000Z,晶圓代工龍頭台積電 （2330） 昨（4）日在新竹舉辦台積電30週年運動大會，雖然新竹昨日早上不停飄雨，但台積電員工仍風雨無阻熱情參與運動會。,2
2017-11-04T08:40:00.000Z,台積電董事長張忠謀表示，雖然這次是最後一次主持台積電運動會，但看到員工士氣高昂，相信台積電會屢創奇蹟。,1
2017-11-04T05:16:00.000Z,（中央社記者張建中新竹2017年11月4日電）台積電 (2330) 董事長張忠謀表示，行動裝置已開始有人工智慧(AI)功能。,2
2017-11-04T05:16:00.000Z,他指出，台積電4個成長平台都會有AI，將會投入相當大資源，預期未來也將會有很大貢獻。,3
2017-11-04T05:16:00.000Z,台積電今天舉辦運動會，張忠謀在記者會中指出，現在行動裝置已經開始有AI功能，未來絕對會有很多AI在行動裝置裡頭；AI在健康醫療方面應會先看到效果，如預警中風。,1
2017-11-04T05:16:00.000Z,張忠謀表示，台積電第3個10年在行動裝置領域投資很多，也回收許多；除了行動裝置外，台積電未來成長平台高速運算、物聯網與車用也都會有AI，台積電將會在AI投入相當大的資源，預期AI也將會有很大貢獻。,5
2017-11-04T05:16:00.000Z,他期待，台積電未來3年美元計營收可望年成長5%至10%。,3
