PublishDate,Sentence,Score
2018-07-04T07:36:00.000Z,友達 (2409) 收平盤12.8元。,0
2018-07-04T07:36:00.000Z,友達 (2409) 收平盤12.8元。,0
2018-07-18T00:21:00.000Z,台股回歸基本面，20餘家科技公司法說會蓄勢待發，市場聚焦明（19）日權值龍頭台積電 （2330） 法說會，而穩懋 （3105） 、聯電 （2303） 、友達 （2409） 、聯發科 （2454） 等指標科技公司陸續登場法說，牽動個股走勢以及攸關台股行情回穩反彈，短線指數將在年線到季線區間震盪。,0
2018-07-18T00:21:00.000Z,　7月下旬到7月底還有20餘家科技公司法會將密集登場，其中具產業指標或高價位股的有：23日的揚明光、24日的牧德、力成、25日的聯電、26日的友達、TPK-KY、27日的日月光投控、30日的中華電、31日的聯發科等，法說內容也影響法人調整操作策略及個股行情。,-1
2018-07-18T00:21:00.000Z,看聯發科因大陸手機消化庫存，影響業績成長趨緩，不過第三季大陸新手機上市，業績將回復成長，至於面板大廠友達雖然中國大陸電視面板價回升，不過整理法說以中性保守看待。,0
2018-07-18T00:19:00.000Z,除了明天的台積電法說會，下週背光模組廠中光電 (5371) 、面板大廠友達 (2409) 等公司法說會也將陸續登場。,0
2018-07-23T08:12:00.000Z,"　在個股部分，上周外資買超前三大上市股票以面板股為主，其中，友達 (2409) 及群創 (3481) 分居買超第一及第三大，張數分別為67,601張及30,057張；台積電 (2330) 買超43,423張居次。",3
2018-07-24T00:11:00.000Z,上週外資在集中市場買超145.91億元，買超友達6.76萬張最多，另賣超中信金4.15萬張最多。,0
2018-07-24T00:11:00.000Z,"就個股比較部分：上週外資自集中市場買超最多的前三名上市公司為：第一名：友達：買進110,592千股，賣出42,991千股，買超67,601千股。",1
2018-07-26T06:21:00.000Z,經濟部智慧財產局今日公布上半年智慧財產權趨勢，本國企業由台積電 (2330) 的345件，榮登第一名，友達 (2409) 、聯發科 (2454) 緊追在後，前十名中，還有和碩 (4938) 、宏達電 (2498) 申請量年增達156%、146%，位居第六名、第七名。,4
2018-07-26T06:21:00.000Z,  上半年在企業專利申請部分，台積電申請345件，較去年同期增加5%，重回本國法人第一，友達、聯發科位居第二、第三名，值得注意的是，本國法人前十大的和碩、宏達電大幅成長，申請量較上年同期分別增加156%、146%，分別位居第六名、第七名，電信業龍頭中華電 (2412) 則是擠進第十名。,7
2018-07-27T07:08:00.000Z,臉書股價暴跌近19%，拖累那指下挫逾1%，惟美歐貿易戰暫時休兵，帶動道瓊工業指數收高，台股無懼美國科技股走弱，繼昨天站上萬一關卡後，今日由電子股點火，雙王大立光 (3008) 、台積電 (2330) 領軍反彈，帶動半導體旺宏 (2337) 及面板股友達 (2409) 雙雙走高，推升指數開高走高，沿五日均線向上攀揚，尾盤在台積電 (2330) 、國泰金 (2882) 等大型股拉抬下，終場加權指數上漲65.17點為11075.78點，收在今日最高點，並呈現日K連五紅走勢，成交值為1243.21億元；周線連3紅，本周大漲143.67點。,5
2018-07-27T07:08:00.000Z,　盤面上，電子股今日吹反攻號角，雙王大立光 (3008) 、台積電 (2330) 雙雙走高，記憶製造廠旺宏 (2337) Q2繳佳績、H2營收續看旺，激勵股價大漲5%，面板廠友達 (2409) 法說釋佳音，帶動股價帶量攻回月線大關，光學股玉晶光 (3406) 、亞光 (3019) 、新鉅科 (3630) 等同步強彈。,10
2018-07-27T06:25:00.000Z,股王大立光 (3008) 、面板廠友達 (2409) 、發光二極體等光電族群與台達電 (2308) 等零組件族群，今天也有不錯表現，帶動整體電子類股指數大漲1.05%，並推升大盤指數持續走高。,6
2018-07-27T03:23:00.000Z,面板廠友達 (2409) 第2季每股純益0.13元，表現優於韓國對手，並看好第3季客戶可望積極備貨，股價一度達12.7元，漲2.83%，帶動光電類股同樣有不錯表現，類股指數同步漲逾1%。,5
2018-07-27T03:17:00.000Z,FB暴跌18.96％，拖累資訊技術類股，但油價上漲，能源類股走高，美股漲跌互見，台股在台積電 (2330) 持續走高，加上面板股友達 (2409) 法說會帶來正面訊息，股價都呈現上揚，使得台股沿著五日均線上揚，今天有機會K線出現連五紅表現。,0
2018-07-31T07:10:00.000Z,　盤面上，蘋概股三巨頭台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 同步熄火，隨著蘋果新機進入拉貨潮，法人提前卡位台廠相關供應鏈，友達 (2409) 、英業達 (2356) 、GIS-KY (6456) 逆勢勁揚。,2
2018-07-31T02:44:00.000Z,歐美返校旺季即將來臨，蘋果新機也進入拉貨潮，科技股可望受惠，法人已提前卡位台廠相關供應鏈，今日友達 (2409) 逆勢小漲、英業達 (2356) 守住平盤，表現相對平穩。,4
2018-07-31T07:10:00.000Z,　盤面上，蘋概股三巨頭台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 同步熄火，隨著蘋果新機進入拉貨潮，法人提前卡位台廠相關供應鏈，友達 (2409) 、英業達 (2356) 、GIS-KY (6456) 逆勢勁揚。,2
2018-07-31T02:44:00.000Z,歐美返校旺季即將來臨，蘋果新機也進入拉貨潮，科技股可望受惠，法人已提前卡位台廠相關供應鏈，今日友達 (2409) 逆勢小漲、英業達 (2356) 守住平盤，表現相對平穩。,4
