PublishDate,Sentence,Score
2018-03-02T07:18:00.000Z,盤面上以題材股表現相對亮眼，被動元件漲價題材再度發酵，概念股國巨 (2327) 、華新科 (2492) 、禾伸堂 (3026) 逆勢突圍；挖礦概念股撼訊 (6150) 無懼遭分盤交易仍亮燈漲停，激勵麗臺 (2465) 、華擎 (3515) 、承啟 (2425) 、映泰 (2399) 強勢大漲。,10
2018-03-02T02:24:00.000Z,"MoneyDJ新聞 2018-03-02 10:24:28 記者 蔡承啟 報導日本遊戲總合情報媒體Famitsu 1日公布統計數據指出，受缺貨影響，拖累上週(2月19-25日)Sony PS4遊戲機(一般版PS4+支援4K的PS4 Pro)日本銷售量較前一週(2月12-18日)大減25%至3萬6,193台，連續第4週呈現下滑、且週銷售量7週來首度遭任天堂(Nintendo)Switch超越。",0
2018-03-02T07:18:00.000Z,盤面上以題材股表現相對亮眼，被動元件漲價題材再度發酵，概念股國巨 (2327) 、華新科 (2492) 、禾伸堂 (3026) 逆勢突圍；挖礦概念股撼訊 (6150) 無懼遭分盤交易仍亮燈漲停，激勵麗臺 (2465) 、華擎 (3515) 、承啟 (2425) 、映泰 (2399) 強勢大漲。,10
2018-03-02T02:24:00.000Z,"MoneyDJ新聞 2018-03-02 10:24:28 記者 蔡承啟 報導日本遊戲總合情報媒體Famitsu 1日公布統計數據指出，受缺貨影響，拖累上週(2月19-25日)Sony PS4遊戲機(一般版PS4+支援4K的PS4 Pro)日本銷售量較前一週(2月12-18日)大減25%至3萬6,193台，連續第4週呈現下滑、且週銷售量7週來首度遭任天堂(Nintendo)Switch超越。",0
2018-03-08T07:15:00.000Z,　台股今日由晶圓雙雄聯電 (2303) 、台積電 (2330) 及面板雙虎友達 (2409) 、群創 (3481) 領軍電子股強彈，權值股大立光 (3008) 、鴻海 (2317) 、聯發科 (2454) 亦同步走揚；記憶體模組廠商宇瞻 (8271) 看好今年記憶體市場仍供不應求，帶動南亞科 (2408) 、華邦電 (2344) 、旺宏 (2337) 聯袂走高；砷化鎵三雄在全新 (2455) 衝高領軍帶動下，穩懋 (3105) 、宏捷科 (8086) 跟進大漲；近期火紅的挖礦族群漲多壓回，撼訊 (6150) 、映泰 (2399) 、麗臺 (2465) 、承啟 (2425) 打落跌停。,10
2018-03-08T05:55:00.000Z,加權股價指數終場上漲77.92點、漲幅0.73%、收在10823.24點、成交值新台幣1204.8億元，電子指數漲幅1.05%，以中小型股為主的櫃買指數則是收復2月6日的長黑K棒，不過近期強勢的挖礦概念股轉趨弱勢，指標股撼訊 (6150) 跌停收在280元，連帶概念股映泰 (2399) 、麗臺 (2465) 、承啟 (2425) 出現重挫走勢。,-1
2018-03-08T02:55:00.000Z,近期強勢的採礦概念股出現回檔，指標股撼訊 (6150) 盤中跌破300元大關，連帶概念股映泰 (2399) 、麗臺 (2465) 、承啟 (2425) 出現受挫走勢，被動元件則仍維持多頭趨勢，國巨 (2327) 、京鼎 (2413) 、立隆電 (2472) 與立敦 (6175) 續漲。,3
2018-03-19T06:20:00.000Z,分析師表示，盤面焦點包括市場傳出陸資有意爭奪股權的中美晶 (5483) 盤中一度亮燈漲停，一度帶動矽晶圓類股包括環球晶 (6488) 、合晶 (6182) 與嘉晶 (3016) 走揚，挖礦概念股指標撼訊 (6150) 、映泰 (2399) 、麗臺 (2465) 及承啟 (2425) 再度成為資金簇擁的標的。,5
2018-03-20T07:15:00.000Z,　電子權值股表現方面，聯發科 (2454) OPPO R15登場以及跨入物聯網效益發酵帶動股價逆勢勁揚2.5%，成功發揮穩盤效果，蘋概股三天王大立光 (3008) 、台積電 (2330) 、鴻海 (2317) 全面熄火，資金轉向題材股點火，挖礦概念股受到G20拒監管比特幣鼓舞，由業績亮麗撼訊 (6150) 率先跳空漲停，帶動青雲 (5386) 、捷波 (6161) 、承啟 (2425) 、映泰 (2399) 等聯袂勁彈；被動元件股受到大廠樂觀看待景氣激勵，國巨 (2327) 續創新高價，凱美 (5317) 及禾伸堂 (3026) 攜手大漲；Micro LED前景看好，推升概念股榮創 (3437) 及隆達 (3698) 同步漲停。,21
2018-03-20T02:49:00.000Z,  在類股表現方面，比特幣走揚，挖擴顯卡廠撼訊 (6150) 亮麗業績帶動族群人氣，多檔二線廠個股青雲 (5386) 、捷波 (6161) 、承啟 (2425) 、映泰 (2399) 等，盤中漲幅都超過半根停板。,5
2018-03-20T02:05:00.000Z,  22.承啟 (2425) ：虛擬貨幣監控將可望放鬆，激勵早盤亮燈漲停。,4
2018-03-31T07:09:00.000Z,電競熱與挖礦潮將持續帶旺顯卡及主板族群營運，撼訊 (6150) 、麗臺 (2465) 雙雙攻頂，華擎 (3515) 、承啟 (2425) 、映泰 (2399) 等重啟攻勢。,1
2018-03-31T07:09:00.000Z,電競熱與挖礦潮將持續帶旺顯卡及主板族群營運，撼訊 (6150) 、麗臺 (2465) 雙雙攻頂，華擎 (3515) 、承啟 (2425) 、映泰 (2399) 等重啟攻勢。,1
