PublishDate,Sentence,Score
2018-08-01T03:38:00.000Z,"MoneyDJ新聞 2018-08-01 11:38:43 記者 蔡承啟 報導微控制器(MCU)巨擘瑞薩電子(Renesas Electronics)7月31日於日股盤後公布上季(2018年4-6月)財報：因車用半導體需求強勁，提振合併營收較去年同期成長3.1%至2,035億日圓，合併營益暴增143.5%至230億日圓，合併純益大增36.5%至261億日圓。",4
2018-08-01T01:25:00.000Z,"MoneyDJ新聞 2018-08-01 09:25:19 記者 蔡承啟 報導全球積層陶瓷電容器(MLCC)龍頭廠村田製作所(Murata Mfg.)7月31日於日股盤後公布上季(2018年4-6月)財報：因智慧手機高性能化、車輛電子化，帶動MLCC銷售大增，提振合併營收較去年同期大增25.7%至3,455.08億日圓、創歷年同期歷史新高紀錄；合併營益成長15.2%至481.51億日圓、合併純益成長17.6%至389.84億日圓。",6
2018-08-03T01:30:00.000Z,MoneyDJ新聞 2018-08-03 09:30:43 記者 蔡承啟 報導印刷電路板(PCB)/IC基板暨車用排氣濾淨裝置(DPF)大廠Ibiden 2日於日股盤後公布上季財報：電子部門(包含PCB及IC基板)及陶瓷部門(包含DPF等產品)銷售增長，提振合併營收較去年同期成長6.3%至718.68億日圓，不過因「扇出型晶圓級封裝(FOWLP、Fan-out Wafer Level Package)」上市所帶來的影響持續，導致電子部門陷入虧損，也拖累顯示本業獲利狀況的合併營益較去年同期下滑2.2%至29.50億日圓。,-3
2018-08-01T03:38:00.000Z,"MoneyDJ新聞 2018-08-01 11:38:43 記者 蔡承啟 報導微控制器(MCU)巨擘瑞薩電子(Renesas Electronics)7月31日於日股盤後公布上季(2018年4-6月)財報：因車用半導體需求強勁，提振合併營收較去年同期成長3.1%至2,035億日圓，合併營益暴增143.5%至230億日圓，合併純益大增36.5%至261億日圓。",4
2018-08-01T01:25:00.000Z,"MoneyDJ新聞 2018-08-01 09:25:19 記者 蔡承啟 報導全球積層陶瓷電容器(MLCC)龍頭廠村田製作所(Murata Mfg.)7月31日於日股盤後公布上季(2018年4-6月)財報：因智慧手機高性能化、車輛電子化，帶動MLCC銷售大增，提振合併營收較去年同期大增25.7%至3,455.08億日圓、創歷年同期歷史新高紀錄；合併營益成長15.2%至481.51億日圓、合併純益成長17.6%至389.84億日圓。",6
2018-08-03T01:30:00.000Z,MoneyDJ新聞 2018-08-03 09:30:43 記者 蔡承啟 報導印刷電路板(PCB)/IC基板暨車用排氣濾淨裝置(DPF)大廠Ibiden 2日於日股盤後公布上季財報：電子部門(包含PCB及IC基板)及陶瓷部門(包含DPF等產品)銷售增長，提振合併營收較去年同期成長6.3%至718.68億日圓，不過因「扇出型晶圓級封裝(FOWLP、Fan-out Wafer Level Package)」上市所帶來的影響持續，導致電子部門陷入虧損，也拖累顯示本業獲利狀況的合併營益較去年同期下滑2.2%至29.50億日圓。,-3
2018-08-08T05:44:00.000Z,"MoneyDJ新聞 2018-08-08 13:44:05 記者 蔡承啟 報導日本遊戲總合情報媒體Famitsu 7日公布統計數據指出，因遊戲軟體銷售佳，提振2018年7月份(統計期間為6月25日-7月29日)任天堂(Nintendo)Switch遊戲機日本銷售量較前一個月份(6月份)大增5成(增加48%)至24萬2,733台，連續第2個月呈現月增、且連續第5個月稱霸日本遊戲機市場。",4
2018-08-09T03:44:00.000Z,MoneyDJ新聞 2018-08-09 11:44:37 記者 蔡承啟 報導日本矽晶圓巨擘SUMCO 8日於日股盤後公布上季(2018年4-6月)財報：因12吋矽晶圓需求持續高於供給、配銷(allocation)狀況持續，加上8吋以下(含8吋)產品也在車用/產業/物聯網(IoT)用需求提振下供需持續緊繃，提振合併營收較去年同期大增28%至818億日圓、合併營益暴增132%至216億日圓、合併純益暴增173%至154億日圓，優於SUMCO原先預估的800億日圓、200億日圓、140億日圓。,2
2018-08-15T02:55:00.000Z,MoneyDJ新聞 2018-08-15 10:55:35 記者 蔡承啟 報導日本電子情報技術產業協會(JEITA)最新公佈統計數據指出，2018年6月份日系手機廠於日本國內的手機出貨量(功能手機+智慧型手機)較去年同月下滑11.6%至135.8萬支，連續第4個月呈現萎縮。,-1
2018-08-15T02:08:00.000Z,MoneyDJ新聞 2018-08-15 10:08:37 記者 蔡承啟 報導日經新聞報導，軟銀集團(Softbank Group)旗下美國第4大電信商Sprint 14日宣布，將攜手南韓LG電子的美國法人，於2019年前半在美國開賣支援次世代通訊規格「5G」的智慧手機產品。,3
2018-08-29T02:17:00.000Z, 14.承啟 (2425) ：股價半個月來步步墊高，外資續買超，早盤高漲逾5%，刷新波段高價。,2
2018-08-31T07:23:00.000Z,二線顯卡廠承啟 (2425) 法人看好下半年仍可望維持雙位數毛利率，惟近日股價處高修正，股價受挫。,1
2018-08-31T03:52:00.000Z,MoneyDJ新聞 2018-08-31 11:52:37 記者 蔡承啟 報導日本蘋果情報網站iPhone Mania 30日報導，美國調查公司Loup Ventures公布調查報告指出，近半數(48%)的美國iPhone用戶有意換購iPhone新機，比重較一年前iPhone X發表前所作調查的25%呈現大幅增長。,-1
