PublishDate,Sentence,Score
2018-08-03T07:10:00.000Z,　盤面上，隨iPhone新機備貨潮啟動，加上蘋果股價衝上新高，蘋果三傑大立光 (3008) 、台積電 (2330) 、鴻海 (2317) 今日攜手領軍，帶動美律 (2439) 、可成 (2474) 同步走揚。,5
2018-08-03T06:18:00.000Z,蘋概股如美律 (2439) 上漲5元，收167.5元，漲幅逾3%，可成 (2474) 上漲7元，收371元。,2
2018-08-03T03:16:00.000Z,蘋概股如美律 (2439) 上漲3.5元，至166元，漲幅2.15%；可成 (2474) 上漲5.5元，至369.5元。,2
2018-08-03T02:54:00.000Z,  今日八大類股漲多跌少，僅汽車、觀光等相對弱勢，盤面焦點題材股上，瑞昱 (2379) 傳出耕耘已久的智慧汽車商機報到，今跳空漲停鎖住，被動元件也明顯回神，指標股國巨 (2327) 反彈逾2%，特斯拉傳出增產好消息，帶動貿聯-KY (3665) 大漲逾5%，美律 (2439) 預計第三季營收大爆發，今日逆勢站上波段新高，大漲逾3.5%。,9
2018-08-03T07:10:00.000Z,　盤面上，隨iPhone新機備貨潮啟動，加上蘋果股價衝上新高，蘋果三傑大立光 (3008) 、台積電 (2330) 、鴻海 (2317) 今日攜手領軍，帶動美律 (2439) 、可成 (2474) 同步走揚。,5
2018-08-03T06:18:00.000Z,蘋概股如美律 (2439) 上漲5元，收167.5元，漲幅逾3%，可成 (2474) 上漲7元，收371元。,2
2018-08-03T03:16:00.000Z,蘋概股如美律 (2439) 上漲3.5元，至166元，漲幅2.15%；可成 (2474) 上漲5.5元，至369.5元。,2
2018-08-03T02:54:00.000Z,  今日八大類股漲多跌少，僅汽車、觀光等相對弱勢，盤面焦點題材股上，瑞昱 (2379) 傳出耕耘已久的智慧汽車商機報到，今跳空漲停鎖住，被動元件也明顯回神，指標股國巨 (2327) 反彈逾2%，特斯拉傳出增產好消息，帶動貿聯-KY (3665) 大漲逾5%，美律 (2439) 預計第三季營收大爆發，今日逆勢站上波段新高，大漲逾3.5%。,9
2018-08-05T08:24:00.000Z,證券分析師許銘雄認為，本周觀盤重點為留意美中貿易戰訊息，題材個股表現差異化大；本周投資組合前兩大是美律 （2439） 、瑞昱 （2379） ，加上中光電 （5371） 、潤泰材 （8463） 、寶齡富錦 （1760） 等，都是近期攻堅強勢股。,3
2018-08-15T07:19:00.000Z,　土耳其揚言抵制iPhone報復美國，使台灣蘋果鏈青筍筍，台積電 (2330) 、鴻海 (2317) 雙雙走弱，明日除息的股王 (3008) 棄息賣壓大舉出籠，衝擊股價下殺近4%，連續失守4600元、4500元，GIS-KY (6456) 、和碩 (4938) 、台郡 (6269) 、美律 (2439) 等同步走疲，光學股先進光 (3362) 、亞光 (3019) 、揚明光 (3504) 亦跟進下挫，惟玉晶光 (3406) 拉尾收高。,-6
2018-08-15T05:24:00.000Z,在訊息面混亂加上籌碼面不佳等不利因素下，台灣蘋概股今天普遍呈現弱勢格局，除了台股三王台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 外，GIS-KY (6456) 、和碩 (4938) 、台郡 (6269) 、美律 (2439) 、康控-KY943)都見到弱勢整理。,-5
2018-08-16T07:10:00.000Z,　今日盤面上聚焦股王除息表現，大立光 (3008) 開盤不久立馬完成填息，激勵蘋概股美律 (2439) 、臻鼎-KY (4958) 、可成 (2474) 跟進強彈。,5
2018-08-28T07:01:00.000Z,日系外資因iPhone新機將美律 (2439) 評等由中立調升至買進，目標價由175元調升到182元，盤中衝至漲停板。,6
2018-08-28T02:31:00.000Z,日系外資將美律 (2439) 評等由中立調升到買進，目標價由175元調升到182元，盤中最高衝至158.5元，成功站回月線。,5
2018-08-28T02:12:00.000Z, 12.美律 (2439) ：IFA將登場，概念股領風騷，美律早盤帶量飆漲9%，一舉躍上150元並收復各短均線。,2
2018-08-31T07:23:00.000Z,而美律 (2439) 第三季營運在蘋果新品帶動、娛樂產品出貨看俏雙利多激勵下，外資喊價上看2字頭，今股價續大漲逾2.7%。,7
2018-08-31T06:03:00.000Z, 蘋果預計9月12日端出新iPhone，蘋果股價再寫新高，但今日蘋概三雄似乎並不領情，台積電 (2330) 開低震盪走低，跌幅一度近3%，終場收在256元，股王大立光 (3008) 亦走跌1.3%，收在4705元，鴻海 (2317) 整場弱勢震盪於盤下，跌幅在0.5%附近，反倒是美律 (2439) 在外資調升目標價上看200元激勵下，股價收漲2.7%。,1
2018-08-31T03:11:00.000Z, 蘋果確定9月12日即將推出新iPhone，今蘋概股卻是各有漲跌，指標股蘋果三雄中，台積電 (2330) 的走跌成為今日壓抑盤勢的最主要原因，台積電開低震盪走低，跌幅逾2.6%，力拼守穩5日線254元關卡支撐，股王大立光 (3008) 跌幅也逾2%，摔下4700元大關，鴻海 (2317) 則是於盤下狹幅震盪小跌；美律第三季營運在蘋果新品帶動、娛樂產品出貨成長上看50%雙利多激勵下，營收有機會靠攏百億元大關，日系外資也將其評等調高至「買進」，目標價調高至182元，今股價續揚，大漲逾2.5%。,10
2018-08-31T02:12:00.000Z, 5.美律 (2439) ：亞馬遜市值衝高沾光，昨獲三大法人合計買超745張，帶動早盤股價續漲逾3%。,5
