PublishDate,Sentence,Score
2018-04-10T06:51:00.000Z,中美貿易緊張稍有緩解，昨夜美股溫和上漲，台股受惠當沖證交稅率減半措施再延44個月消息助攻，今日指數開低後走高，盤中在大立光 (3008) 、台積電 (2330) 、玉晶光 (3406) 、國巨 (2327) 、上銀 (2049) 等權值大軍奮起下，大盤指數一度突破月線，來到10975.67點，終場上漲33.65點，為10927.18點，成功收復季線，成交值增至1414.33億元；店頭市場則下跌1.23點，收153.42點，成交值415.95億元。,4
2018-04-10T06:51:00.000Z,  盤面上，股王大立光兵臨3000關城下，且遭外資唱衰，今日多頭背水一戰勝出，股價收在3250元當日最高點、漲幅逾8%，不僅讓台股盤中重登月線，也帶動二線光學股包括玉晶光、亞光 (3019) 、佳凌 (4976) 等股價盤中大漲。,8
2018-04-11T07:12:00.000Z,　電子股今日持續扮演領頭羊，權值股台積電 (2330) 、鴻海 (2317) 、聯發科 (2454) 同步勁揚，光學股玉晶光 (3406) 、先進光 (3362) 、佳凌 (4976) 等續強，矽晶圓族群環球晶 (6488) 、中美晶 (5483) 、合晶 (6182) 高檔有撐，光碟股中環 (2323) 及錸德 (2349) 因Q2淡季不淡，股價聯袂攻頂。,4
2018-04-11T06:48:00.000Z,  在美股周二大漲帶動亞股走高，台股今早由台積電、鴻海 (2317) 、大立光 (3008) 開高領軍，大立光並帶動光學族群玉晶光 (3406) 、先進光 (3362) 等全面強攻，強勢的被動元件族群由國巨 (2327) 續揚；矽晶圓的環球晶 (6488) 、中美晶 (5483) 、合晶 (6182) 強勢上揚。,7
2018-04-11T02:20:00.000Z,  在美股周二大漲帶動亞股走高，台股今早由台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 開高領軍，大立光並帶動光學族群玉晶光 (3406) 、先進光 (3362) 、佳凌 (4976) 等全面強攻，強勢的被動元件族群由國巨 (2327) 、華新科 (2492) 續揚；南亞科 (2408) 挾業績利多率DRAM股上攻；矽晶圓的環球晶 (6488) 、中美晶 (5483) 、合晶 (6182) 也仍強勢上揚。,8
2018-04-12T07:12:00.000Z,　電子權值股今日漲跌互見，台積電 (2330) 、鴻海 (2317) 、聯發科 (2454) 同步走弱，今日舉辦法說的股王大立光 (3008) 獲買盤力挺收在最高點3300元，帶動光學股玉晶光 (3406) 、佳凌 (4976) 、先進光 (3362) 及光燿科 (3428) 強勢大漲；PCB族群在華通 (2313) 漲停、燿華 (2367) 跟進走高下人氣火紅。,8
2018-04-12T03:03:00.000Z,擁題材的光學股玉晶光 (3406) 上漲近2%，至347元、PCB族群華通 (2313) 、燿華 (2367) 今天股價大漲，分別來到30.85元與20.8元，上漲逾8%、5%。,2
2018-04-13T02:48:00.000Z,  類股指數今漲多跌少，光學、塑化股呈現續強，蘋果6.1吋iPhone 9於5月正式拉貨，玉晶光 (3406) 大漲逾3%，華晶科(3509)也因為吃下高通大單，股價走揚逾2.5%；塑化股也有二線塑化股續強，國喬 (1312) 、聯成 (1313) 、中石化 (1314) 漲幅約1.5%。,5
2018-04-16T07:08:00.000Z,　盤面上，股王大立光 (3008) 法說後呈現利空出盡走勢，激勵光學元件族群玉晶光 (3406) 強攻漲停，佳凌 (4976) 及亞光 (3019) 等同步放閃；被動元件受到村田傳將停產上演噴出行情，國巨 (2327) 、華新科 (2492) 、日電貿 (3090) 、信昌電 (6173) 同步漲停，帶動禾伸堂 (3026) 、奇力新 (2456) 等跟進大漲；日月光投控30日上市，日月光 (2311) 獲市場看好與矽品 (2325) 整併效益今日帶量強彈；光碟族群中環 (2323) 、錸德 (2349) 與矽晶圓族群環球晶 (6488) 在漲價題材發酵下股價續強；虛擬貨幣概念股撼訊 (6150) 再摔跌停持續探低最為弱勢。,7
2018-04-16T06:28:00.000Z,光學照亮被動，台股強力護住10950點！　儘管大立光 (3008) 上周法說會後外資對大立光看法保守，但大立光股價未受任何影響，連續數日走高，並在今天站上3500元，激勵光學元件個股，玉晶光 (3406) 強攻漲停作收，站上400元關卡，佳凌 (4976) 及亞光 (3019) 等同步收高；可望供不應求到2019年，甚至2020年的矽晶圓及被動元件持續是盤面資金簇擁的焦點，村田傳將停產，MLCC個股上演噴出行情，國巨 (2327) 、華新科 (2492) 、日電貿 (3090) 及信昌電 (6173) 連袂亮燈漲停作收，國巨站上600元關卡，與日電貿及信昌電同創掛牌新高價，在光學及被動元件大漲帶動下，台股指數無畏台積電 (2330) 收低，以及傳產類股多走弱拖累，在尾盤奮力守住10950點，終場加權股價指數為10954.55點，下跌10.84點，成交量為1242.88億元；OTC指數為156點，上漲0.72點，成交量為430.27億元。,7
