PublishDate,Sentence,Score
2018-03-05T03:21:00.000Z,《經濟日報》報導，三星日前跨海來台拉攏創意 (3443) 、智原等矽智財權廠，爭取更多挖礦晶片客戶。,0
2018-03-05T03:21:00.000Z,　由於隸屬台積電旗下的創意不易挖牆腳，三星轉以聯電旗下的智原為合作對象。,1
2018-03-06T07:22:00.000Z,　比特幣概念股成為盤面領漲指標，晶片族群台積電 (2330) 、世芯-KY (3661) 、智原 (3035) 、創意 (3443) 紅光滿面，板卡族群映泰 (2399) 、青雲 (5386) 雙雙漲停；被動元件挾漲價題材持續發燒，禾伸堂 (3026) 亮燈漲停，光頡 (3624) 及國巨 (2327) 等雙雙強彈；DRAM族群因美光股價強勢激勵，南亞科 (2408) 、華邦電 (2344) 、威剛 (3260) 同步勁揚；可成 (2474) 今年拚賺逾3股本，獲市場按讚叫好，今日躍升蘋概股領頭羊；博通、高通收購最終戰延期，令聯發科 (2454) 鬆一口氣，重返300元大關；股王大立光 (3008) 2月營收創2年來新低，股價續疲摔落3700元。,7
2018-03-06T01:50:00.000Z,比特幣近來多空消息不斷，最新又有消息指出，德國政府有文件指出，以比特幣等虛幣購買物件，不需經過課稅，主要原因就是因為其為合法的支付工具，此文件一流出，對比特幣發展提供出有利支撐，今世芯-KY (3661) 、智原 (3035) 大漲逾5%，再創波段反彈新高，創意 (3443) 漲幅也約3%，比特幣「挖礦」晶片股成為今強勢領漲指標。,10
2018-03-06T01:50:00.000Z,  台積電 (2330) 目前手握全球約九成挖礦晶片代工，這也使得旗下創意順勢進補，只是因為比特幣產業波動較大，故創意今年還是將營運主軸聚焦在NRE(委託設計)，比特幣相關營收占比預計會降到15%，而眼看台積電大啖比特幣財，這也使的對手三星眼紅，傳找來聯電 (2303) 旗下的智原，擬借重智原NRE(委託設計)的實力，吸引更多的挖礦相關客戶，壯大三星在比特幣挖礦的實力；至於世芯-KY則有意衡量今年產業狀況，重新進入比特幣晶片市場。,-1
2018-03-09T04:12:00.000Z,比特幣近期利空二連發，包括美國證券交易委員會(SEC)指出虛擬貨幣交易平台需向SEC註冊外，還有就是來自虛擬貨幣交易平台幣安(Binance)疑似受到駭客攻擊，這也使得比特幣昨摔落10000美元大關，華南永昌投顧董事長儲祥生今就指出，比特幣是一種「商品」而非是「貨幣」，在其市場火熱度夠的時候確實有其價值，看好上游晶片廠包括台積電、創意、智原等，但一旦熱度過去，其「耗能」的議題絕對也不容輕忽。,0
2018-03-09T04:12:00.000Z,  由於台積電就曾言，今年產品成長最大領域為HPC(高速運算)等產品線，而近期HPC最大組成為虛擬貨幣，進而帶動整個虛擬貨幣相關供應鏈個股股價大漲，只是當近期虛擬貨幣大跌後，包含台積電 (2330) 、創意 (3443) 、智原 (3035) 、世芯-KY (3661) ，甚至是顯示卡、DRAM、被動元件等產業，一連串都會受到影響。,4
2018-03-09T04:12:00.000Z,儲祥生也說，比特幣確實是可以替台股相關族群帶來話題，助攻股價，但看好台積電、創意、智源等晶片相關，至於近來討論度也頗高的顯示卡、板卡族群則相對保守看待，他指出，類似台積電、創意等因為其為「挖礦」商機的最上游供應商，也因此，如論產業怎麼發展，對上游晶片的需求一定存在，除非美國的AMD在此領域量衝出來後，才會對台系「挖礦」上游受惠股帶來影響。,5
2018-03-13T07:47:00.000Z,（中央社記者鍾榮峰台北2018年3月13日電）晶圓代工廠台積電 (2330) 宣布，將再次與交通大學合作，舉辦設備創意競賽，期透過產學合作，培育半導體自動化設備人才，冠軍隊伍將可贏得新台幣60萬元獎金。,5
2018-03-13T07:47:00.000Z,台積電與交大將於10月共同舉辦設備創意競賽，雙方合作將邁入第2年，台積電指出，競賽即日起開放報名至4月27日止，歡迎全國各大專院校相關科系師生組隊參加。,6
2018-03-13T02:11:00.000Z,比特幣大洗三溫暖，在歷經前幾日因各國監管單位有意加強管制力道下，市場擔憂情緒導致比特幣大幅向下修正，一週內重挫達25%，昨(12)日比特幣價大漲近8.5%，持續朝向1萬美元靠攏，今比特幣「挖礦」晶片股創意 (3443) 股價大漲逾3.5%。,-2
2018-03-13T02:11:00.000Z,  創意為台積電 (2330) 子公司，台積電手握高達90%的比特幣「挖礦」晶圓訂單，也因此，創意在虛擬貨幣「挖礦」商機中，占有優勢，且創意在HPC(高速運算)晶片上於業界具有領先地位，剛好HPC又是今年台積電最看好的成長領域，整體成長幅度絕對可以高於平均成長幅度15%，創意今年營運備受期待。,7
2018-03-13T02:11:00.000Z,  比特幣產業因波動劇烈，故創意預計今年比特幣營收占比會落在15%，僅為2017年的一半，但樂觀看待NRE(委託設計)將成長50%以上，且預期成長動能也將持續到2019年。,3
