PublishDate,Sentence,Score
2018-05-02T04:58:00.000Z,此外，美系外資看好人工智慧（AI）相關半導體設計與挖礦用晶片類似，明年有機會取代挖礦，成為半導體的新成長動能，在亞洲個股看好首次納入追蹤的IC設計服務廠創意電子 (3443) ，給予「加碼」評等和目標價309元。,8
2018-05-02T04:58:00.000Z,此外，美系外資看好人工智慧（AI）相關半導體設計與挖礦用晶片類似，明年有機會取代挖礦，成為半導體的新成長動能，在亞洲個股看好首次納入追蹤的IC設計服務廠創意電子 (3443) ，給予「加碼」評等和目標價309元。,8
2018-05-17T03:58:00.000Z,台積電 (2330) 董事長、半導體教父張忠謀即將在6月退休，而創意 (3443) 董事長曾繁城堪稱為張忠謀最佳老戰友，今談及這位最佳拍檔，他就說，張忠謀是一位令人「敬佩的長官」，在各方面都持續追求進步。,3
2018-05-17T03:58:00.000Z,  創意現任董事長曾繁城和張忠謀是當初創辦台積電的最佳戰友，張忠謀曾言，假如當初沒有曾繁城領導的工研院電子所計劃，就不會有今天的台積電，且曾繁城當時也為台積電延攬優秀人才，現任總經理暨共同執行長魏哲家也是曾繁城延攬的，換句話說，張忠謀和曾繁城可說是攜手為台灣的半導體產業闖出一片天。,-2
2018-05-17T02:17:00.000Z,創意 (3443) 今(17)日舉辦股東會，總經理陳超乾談及當前最夯議題量子運算，他表示，創意很幸運的擁有兩大優勢，包括超級電腦的客戶以及台積電 (2330) 先進製程撐腰，這相當有利於創意未來在量子運算領域的發展。,6
2018-05-17T02:17:00.000Z,  面對當下最紅的量子運算，陳超乾表示，創意在量子運算上很幸運的擁有兩大優勢，首先，量子運算為超級電腦勢必會聚焦的區塊，而創意目前就有幾位客戶是在超級電腦領域有所著墨的，再者，創意一直朝著台積電的最先進製程走，而量子運算都是要用到最先進的進程，有台積電的支持，當然更有利於創意在量子運算的發揮。,7
2018-05-17T02:17:00.000Z,  陳超乾進一步表示，創意今年除搶進7奈米外，還會開始朝向7 Plus，未來當然還會和台積電一起走向5奈米、3奈米，以創意的公司規模來說，儘管無法透過大幅度的支出在研發上，但創意在設計上的實力絕對可以支援量子運算。,1
2018-05-17T01:59:00.000Z,創意 (3443) 今(17)日舉辦股東會，創意106年營收、獲利在市場需求暢旺帶動下，ASIC及NRE的業務量均同步成長，總經理陳超乾表示，106年創意交出不錯成績單，未來創意將跟著台積電最新進的製程走，力拚成為客製化IC的全球的領導者，他也說，今年創意搶進7奈米世代，目前也已經看到量產的成績。,9
2018-05-17T01:59:00.000Z,  陳超乾表示，106年市場對先進製程需求旺盛，獲得不少系統公司委外設計的機會，帶動創意去年系統公司的營收占比顯著提升，以先進製程來說，去年台積電 (2330) 的16奈米製程也貢獻了創意28%的營收，預期107年還是會有不錯的成長。,8
2018-05-17T01:59:00.000Z,  陳超乾表示，創意的營運目標就是要在客製化IC成為全球的領導者，都會跟著台積電最新進的製程走，針對系統廠商的需求，在差異化上，在IP、智慧財產甚至封裝，都會提供客製化需求。,3
2018-05-17T01:59:00.000Z,  創意106年合併營收121.6億元，年成長30.9%，稅後淨利為8.55億元，年成長55%，每股盈餘為6.38元，毛利率為26.0%，另外，創意去年高階製程，包括40、28、16及7奈米的加總營收占比已達66%，其中來自16和12奈米的營收相較前一年成長1.3倍，且創意在去年全力建置16奈米人工智慧相關矽智財。,4
2018-05-17T01:59:00.000Z,  陳超乾表示，創意今年將搶進7奈米世代，目前也已經看到量產的成績。,2
