PublishDate,Sentence
2017-01-25T07:37:00.000Z,  美系外資點名12檔台股在年後布局，包括：台積電 (2330) 、大立光 (3008) 、台化 (1326) 、中信金 (2891) 、統一超 (2912) 、億豐 (8464) 、緯創 (3231) 、川湖 (2059) 、寶雅 (5904) 、樺漢 (6414) 、百和 (9938) 、日友 (8341) 。
2017-01-25T07:37:00.000Z,  美系外資點名12檔台股在年後布局，包括：台積電 (2330) 、大立光 (3008) 、台化 (1326) 、中信金 (2891) 、統一超 (2912) 、億豐 (8464) 、緯創 (3231) 、川湖 (2059) 、寶雅 (5904) 、樺漢 (6414) 、百和 (9938) 、日友 (8341) 。
2017-02-22T04:07:00.000Z,台股受美股持續攻高帶動，指數也穩步上攻表態，不過權值股走勢平平，台積電、鴻海、台塑、南亞等都在盤下震盪；高價股則靠股王、股后撐腰，大立光大漲逾 3%，精測也小漲表態，康友 - KY、旭準等股價都維持小漲格局，不過精華、矽力 - KY、信樺、樺漢、川湖與寶雅等，都在盤下震盪。
2017-06-21T07:04:00.000Z,今日外資買超24.5951億元，投信買超2.2059億元，自營商買超26.1903億元，三大法人買超52.99億元。
2019-03-18T00:41:00.000Z,其餘個股依序排列，聖暉 (5536) 、川湖 (2059) 、大江生醫 (8436) 、禾伸堂 (3026) 、寶雅 (5904) 、朋億 (6613) 、儒鴻 (1476) 、祥碩 (5269) 、麗豐-KY (4137) 、宏達電 (2498) 、鮮活果汁-KY (1256) 、京鼎 (3413) 、台積電 (2330) 、尚凡 (5278) 、南亞科 (2408) 、可寧衛 (8422) 、崑鼎投控 (6803) 、GIS-KY (6456) 、上緯投控 (3708) 、璟德電子 (3152) 、宜鼎國際 (5289) 、瑞儀光電 (6176) 、美律 (2439) 、富邦媒 (8454) ，去年也都賺逾1個股本的好成績。
2019-09-09T02:13:00.000Z,台積電上周五於台股收盤為263.5元，外資單日買超1萬2059張。
2019-12-18T06:02:00.000Z,儘管美股收盤創高，但台股加權指數仍開低震盪，早盤最低來到12059.92點，隨著台積電、大立光等權值股拉回平盤附近整理，鴻海翻紅上漲，指數收在12122.45點，上漲25.44點，漲幅0.21%，成交值1474.95億元。
2019-12-18T02:34:00.000Z,（中央社記者吳家豪台北2019年12月18日電）蘋果概念股指標台積電、大立光今天開低，鴻海面對利空消息沿平盤整理，加權指數早盤最低來到12059.92點，下跌37.09點，盤面上以面板股表現較強勢。
2019-12-26T07:09:51.000Z,還有精測、柏文 (8462) 、川湖 (2059) 、聯德控股-KY (4912) 、M31、訊連 (5203) 、全新 (2455) 、力旺、聯茂 (6213) 、鐿鈦、致茂 (2360) 、台燿、日友 (8341) 、聯詠 (3034) 等股價均力挺多方上揚。
2019-12-26T07:09:00.000Z,還有精測、柏文 (8462) 、川湖 (2059) 、聯德控股-KY (4912) 、M31、訊連 (5203) 、全新 (2455) 、力旺、聯茂 (6213) 、鐿鈦、致茂 (2360) 、台燿、日友 (8341) 、聯詠 (3034) 等股價均力挺多方上揚。
2020-02-26T09:14:56.000Z,5.川湖 (2059) ：每股成交價350元，成交量9萬6000股，成交金額3360萬元。
2020-03-01T23:59:00.000Z,　依CMoney最新統計，大立光、旭隼、牧德、寶雅、精測、國巨、川湖、祥碩、華新科、台積電、宜鼎、美律、醫揚、統一超及台郡等15家上市櫃公司，已正式公告2019年EPS超過10元以上，大立光穩居EPS王，然2018年EPS第二的國巨80.3元、第三名的華新科40.75元，則在2019年EPS分別退至16.35元及13.72元。
2020-02-26T09:14:56.000Z,5.川湖 (2059) ：每股成交價350元，成交量9萬6000股，成交金額3360萬元。
2020-03-01T23:59:00.000Z,　依CMoney最新統計，大立光、旭隼、牧德、寶雅、精測、國巨、川湖、祥碩、華新科、台積電、宜鼎、美律、醫揚、統一超及台郡等15家上市櫃公司，已正式公告2019年EPS超過10元以上，大立光穩居EPS王，然2018年EPS第二的國巨80.3元、第三名的華新科40.75元，則在2019年EPS分別退至16.35元及13.72元。
2020-05-13T09:12:39.000Z,"
3.川湖 (2059) ：每股成交價309.72元，成交量5萬股，成交金額1548萬6000元。"
