PublishDate,Sentence
2017-01-20T06:25:00.000Z,  太陽能族群也為今日亮點之一，受惠太陽能矽晶圓報價走強，錸德 (2439) 收漲約3.5%，中美晶 (5483) 、新日光 (3576) 、綠能 (3519) 、達能 (3686) 等也同步走揚。
2017-01-20T03:06:00.000Z,  太陽能矽晶圓報價走強，加上市場看好中國上半年太陽能安裝市場旺，帶動錸德大漲逾4%，中美晶 (5483) 、新日光 (3576) 、綠能 (3519) 、達能 (3686) 等因利多加持，股價同步喊漲。
2017-06-01T07:09:00.000Z,焦點股方面，中環 (2323) 董座看好光碟片產業明年將反轉，激勵股價挾量攻頂，帶動錸德 (2349) 跟進大漲；新藥廠亞獅康-KY (6497) 上櫃首日遭多頭潑冷水，股價重摔逾2成，蜜月行情慘兮兮。
2017-06-01T06:38:00.000Z,  全球兩大光碟片龍頭廠中環 (2323) 和錸德 (2349) 營運出現轉機，中環董事長翁明顯表示，光碟片產業目前是黎明前的黑暗，喊出明年就可見曙光，這一席話激勵股價跳空開高，開盤不到10分鐘隨即攻上漲停來到4.2元，一路漲停鎖死約委賣高掛2.9萬張，也引領錸德盤中呈現高檔震盪，終場收在5.89元，大漲6.5%，雙雙創下波段新高。
2017-06-01T07:09:00.000Z,焦點股方面，中環 (2323) 董座看好光碟片產業明年將反轉，激勵股價挾量攻頂，帶動錸德 (2349) 跟進大漲；新藥廠亞獅康-KY (6497) 上櫃首日遭多頭潑冷水，股價重摔逾2成，蜜月行情慘兮兮。
2017-06-01T06:38:00.000Z,  全球兩大光碟片龍頭廠中環 (2323) 和錸德 (2349) 營運出現轉機，中環董事長翁明顯表示，光碟片產業目前是黎明前的黑暗，喊出明年就可見曙光，這一席話激勵股價跳空開高，開盤不到10分鐘隨即攻上漲停來到4.2元，一路漲停鎖死約委賣高掛2.9萬張，也引領錸德盤中呈現高檔震盪，終場收在5.89元，大漲6.5%，雙雙創下波段新高。
2018-01-23T06:51:00.000Z,光碟片供給趨緊，加上報價吹漲風，激勵中環 (2323) 爆出9萬餘張大量收漲9.55%、錸德 (2349) 爆出近3萬張大量以漲停作收。
2018-01-24T07:17:00.000Z,　連日扮演台股領頭羊的台積電漲多拉回，大立光 (3008) 、鴻海 (2317) 等蘋概指標股亦跟進下殺，僅賴低價的面板股友達 (2409) 、群創 (3481) 及光碟族群中環 (2323) 、錸德 (2349) 強撐人氣；整理多時的二線光學族群亞光 (3019) 、玉晶光 (3406) 、今國光 (6209) 、佳凌 (4976) 、先進光 (3362) 等全面反攻；顯卡與主機板族群力抗寒流，技嘉 (2376) 、精英 (2331) 、微星 (2377) 、映泰 (2399) 、承啟 (2425) 、華擎 (3515) 及撼訊 (6150) 同步大漲。
2018-01-24T06:07:00.000Z,  但台積電今日開低3元，盤中跌幅擴大，加上大立光 (3008) 、鴻海 (2317) 等蘋概指標早盤股價表現續弱，台股大型電子股僅賴低基期的TFT面板友達 (2409) 、群創 (3481) 逆勢上攻，以及低價的中環 (2323) 、錸德 (2349) 撐人氣。
2018-02-22T02:19:00.000Z,  16.錸德 (2349) ：昨獲外資、投信聯手買超1464張，早盤一度挾量衝上5.69元、漲幅逾6.5%。
2018-04-11T07:12:00.000Z,　電子股今日持續扮演領頭羊，權值股台積電 (2330) 、鴻海 (2317) 、聯發科 (2454) 同步勁揚，光學股玉晶光 (3406) 、先進光 (3362) 、佳凌 (4976) 等續強，矽晶圓族群環球晶 (6488) 、中美晶 (5483) 、合晶 (6182) 高檔有撐，光碟股中環 (2323) 及錸德 (2349) 因Q2淡季不淡，股價聯袂攻頂。
2018-04-16T07:08:00.000Z,　盤面上，股王大立光 (3008) 法說後呈現利空出盡走勢，激勵光學元件族群玉晶光 (3406) 強攻漲停，佳凌 (4976) 及亞光 (3019) 等同步放閃；被動元件受到村田傳將停產上演噴出行情，國巨 (2327) 、華新科 (2492) 、日電貿 (3090) 、信昌電 (6173) 同步漲停，帶動禾伸堂 (3026) 、奇力新 (2456) 等跟進大漲；日月光投控30日上市，日月光 (2311) 獲市場看好與矽品 (2325) 整併效益今日帶量強彈；光碟族群中環 (2323) 、錸德 (2349) 與矽晶圓族群環球晶 (6488) 在漲價題材發酵下股價續強；虛擬貨幣概念股撼訊 (6150) 再摔跌停持續探低最為弱勢。
2018-04-16T03:26:00.000Z,其餘光碟片廠中環 (2323) 、錸德 (2349) 與半導體矽晶圓廠環球晶圓 (6488) 等在漲價題材持續發酵下，股價同步走高，連帶帶動整體電子類股指數由黑翻紅，為支撐大盤表現的主力。
2018-05-10T07:12:00.000Z,近來人氣爆棚的被動元件族群漲勢兇猛，除國巨 (2327) 強登股后外，禾伸堂 (3026) 、大毅 (2478) 、信昌電 (6173) 聯袂漲停；低基期低PCB族群華通 (2313) 、燿華 (2367) 、楠梓電 (2316) 及光碟族群中環 (2323) 、錸德 (2349) 同步轉強。
2018-05-14T07:16:00.000Z,台股今日由電子股吹反彈號角，減資題材加持的鴻海 (2317) 扮領頭羊強彈，缺貨漲價題材股依舊強強滾，被動元件族群國巨 (2327) 、華新科 (2492) 、禾伸堂 (3026) 、大毅 (2478) 及矽晶圓族群環球晶 (6488) 、台勝科 (3532) 、合晶 (6182) 、嘉晶 (3016) 、中美晶 (5483) 聯袂漲停，以及股王大立光 (3008) 盤中轉強帶動玉晶光 (3406) 走揚，加上中低價股錸德 (2349) 、中環 (2323) 、達方 (8163) 同飆漲停，使台股開高走高，盤中大漲逾百點強攻10970.24點，終場加權指數上漲93.41點為10952.39點，呈現日K連7紅走勢，成交值縮至1435.29億元。
2018-05-14T07:16:00.000Z,低價轉機股錸德 (2349) 、中環 (2323) 擠進雲端概念股行列，股價同奔漲停。
