PublishDate,Sentence
2018-10-17T01:14:00.000Z,至目前為止，台積電手上持有茂迪僅剩2350張，持股比率0.43%，市值約2400萬元。
2019-12-09T09:19:19.000Z,"
8.台積電 (2330) ：每股成交價315.59元，成交量16萬5000股，成交金額5207萬2350元。"
2020-01-15T09:15:04.000Z,12.台積電 (2330) ：每股成交價339.93元，成交量6萬9160股，成交金額2350萬9559元。
2020-02-27T09:17:17.000Z,"
8.研華 (2395) ：每股成交價293.75元，成交量8萬股，成交金額2350萬元。"
2020-02-27T09:17:17.000Z,"
8.研華 (2395) ：每股成交價293.75元，成交量8萬股，成交金額2350萬元。"
2020-03-17T09:15:23.000Z,"
6.鴻海 (2317) ：每股成交價71.15元，成交量348萬9000股，成交金額2億4824萬2350元。"
2020-11-21T10:45:33.000Z,張忠謀演說中指出，在中華台北，我們十分幸運能遏止 COVID-19 疫情擴散，中華台北人口總數約 2350 萬人，截至 20 日為止，僅 611 例確診病例及 7 例死亡病例。
2021-07-28T23:56:00.000Z,FinFET走到物理極限 三雄將在GAA一分高下外界也好奇，接下來的技術競爭該怎麼看呢？業內人士指出，不管是7奈米、5奈米、10奈米，這些都還是基於在FinFET的架構，本質上差異並不大，要有更飛越性的效能提升，就要進入新架構，也就是GAA(閘極全環電晶體)。
2021-07-28T23:56:00.000Z,FinFET走到物理極限 三雄將在GAA一分高下外界也好奇，接下來的技術競爭該怎麼看呢？業內人士指出，不管是7奈米、5奈米、10奈米，這些都還是基於在FinFET的架構，本質上差異並不大，要有更飛越性的效能提升，就要進入新架構，也就是GAA(閘極全環電晶體)。
2021-10-14T08:52:00.000Z,此外2奈米也已在發展中，並考慮閘極全環電晶體（Gate-all-around，GAA）製程，到2025年會是最具競爭力的製程。
