PublishDate,Sentence
2017-01-17T11:32:00.000Z,成交量前10名個股依次為：大同 (2371) 、華邦電 (2344) 、元大滬深300正2（00637L）、榮成 (1909) 、富邦上証正2（00633L）、宏?? (2353) 、彩晶 (6116) 、緯創 (3231) 、群創 (3481) 、友達 (2409) 。
2017-01-24T09:30:00.000Z,選股策略方面，美系外資根據投資評等為「劣於大盤」、市值大於10億美元（約新台幣314億元）等指標，篩選出建議避開的11檔台股個股，包括：鴻海 (2317) 、中鋼 (2002) 、正新 (2105) 、聯電 (2303) 、永豐金 (2890) 、世界 (5347) 、新光金 (2888) 、宏達電 (2498) 、大聯大 (3702) 、臻鼎-KY (4958) 、宏?? (2353) 。
2017-02-03T01:10:00.000Z,  至於「放空」的10檔則有：大立光 (3008) 、研華 (2395) 、友達 (2409) 、宏達電 (2498) 、宏碁 (2353) 、儒鴻 (1476) 、豐泰 (9910) 、台塑化 (6505) 、兆豐金 (2886) 、中租-KY (5871) 。
2017-02-03T01:10:00.000Z,  至於「放空」的10檔則有：大立光 (3008) 、研華 (2395) 、友達 (2409) 、宏達電 (2498) 、宏碁 (2353) 、儒鴻 (1476) 、豐泰 (9910) 、台塑化 (6505) 、兆豐金 (2886) 、中租-KY (5871) 。
2017-02-10T01:38:00.000Z,上述挑戰也恐影響5檔個股，包括聯電 (2303) 、鴻海 (2317) 、宏達電 (2498) 、宏?? (2353) 、統一超 (2912) 。
2017-03-08T05:44:00.000Z,台灣發行股票當中，股東人數最多的是中鋼 (2002) ，歷史股價最高是大立光 (3008) ，最早將股票無實體發行的是宏?? (2353) ，外資持股比例最高是台積電 (2330) ，企業集團上市總市值最大是台塑企業 (1301) 集團，營收最高是鴻海 (2317) 。
2017-03-15T03:10:00.000Z,開發工銀的投資軌跡儼然就是一部台灣產業發展史，當今耳熟能詳的世界級企業包括台積電 (2330) 、宏?? (2353) 、華碩 (2357) 、友達 (2409) 等，都是開發工銀在早期就參與投資的客戶。
2017-03-31T03:06:00.000Z,宏碁 (2353) 公布去年財報再度轉盈為虧，但外資並未因此給予減碼評價，匯豐證仍給「持有」，同時目標價還小幅上修到15.25元。
2017-03-31T03:06:00.000Z,宏碁昨天提名的4位獨董名單，市場認為有助於宏碁未來在雲端事業的推升。
2017-03-31T03:06:00.000Z,匯豐證指出，去年4Q宏碁毛利率較前季下滑到9%，主要也是受到零組件漲價的衝擊。
2017-03-31T03:06:00.000Z,  匯豐證指出，宏碁的經營階層今年的策略聚焦在獲利及新事業的版圖拓展。
2017-03-31T03:06:00.000Z,在營收主力的PC業務上，傳統PC今年可能再出現約1~2成的年減，宏碁將主力放到輕薄、2-in-1以及Chromebook和電競的領域，預期該4大產品線的年成長要達到13-23%。
2017-03-31T03:06:00.000Z,透過上述的產品組合調整提高宏碁的獲利能力。
2017-03-31T03:06:00.000Z,  Virtual reality(VR)在宏碁營運中，已經是一個實際的事業群。
2017-03-31T03:06:00.000Z,宏碁為IMAX-VR提供高效的VR頭套，宏碁去年底董事會通過，投資1千萬美元於IMAX虛擬實境內容基金（IMAX VR Content Fund），基金首輪投資者除了宏碁及IMAX公司以外，還包含全球頂尖的媒體及娛樂業者，希望藉此共同提升虛擬實境內容產業發展，將VR體驗提升至嶄新的境界。
2017-03-31T03:06:00.000Z,第一個IMAX-VR中心位於加利福尼亞州的洛杉磯，並使用兩種類型的VR耳機，一個是宏碁另外一家是宏達電 (2498) 。
2017-03-31T03:06:00.000Z,   宏碁提名的四名新任獨立董事包括台積電 (2330) 副董事長曾繁城、台大國際企業學系教授李吉仁、台灣大 (3045) 基金會董事長張善政，及力旺 (3529) 電子董事長徐清祥。
2017-03-31T03:06:00.000Z,若張善政順利進入宏碁董事會，未來將和接任董事長的全球總裁暨執行長陳俊聖，以及主掌宏碁雲端服務的施振榮長子施宣輝，3人可望共組宏碁雲端鐵三角，加速轉型腳步。
2017-03-31T03:06:00.000Z,宏?? (2353) 公布去年財報再度轉盈為虧，但外資並未因此給予減碼評價，匯豐證仍給「持有」，同時目標價還小幅上修到15.25元。
2017-03-31T03:06:00.000Z,宏碁 (2353) 公布去年財報再度轉盈為虧，但外資並未因此給予減碼評價，匯豐證仍給「持有」，同時目標價還小幅上修到15.25元。
2017-03-31T03:06:00.000Z,宏碁昨天提名的4位獨董名單，市場認為有助於宏碁未來在雲端事業的推升。
2017-03-31T03:06:00.000Z,匯豐證指出，去年4Q宏碁毛利率較前季下滑到9%，主要也是受到零組件漲價的衝擊。
2017-03-31T03:06:00.000Z,  匯豐證指出，宏碁的經營階層今年的策略聚焦在獲利及新事業的版圖拓展。
2017-03-31T03:06:00.000Z,在營收主力的PC業務上，傳統PC今年可能再出現約1~2成的年減，宏碁將主力放到輕薄、2-in-1以及Chromebook和電競的領域，預期該4大產品線的年成長要達到13-23%。
2017-03-31T03:06:00.000Z,透過上述的產品組合調整提高宏碁的獲利能力。
2017-03-31T03:06:00.000Z,  Virtual reality(VR)在宏碁營運中，已經是一個實際的事業群。
2017-03-31T03:06:00.000Z,宏碁為IMAX-VR提供高效的VR頭套，宏碁去年底董事會通過，投資1千萬美元於IMAX虛擬實境內容基金（IMAX VR Content Fund），基金首輪投資者除了宏碁及IMAX公司以外，還包含全球頂尖的媒體及娛樂業者，希望藉此共同提升虛擬實境內容產業發展，將VR體驗提升至嶄新的境界。
2017-03-31T03:06:00.000Z,第一個IMAX-VR中心位於加利福尼亞州的洛杉磯，並使用兩種類型的VR耳機，一個是宏碁另外一家是宏達電 (2498) 。
2017-03-31T03:06:00.000Z,   宏碁提名的四名新任獨立董事包括台積電 (2330) 副董事長曾繁城、台大國際企業學系教授李吉仁、台灣大 (3045) 基金會董事長張善政，及力旺 (3529) 電子董事長徐清祥。
2017-03-31T03:06:00.000Z,若張善政順利進入宏碁董事會，未來將和接任董事長的全球總裁暨執行長陳俊聖，以及主掌宏碁雲端服務的施振榮長子施宣輝，3人可望共組宏碁雲端鐵三角，加速轉型腳步。
2017-03-31T03:06:00.000Z,宏?? (2353) 公布去年財報再度轉盈為虧，但外資並未因此給予減碼評價，匯豐證仍給「持有」，同時目標價還小幅上修到15.25元。
2017-04-07T01:57:00.000Z,再來是LG排第四、亞馬遜是老五，台廠宏??(2353)和華碩(2357)分別排名第六、第七(完整評分見此)。
2017-05-16T02:37:00.000Z,電腦勒索病毒WannaCry橫掃全球近百個國家，主要透過微軟Windows7以前的老舊電腦系統漏洞傳染，隨著災情不斷傳出，可能意外引爆新一波電腦換機潮，宏碁 (2353) 、華碩 (2357) 今日雙雙小漲。
2017-05-26T06:36:00.000Z,  端午長假前夕，權值電子股普遍休兵，也壓抑大盤指數難有明顯拉高表現，整場多呈現萬點以上的震盪整理，股王大立光 (3008) 小漲0.6%作收，報在4835元，台積電 (2330) 則收在207元平盤位置，鴻海 (2317) 則小跌近0.5%，收在104.5元，惟具有低基期優勢的宏碁 (2353) 受惠即將到來的Computex新品效應，股價大漲4%作收，宏達電 (2498) 也因新款旗艦機傳出即將前進日本市場，股價小漲約0.5%作收。
2017-05-26T03:00:00.000Z,  電子股方面，今日權值龍頭股並無明顯撐盤，股王大立光 (3008) 盤中震盪小漲，漲幅約0.5%，台積電 (2330) 於平盤下狹幅震盪，鴻海 (2317) 、聯發科 (2454) 等亦多於平盤附近弱勢震盪，宏碁 (2353) 則是受惠將在即將開展的台北國際電腦展(Computex)，推出全新Nitro系列筆電以及新款Acer Spin 1可翻轉筆電，今股價一度大漲4.5%。
2017-07-13T07:00:00.000Z,宏碁 (2353) 今年發放0.5元現金股利，除息參考價為15.3元，股價來到15.6元。
2017-09-01T02:52:00.000Z,  大型電子權值股今表現平穩，股王大立光 (3008) 於盤上小漲震盪，盤中股價最高達5880元，台積電 (2330) 亦於盤上小漲震盪，鴻海 (2317) 、聯發科 (2454) 盤中維持小漲，於德國IFA端出新品的雙A，宏碁 (2353) 推出高效能水冷電競旗艦桌機，攻頂級電競市場，今股價續揚近4.5%，至於大秀首款MR頭戴裝置的華碩 (2357) 則小漲約0.6%。
2017-09-01T02:52:00.000Z,  大型電子權值股今表現平穩，股王大立光 (3008) 於盤上小漲震盪，盤中股價最高達5880元，台積電 (2330) 亦於盤上小漲震盪，鴻海 (2317) 、聯發科 (2454) 盤中維持小漲，於德國IFA端出新品的雙A，宏碁 (2353) 推出高效能水冷電競旗艦桌機，攻頂級電競市場，今股價續揚近4.5%，至於大秀首款MR頭戴裝置的華碩 (2357) 則小漲約0.6%。
