PublishDate,Sentence
2017-04-07T00:58:00.000Z,o強勢股：以個股表現或跌深反彈為主，諸如台勝科 (3532) 、環球晶 (6488) 、亞德客-KY (1590) 、旺宏 (2337) 、台光電 (2383) 、技嘉 (2376) 、榮成 (1909) 、聯華 (1229) 、璟德 (3152) 等。
2017-10-24T07:12:00.000Z,受科技股和工業股下跌拖累，周一美股三大指數收黑，台股今日在技嘉 (2376) 、燿華 (2367) 、世芯-KY (3661) 、亞光 (3019) 等中小型股強攻領漲下，指數開高走高一度來到10766.64點，惟台積電 (2330) 盤中翻黑削弱多頭士氣，指數多於平盤附近狹幅震盪，盤中有賴股王大立光 (3008) 和生醫、航運等傳產股強撐人氣，終場加權指數上漲8.57點為10743.78點，成交值為1107.62億元。
2017-10-24T07:12:00.000Z,　電子股方面，今日由中小型股發動攻勢，電子零件族群燿華法說釋出樂觀訊息激勵股價爆量攻頂，帶動臻鼎-KY (4958) 、瀚宇博 (5469) 等聯袂揚升，成盤面領頭羊；虛擬貨幣比特幣再掀挖礦熱潮，技嘉 (2376) 連2日噴出大漲，鼓舞世芯-KY (3661) 亮燈漲停攻上波段新高；二線光學鏡頭股在亞光 (3019) 領漲下重新點火，聯一光 (3441) 、先進光 (3362) 、今國光 (6209) 等集體放閃。
2017-10-24T06:29:00.000Z,虛擬貨幣比特幣挖礦熱潮延續，外資從10月起布局的板卡廠技嘉 (2376) 一度站上漲停但未鎖死，終場漲幅收斂至6.9%，收46.45元；世芯-KY (3661) 也收漲停125.5元。
2017-10-24T02:41:00.000Z,虛擬貨幣比特幣挖礦熱潮延續，外資從10月起布局的板卡廠技嘉 (2376) 一度站上漲停47.75元但未鎖死，世芯-KY (3661) 也攻上漲停125.5元，2檔個股成交量名列前茅。
2018-01-24T07:17:00.000Z,　連日扮演台股領頭羊的台積電漲多拉回，大立光 (3008) 、鴻海 (2317) 等蘋概指標股亦跟進下殺，僅賴低價的面板股友達 (2409) 、群創 (3481) 及光碟族群中環 (2323) 、錸德 (2349) 強撐人氣；整理多時的二線光學族群亞光 (3019) 、玉晶光 (3406) 、今國光 (6209) 、佳凌 (4976) 、先進光 (3362) 等全面反攻；顯卡與主機板族群力抗寒流，技嘉 (2376) 、精英 (2331) 、微星 (2377) 、映泰 (2399) 、承啟 (2425) 、華擎 (3515) 及撼訊 (6150) 同步大漲。
2018-02-06T02:17:00.000Z,  15.技嘉 (2376) ：股價高檔修正，早盤一度跌至62.8元，摔出月線。
2018-02-09T02:18:00.000Z,  28.技嘉 (2376) ：1月營收年增6成，創新高，激勵股價翻紅有撐，早盤帶量走揚逾1%。
2018-02-12T02:14:00.000Z,  17.技嘉 (2376) ：1月板卡廠業績再繳佳績，不畏近日土洋法人對作，早盤股價漲逾3%。
2018-02-21T02:12:00.000Z,  22.技嘉 (2376) ：挖礦、電競需求熱絡，Q1營運不看淡，推升早盤帶量衝漲逾6.5%  23.麗臺 (2465) ：板卡廠紅不讓，上月業績寫新高，今早開紅盤後急拉漲停鎖死。
2018-03-08T02:14:00.000Z,  26.技嘉 (2376) ：三大法人力挺，早盤帶量續高漲逾5%，登波段新高價、站穩所有短均。
