PublishDate,Sentence
2017-01-20T06:29:00.000Z,電子權值股台積電及鴻海則互有漲跌，台積電站回 181 元，鴻海則是小黑，所幸蘋概股相對穩盤，可成、GIS-KY、華通、台達電、良維、緯創、旺宏、順德、精元等均走揚。
2017-03-17T00:59:00.000Z,日期：2017年 3月17日※本日焦點股美律、國泰金、宜鼎、可成、立積、台苯、聯茂、瀚荃、精元、盛群、盟立、威剛、勝一、久威、西勝、偉訓、雷科、泰銘※昨日盤勢解析歐股週三收盤前仍觀望美國利率決策、荷蘭大選，西歐三大指數小幅上漲。
2017-03-30T06:32:00.000Z,另外 GIS-KY、TPK-KY、晶技、精元、達方、順德、嘉聯益也漲逾 1%。
2017-03-30T06:32:00.000Z,另外 GIS-KY、TPK-KY、晶技、精元、達方、順德、嘉聯益也漲逾 1%。
2017-12-28T02:15:00.000Z,  10.精元 (2387) ：明年營運樂觀，營收拚增2成，早盤量增價漲逾2%。
2018-10-29T09:09:00.000Z,華為今(29)日舉辦下半年旗艦機Hauwei Mate20新機發表會，不僅有5家電信業者中華電 (2412) 、台灣大 (3045) 、遠傳 (4904) 、亞太電 (3682) 以及台灣之星強勢站台，台灣一線大廠品牌供應鏈一字排開站台，除大立光 (3008) 董事長林恩舟以及矽品董事長林文伯外，還有台積電 (2330) 、億光 (2392) 、精元 (2387) 、欣興 (3037) 、華通 (2313) 、嘉聯益 (6153) 、華晶科 (3046) 、晶技 (3042) 等大廠，針對美中貿易戰，林恩舟直言，今年還看不明顯，擔心明年狀況。
2019-07-22T02:06:00.000Z, 23.精元 (2387) ：蘋果鍵盤更新受惠股，可望揮別營運低潮，投信連4日買超4454元，早盤帶量續刷新波段高價，漲逾6%、觸及34.25元。
2019-08-01T02:03:00.000Z, 25.精元 (2387) ：蘋果NB鍵盤發威，7月股價暴漲逾110%，昨三大法人聯手力挺，早盤翻紅續漲7%，連3日刷新短波高價。
2019-08-01T02:03:00.000Z, 25.精元 (2387) ：蘋果NB鍵盤發威，7月股價暴漲逾110%，昨三大法人聯手力挺，早盤翻紅續漲7%，連3日刷新短波高價。
2019-08-14T06:41:00.000Z,電腦周邊近日力挺多方，早盤由科嘉-KY (5215) 登高漲停領軍下，NB代工廠廣達 (2382) 、緯創 (3231) 、和碩 (4938) ；蘋果鍵盤股精元 (2387) ；5G概念股奇鋐 (3017) ；財報利多的威強電 (3022) 、樺漢 (6414) 、勤誠 (8210) 、華擎 (3515) ，以及新美齊 (2442) 、飛捷 (6206) 、華孚 (6235) 、達方 (8163) 等個股均集體上攻。
2019-08-14T06:41:00.000Z,　蘋果NB鍵盤改款，昨日證交所法說的科嘉-KY、精元營運可望吃補，科嘉-KY獲利大幅跳升，第二季EPS為1.29元，上半年EPS為1.9元，7月營收月增21.28%、年增率5.52%，外資、投信連3日買超1850張，股價連3日刷新波段高點，今日再度高鎖64.6元漲停價。
2019-08-14T06:41:00.000Z,精元上半年EPS為0.12元，7月營收月減12.19%、年增29.35%，獲投信連4日買超2699張，今股價續漲近半根漲停板。
2019-08-28T02:04:00.000Z, 29.精元 (2387) ：蘋果體質護體，股價跌深反彈逾半根漲停，登39.7元、躍上月線。
2019-09-12T07:07:00.000Z,　蘋果新機發布後，因訂價策略給力，推升蘋果股價創近11個月收盤高，台系蘋果鏈秋節前夕亦見買盤點火，大立光 （3008） 、精元 （2387） 、新普 （6121） 、南電 （8046） 、台光電 （2383） 、欣興 （3037） 等紅通通。
2019-09-20T02:14:37.000Z,"
21.精元 (2387) ：外資連9日賣超2916張，蘋概題材低檔承接，市場買方積極，早盤上漲近半根漲停板。"
2019-09-20T02:14:00.000Z, 21.精元 (2387) ：外資連9日賣超2916張，蘋概題材低檔承接，市場買方積極，早盤上漲近半根漲停板。
2019-10-07T07:14:24.000Z,"
今日集中市場十大漲幅個股為:中電 (1611) 漲10.00%、精元 (2387) 漲10.00%、科嘉-KY (5215) 漲9.95%、陽光能 (9157) 漲9.38%、達新 (1315) 漲8.70%、鈺邦 (6449) 漲8.32%、嘉裕 (1417) 漲7.77%、昇陽 (3266) 漲7.29%、可成 (2474) 漲6.48%、超眾 (6230) 漲6.16%。"
2019-10-07T07:14:24.000Z,精元身居蘋概族群，股價已高檔盤整近兩個月，今日交投大爆發，衝出近1.9萬張大量，擺脫短均糾結、強攻漲停39.6元作收。
2019-10-07T07:14:00.000Z, 今日集中市場十大漲幅個股為:中電 (1611) 漲10.00%、精元 (2387) 漲10.00%、科嘉-KY (5215) 漲9.95%、陽光能 (9157) 漲9.38%、達新 (1315) 漲8.70%、鈺邦 (6449) 漲8.32%、嘉裕 (1417) 漲7.77%、昇陽 (3266) 漲7.29%、可成 (2474) 漲6.48%、超眾 (6230) 漲6.16%。
2019-10-07T07:14:00.000Z,精元身居蘋概族群，股價已高檔盤整近兩個月，今日交投大爆發，衝出近1.9萬張大量，擺脫短均糾結、強攻漲停39.6元作收。
2019-10-14T02:15:32.000Z,"
28.精元 (2387) ：9月營收月增35.41%、年增40.61%，前9月營收增2成，外資回頭買超，開盤直奔41.5元。"
2019-10-14T02:15:00.000Z, 28.精元 (2387) ：9月營收月增35.41%、年增40.61%，前9月營收增2成，外資回頭買超，開盤直奔41.5元。
2019-10-15T06:45:00.000Z,此外，蘋果預計將會在本月的蘋果新品發表會上，發表推出全新16吋MacBook Pro，外傳新款Macbook鍵盤設計將由「蝴蝶腳」，改回為「剪刀腳」，精元 (2387) 、茂林-KY (4935) 、科嘉-KY (5215) 受惠最大，今日科嘉-KY、精元雙雙放量收漲停，茂林-KY亦大漲逾7.5%。
2019-10-15T06:22:00.000Z,　包括半導體在內的電子類股個股，今日以華擎及TPK-KY漲停最受矚目，另精元、聯陽、茂林-KY、銘旺科、中揚光、承啟、科嘉-KY、眾達-KY等，股價均大漲6～9％以上，另奇力新、洋華、美隆電、GIS-KY、合勤控、嘉澤、騰輝電子-KY、虹堡、瀚宇博、精英、泰鼎-KY、偉詮電、智邦、晶彩科、鎧勝-KY、強茂、動力-KY、凌巨、牧德等均上漲3～6％之間。
2019-10-16T02:02:17.000Z,"
27.精元 (2387) ：蘋果新Macbook剪刀腳題材續發燙，內資相挺，開盤半小時即爆近2萬張量能，股價高漲近7.5%，衝上47.5元短波高價。"
2019-10-16T02:02:00.000Z, 27.精元 (2387) ：蘋果新Macbook剪刀腳題材續發燙，內資相挺，開盤半小時即爆近2萬張量能，股價高漲近7.5%，衝上47.5元短波高價。
2019-10-23T07:20:00.000Z,科嘉-KY (5215) 、精元 (2387) 兩個股亦挾蘋果新品剪刀腳題材，惟近日股價多處於高檔修正，今盤中亦守不住紅盤，雙雙翻黑收跌。
2019-11-14T07:12:28.000Z,蘋果公司(Apple)在官網無預警發表16吋MacBook Pro筆記型電腦，搭載全新巧控鍵盤，有望帶動供應鏈業績，受惠個股包括代工廠廣達 (2382) ，以及鍵盤導光板廠茂林-KY (4935) 與精元 (2387) 、鍵盤薄膜觸控開關供應商科嘉-KY (5215) ；金屬機殼廠可成 (2474) 、鎧勝-KY (5264) ，今股價除了鎧勝-KY小幅收黑外，全體樂上攻。
2019-11-14T07:12:00.000Z,蘋果公司(Apple)在官網無預警發表16吋MacBook Pro筆記型電腦，搭載全新巧控鍵盤，有望帶動供應鏈業績，受惠個股包括代工廠廣達 (2382) ，以及鍵盤導光板廠茂林-KY (4935) 與精元 (2387) 、鍵盤薄膜觸控開關供應商科嘉-KY (5215) ；金屬機殼廠可成 (2474) 、鎧勝-KY (5264) ，今股價除了鎧勝-KY小幅收黑外，全體樂上攻。
2019-12-13T02:11:00.000Z, 12.精元 (2387) ：外資轉買、投信大買超逾1600張，早盤人氣續爆棚，推升早盤上漲逾4.5%，創一個半月高價。
2019-12-16T02:05:00.000Z, 32.精元 (2387) ：18號法說行情點火，且蘋果題材續發酵，買方擁簇，股價強漲逾4%，再登一個月半高點。
2020-04-06T01:50:06.000Z,與會的廠商包括:台泥、葡萄王、群光、精元、國泰金、新光金、泰碩、融程電、嘉澤、氣立、材料-KY、南寶、聯嘉、旭隼、矽力-KY、仁新、勤誠、富邦媒、億豐、商億-KY、成霖、世紀鋼、穩懋、雙鴻、中裕、中美晶、晶焱、藥華藥、環球晶、群聯、光隆、森鉅、伊雲谷等。
2020-05-12T23:40:32.000Z,"
◆上季每股盈虧／精元-0.43元 本季拚轉盈。"
2020-10-31T03:18:23.000Z,"
除了台積電之外，其他有望受惠Mac筆電發表的台廠包括供應連接元件的鴻海 (2317) 及正崴 (2392) 、組裝廠廣達、軸承廠新日興、散熱廠雙鴻 (3324) 及奇鋐 (3017) 、IC載板廠欣興 (3037) 、IC設計廠譜瑞-KY (4966) 、軟板廠台郡 (6269) 及臻鼎-KY (4958) 、鍵盤廠精元 (2387) 、鍵盤觸控薄膜供應商科嘉-KY (5215) 、電池模組廠新普 (6121) 及順達 (3211) 等。"
2020-10-31T03:18:23.000Z,"
除了台積電之外，其他有望受惠Mac筆電發表的台廠包括供應連接元件的鴻海 (2317) 及正崴 (2392) 、組裝廠廣達、軸承廠新日興、散熱廠雙鴻 (3324) 及奇鋐 (3017) 、IC載板廠欣興 (3037) 、IC設計廠譜瑞-KY (4966) 、軟板廠台郡 (6269) 及臻鼎-KY (4958) 、鍵盤廠精元 (2387) 、鍵盤觸控薄膜供應商科嘉-KY (5215) 、電池模組廠新普 (6121) 及順達 (3211) 等。"
