PublishDate,Sentence
2017-01-11T00:58:00.000Z,2.本週(1/9~1/13)台股法說會：台積電 (2330) 、大立光 (3008) 、毅嘉 (2402) 、友通 (2397) 等。
2017-02-11T07:42:00.000Z,　若以去年現金殖利率4％以上、近4年現金發放率高於6成，台股中就有好幾百檔，因此進一步以去年前3季EPS已經優於2015年全年者篩選，以及預估第4季EPS為正者，精選出包含台塑化、台化、全國電、新至陞、聚積、富晶通、友通、宏全、世界、崇友、長虹、泰銘、上奇，及已經公布股利的新唐等47檔。
2018-02-12T02:14:00.000Z,  16.友通 (2397) ：1月營收創高、月增達九成，早盤股價一度漲停達62.1元，創波段新高。
2018-10-09T07:02:00.000Z,工業電腦9月營收下滑，研華 (2395) 、友通 (2397) 、飛捷 (6206) 股價皆受拖累，而研揚 (6579) Q3營收亮、Q4續拚高，股價領漲工業電腦族群。
2018-11-20T07:12:00.000Z,台泥 (1101) 、聯發科 (2454) 、將開法說會的全球傳動 (4540) 、反彈衝的日馳 (1526) 、麗清 (3346) 、康普 (4739) 、營運拉升的車王電 (1533) 、祭庫藏股的友通 (2397) 、浩鑫 (2405) 均力挺大盤。
2019-03-14T07:15:00.000Z,而研華 (2395) 長期方向明確，法人維持買進評等，開盤即攻上近2年新高價，收漲2.46%至250元；多鏡頭利多的PA股全新 (2455) 以及殖利率吸睛的友通 (2397) 、祥碩 (5269) 股價也齊心逆勢走揚。
2019-03-14T06:04:00.000Z, 今日中小型題材股以消息面為走揚指標，錸德 (2349) 及旗下鈺德 (3050) 積極轉型，今聯袂大漲，同步亮燈漲停；工業電腦廠友通 (2397) 擬大方配息5.28元，將盈餘全數發放，量增開高勁揚，創去年8月中以來逾7月高點；PCB族群有聯茂 (6213) 、台光電 (2383) 大漲逾8%，嘉聯益 (6153) 漲幅逾4%，欣興 (3034) 亦上漲2%。
2019-05-21T02:14:00.000Z, 22.友通 (2397) ：貿易戰受惠，營運續拚高成長，股價逆勢上漲逾3%，摸及92.4元、再衝上波段新高價。
2019-09-19T02:05:42.000Z,"
19.華通 (2313) ：隨5G供應鏈進入拉貨旺季，外資昨買超1232張，投信買超5日計8155張，自營商賣超1日2397張，股價漲0.82%。"
2019-09-19T02:05:00.000Z, 19.華通 (2313) ：隨5G供應鏈進入拉貨旺季，外資昨買超1232張，投信買超5日計8155張，自營商賣超1日2397張，股價漲0.82%。
2019-09-24T07:09:00.000Z,台股突破10900點之後市場陷入量縮觀望期，早盤台積電 (2330) 、大立光 (3008) 續疲，金融股跌多漲少，電金休兵，中小型股擔綱演出，羅昇 (8374) 私募引資友通，股價亮燈衝至漲停板；昇陽半 (8028) 旺季接單暢旺，法人看好今年營收可望改寫歷史新高，股價強漲逾6%。
2019-09-24T07:09:00.000Z,台股突破10900點之後市場陷入量縮觀望期，早盤台積電 (2330) 、大立光 (3008) 續疲，金融股跌多漲少，電金休兵，中小型股擔綱演出，羅昇 (8374) 私募引資友通，股價亮燈衝至漲停板；昇陽半 (8028) 旺季接單暢旺，法人看好今年營收可望改寫歷史新高，股價強漲逾6%。
2019-09-24T02:48:00.000Z, 羅昇 (8374) 私募引資友通，股價亮燈衝至漲停板22.15元；昇陽半 (8028) 旺季接單暢旺，法人看好今年營收可望改寫歷史新高，股價強漲逾6%；生技醫療族群以中小型個股表現較為強勢，優盛 (4121) 與盛弘攜手拚當藥局龍頭，股價鎖在漲停板11.7元，豪展 (4735) 漲幅逼近5%；PCB族群每日輪動個股不同，嘉聯益 (6153) 續強領漲，不過燿華 (2367) 及欣興 (3037) 等昨日衝高後今日遇到反壓，股價壓在平盤下方整理；生產蘋果西打汽水聞名的大飲 (1213) 停牌五個半月後，今日恢復交易實施全額交割，今日開盤跌停鎖住7.88元；宏碁 (2353) 盤中漲幅逾3.8%，帶量日K連3紅，多頭挑戰半年線；潤泰材 (8463) 挾著離岸風電商機題材，股價連拉2根漲停板。
2019-10-02T02:08:34.000Z,"
34.羅昇 (8374) ：4.6億私募現增完畢，友通全數認購，早盤一度彈升逾2%。"
2019-10-02T02:08:00.000Z, 34.羅昇 (8374) ：4.6億私募現增完畢，友通全數認購，早盤一度彈升逾2%。
2019-10-02T02:08:34.000Z,"
34.羅昇 (8374) ：4.6億私募現增完畢，友通全數認購，早盤一度彈升逾2%。"
2019-10-02T02:08:00.000Z, 34.羅昇 (8374) ：4.6億私募現增完畢，友通全數認購，早盤一度彈升逾2%。
2019-11-05T02:14:00.000Z, 16.友通 (2397) ：10月營收創新高，月增近4成、年增逾8成，前10月營收年增26.38%，晨盤觸及89.7元漲停價。
2019-12-04T05:29:22.000Z,工業電腦廠其陽 （3564） 營運自去年第四季起復甦，今年3月獲友通認購私募新股取得51.1％股權，加入佳世達集團聯合艦隊，第二季營運出現轉虧為盈。
2019-12-04T05:29:00.000Z,　工業電腦廠其陽 （3564） 營運自去年第四季起復甦，今年3月獲友通認購私募新股取得51.1％股權，加入佳世達集團聯合艦隊，第二季營運出現轉虧為盈。
2019-12-04T05:29:22.000Z,工業電腦廠其陽 （3564） 營運自去年第四季起復甦，今年3月獲友通認購私募新股取得51.1％股權，加入佳世達集團聯合艦隊，第二季營運出現轉虧為盈。
2019-12-04T05:29:00.000Z,　工業電腦廠其陽 （3564） 營運自去年第四季起復甦，今年3月獲友通認購私募新股取得51.1％股權，加入佳世達集團聯合艦隊，第二季營運出現轉虧為盈。
