PublishDate,Sentence
2017-01-04T06:59:00.000Z,　盤面上，台積電 (2330) 爆出收賄弊案，股價一度翻黑，電子股仰賴具利多題材的中小型股撐盤，昱晶 (3514) 、光鋐 (4956) 及智原 (3035) 聯袂上攻；CES車聯網當道，概念股受矚目，明泰 (3380) 、仲琦 (2419) 、中磊 (5388) 、昇達科 (3491) 、威潤 (6465) 、啟碁 (6285) 表現硬頸。
2017-01-10T07:05:00.000Z,　盤面上，台股雙王大立光 (3008) 與台積電 (2330) 將在周四舉行法說，大立光 (3008) 昨日盤中出現22次熔斷交易，創下台股史上首例，今日買盤回籠，收在今日最高4135元，台積電則平盤作收；網通股去年營運大豐收，中磊 (5388) 、智邦 (2345) 、智易 (3596) 、仲琦 (2419) 同步勁揚；IC封裝材料廠易華電 (6552) 上市首日大漲27%，蜜月行情燒燙燙。
2017-03-20T06:58:00.000Z,　電子股表現方面，權值股今日普遍熄火，大立光 (3008) 、鴻海 (2317) 小幅回檔，台積電 (2330) 收在平盤；次族群表現相對搶眼，網通股在產業景氣持續看好下成為盤面領漲指標，波若威 (3163) 、友訊 (2332) 盤中雙雙攻頂，帶動智邦 (2345) 、合勤控 (3704) 、正文 (4906) 、台揚 (2314) 、仲琦 (2419) 等群起攻之；記憶體模組廠上半年持續受惠記憶體價格向上，創見 (2451) 、威剛 (3260) 樂觀看待第一季營運表現，加上高股利題材吸引買盤追捧，創見樂登百元、威剛一度亮燈漲停。
2017-03-22T06:58:00.000Z,中小型具題材股TPK-KY (3673) 、晶電 (2448) 等強勢撐盤，網通股在財報、股利題材爆發下成多頭明燈，下午舉辦法說的台通 (8011) 領軍喊衝，仲琦 (2419) 亮燈漲停，帶動友訊 (2332) 、建漢 (3062) 等同步走揚；太陽能族群烏雲密布，新日光 (3576) 、碩禾 (3691) 聯袂下挫逾2%。
2017-03-28T07:01:00.000Z,網通股在高股利政策催化下續扮領漲指標，中磊 (5388) 、仲琦 (2419) 同步勁揚，去年第4季轉盈的友訊 (2332) 則大漲5%，光通訊族群波若威 (3163) 延續多頭行情收高2%，宏達電 (2498) Vive X加速器全球動起來，激勵股價一度觸及80元。
2017-03-28T02:55:00.000Z,仲琦 (2419) 去年本業業外兩得意，且具高殖利率題材，今盤中放量再衝上24.3元波段高價、漲幅逾4%。
2017-06-16T07:01:00.000Z,　盤面上，蘋果三劍客大立光 (3008) 、台積電 (2330) 、鴻海 (2317) 盤中翻揚，激勵可成 (2474) 、美律 (2439) 同步攻高；面板雙虎群創 (3481) 、友達 (2409) 在外資力挺下聯袂上攻，帶動彩晶 (6116) 同步走揚；太陽能族群漲勢猛烈，茂迪 (6244) 、昱晶 (3514) 、新日光 (3576) 、合晶 (6182) 聯袂強彈；網通股受惠大陸擬砸1800億美元拚5G，台揚 (2314) 、智邦 (2345) 、建漢 (3062) 、仲琦 (2419) 、波若威 (3163) 、昇達科 (3491) 等樂開懷；旺宏 (2337) 受惠NOR Flash價格Q3看漲股價開飆，華邦電 (2344) 跟進走揚。
2017-06-27T01:03:00.000Z,日期：2017年 6月27日※本日焦點股帛漢、聯合、鈺齊-KY、力成、矽格、宏益、晶焱、博智、力麒、智寶、威剛、燁輝、濱川、新光鋼、申豐、亞泰、仲琦、新產※昨日盤勢解析IHS  Markit 公佈歐盟的綜合採購經理人指數(PMI)自 56.8 下跌至 55.7，而市場仍擔憂油價步入熊市，週五西歐三大指數下跌。
2017-08-15T07:06:00.000Z,　盤面上，蘋概股三巨頭大立光 (3008) 、台積電 (2330) 、鴻海 (2317) 扮多頭先鋒，帶動面板雙虎友達 (2409) 、群創 (3481) 以及Q2繳佳績的觸控族群GIS-KY (6456) 、TPK-KY (3673) 閃閃發光；網通股H2營運看俏，聯亞 (3081) 、眾達-KY (4977) 強勢領漲，引領合勤控 (3704) 、神準 (3558) 、智邦 (2345) 、仲琦 (2419) 、譁裕 (3419) 等聯袂勁揚。
2017-11-10T06:45:00.000Z,  在大型權值股跌多漲少下，盤面以題材、業績等中小型電子股較有發揮，揚明光 (3504) 逆勢大漲逾5%，網通族群中有仲琦 (2419) 、兆赫 (2485) 以及眾達-KY (4977) 等逆勢走揚。
