PublishDate,Sentence
2017-01-10T06:47:00.000Z,昨飽受盤中22次熔斷所苦的股王大立光，今日在港商聯昌證券跟進將合理股價預估值調升至5050元激勵下，多頭重振旗鼓，股價收盤大漲3.12%，以今日最高價4135元作收，並推升光電類股指數收漲1.24%，成為今日大盤收高最大功臣。
2017-01-10T05:22:00.000Z,"昨天股價飽受盤中22次熔斷所苦的股王大立光 (3008) ，今天在港商聯昌證券跟進將合理股價預估值調升至5,050元激勵下，再度重回漲勢軌道，盤中大漲2.49％，站上4,100元。"
2017-02-06T00:48:00.000Z,繼花旗環球與摩根士丹利證券及聯昌證券之後，里昂證也將大立光目標價上修到5000元之上。
2017-06-23T03:53:00.000Z,巴倫(Barronˋs)22日報導(見此)，馬來西亞券商聯昌國際(CIMB)報告稱，今年下半智慧機需求將大幅好轉，提高台積電的產能利用率。
2017-06-23T03:53:00.000Z,聯昌並稱，近期內台積電的市場地位無可動搖，沒有對手足以比擬。
2017-07-26T00:03:00.000Z,巴倫(Barronˋs)6月22日報導(見此)，馬來西亞券商聯昌國際(CIMB)報告稱，今年下半智慧機需求將大幅好轉，提高台積電的產能利用率。
2018-01-11T00:28:00.000Z,　港商聯昌進一步從台積電大客戶狀況，分析智慧型手機上半年成長減速帶來的衝擊。
2019-01-16T08:32:00.000Z, 目前外資圈對台積電看法中，摩根士丹利、港商馬來亞、大陸銀河聯昌證券對後市謹慎，但摩根大通、瑞信、大和資本證券等看多，產業景氣與營運動能就等台積電法說會說分明。
2019-01-30T07:18:00.000Z,今日外資(不含外資自營商)買超8.1337億元，投信買超1.5254億元，自營商買超4.2431億元，三大法人買超13.90億元。
2019-01-30T07:18:00.000Z,今日外資(不含外資自營商)買超8.1337億元，投信買超1.5254億元，自營商買超4.2431億元，三大法人買超13.90億元。
2019-02-25T03:56:00.000Z, 中美貿易協商順利，川普宣布延後對陸加徵關稅，且美國政府改口希望加速推展5G，對華為態度轉趨緩和，讓台股隨全球股市籠罩在樂觀氣氛中，延續農曆年後前兩週驚驚漲走勢，台股今天以紅盤開出後，股王—大立光 (3008) 大漲站上4400元，激勵光學元件股—玉晶光 (3406) 、先進光 (3362) 、亞光 (3019) 聯袂走高，中小型股持續活蹦亂跳，大綜 (3147) 、立端 (6245) 、聯昌 (2431) 、康那香 (9919) 及樺漢 (6414) 等盤中指數強攻漲停板，5G個股持續是盤面焦點，穩懋 (3105) 再攻高，全新 (2455) 、聯亞 (3081) 及聯發科 (2454) 等續強，汽車剛性需求可望自第2季開始回溫，和泰車 (2207) 大漲，車用零組件個股轉強，加上台積電 (2330) 力守平盤之上，帶動台股指數開高走高，站上10350點，續創波段新高，截至11點40分為止，加權股價指數為10373.09點，上漲50.17點，成交量為879.14億元；OTC指數為137.15點，上漲0.49點，成交量為261.35億元。
2019-03-11T06:59:00.000Z,美股及台股漲多後面臨獲利了結賣壓，近期指數呈現弱勢拉回，今天台股受到美股收黑拖累及台積電以低盤開出影響，指數以低盤開出，整場指數都因缺乏主流族群帶動下在平盤附近震盪，不過指數無表現，中小型個股倒是活蹦亂跳，正崴 (2392) 、矽瑪 (3511) 、永崴控股 (3712) 、聯昌 (2431) 、易發 (6425) 、立端 (6245) 、大拓-KY (8455) 、大田 (8924) 、雙美 (4728) 及普鴻 (6590) 等以漲停板作收，尾盤時，資金進場拉抬台積電及股王大立光 (3008) ，帶動指數擺尾收高，終場加權股價指數為10250.28點，上漲8.53點，成交量907.08億元；OTC指數為136.45點，上漲0.08點，成交量269.79億元。
2019-07-11T07:17:00.000Z,電子零件列漲幅第三，主力軍的毅嘉 (2402) Q2轉盈，下半年營運也可望走強，午後飆上漲停價，聯昌 (2431) 也績優同步躍上漲停板，臻鼎-KY (4958) 也大漲、成功填息達陣，志聖 (2467) 、欣興 (3037) 、台光電 (2383) 等個股均亮眼。
2019-09-11T02:17:15.000Z,"
9.聯昌 (2431) ：8月營收2.44億元，月增0.74%、年增19.29%，獲外資連兩日買超，開盤1小時成交量已倍增，股價漲逾4%。"
2019-09-11T02:17:00.000Z, 9.聯昌 (2431) ：8月營收2.44億元，月增0.74%、年增19.29%，獲外資連兩日買超，開盤1小時成交量已倍增，股價漲逾4%。
2020-08-27T08:07:00.000Z,"」
&nbsp;
（封面圖／翻攝自youtube茜珊chienshannn）
更多東森財經新聞報導
<a href=""https://fnc.ebc.net.tw/FncNews/stock/124318?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">長輩酸台積電「代工仔」不懂創品牌 內行神解：美國也投降</a>
<a href=""https://fnc.ebc.net.tw/FncNews/business/124316?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">投資台積電就能穩賺不賠？ 網3字盛讚：後悔下車！"
2020-08-27T07:25:00.000Z,"網羨慕死 他卻怕爆想拒絕</a>
<a href=""https://fnc.ebc.net.tw/FncNews/life/124319?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">台積電前員工淚訴「上班就要與世隔絕」！"
