PublishDate,Sentence
2017-08-01T06:07:00.000Z,盤中值得注意的是，中華經濟研究院公布7月台灣製造業採購經理人指數（PMI）連續3個月擴張速度趨緩後，指數回升1.4個百分點至59.0%；非製造業經理人指數（NMI）已連續5個月呈現擴張，且擴張速度加快，指數攀升1.8個百分點至54.8%。
2017-08-01T06:07:00.000Z,盤中值得注意的是，中華經濟研究院公布7月台灣製造業採購經理人指數（PMI）連續3個月擴張速度趨緩後，指數回升1.4個百分點至59.0%；非製造業經理人指數（NMI）已連續5個月呈現擴張，且擴張速度加快，指數攀升1.8個百分點至54.8%。
2017-09-21T07:23:00.000Z,其中，新竹科學工業園區上半年營業額4809.48億元、較去年同期衰退2.3%，中部科學工業園區2468.99億元、年成長4.2%，南部科學工業園區4242.57億元、成長21.63%。
2018-10-11T07:08:00.000Z,盤面上僅電信三雄中華電 (2412) 、台灣大 (3045) 、遠傳 (4904) 和新興 (2605) 、華經 (2468) 、致茂 (2360) 、榮化 (1704) 、超眾 (6230) 等零星個股相對抗跌。
2018-10-19T07:04:00.000Z,中華經濟研究院則表示，10月初美股、陸股大跌引發亞洲與新興金融市場波動，市場氛圍轉為風險趨避，該院代理院長王健全也表示，股市走跌提前反應經濟前景不明，投資人心理因素干擾投資意願，且會相互感染所致。
2019-01-02T06:03:00.000Z, 另外，中華經濟研究院今天發布台灣2018年12月季調後製造業採購經理人指數（PMI）續跌至44.8%，為2012年7月、指數創編以來最快緊縮速度，主要是美中貿易糾紛以及諸多不確定性因素所致。
2019-01-04T03:10:00.000Z,MoneyDJ新聞 2019-01-04 10:54:56 記者 郭妍希 報導大中華經濟趨緩、華為(Huawei)財務長孟晚舟在加拿大被逮後中國消費者群起抵制iPhone，迫使蘋果(Apple Inc.)在新(2019)年第一個交易日就調降上季財測。
2019-01-02T06:03:00.000Z, 另外，中華經濟研究院今天發布台灣2018年12月季調後製造業採購經理人指數（PMI）續跌至44.8%，為2012年7月、指數創編以來最快緊縮速度，主要是美中貿易糾紛以及諸多不確定性因素所致。
2019-01-04T03:10:00.000Z,MoneyDJ新聞 2019-01-04 10:54:56 記者 郭妍希 報導大中華經濟趨緩、華為(Huawei)財務長孟晚舟在加拿大被逮後中國消費者群起抵制iPhone，迫使蘋果(Apple Inc.)在新(2019)年第一個交易日就調降上季財測。
2020-01-13T02:06:00.000Z,  19.華經 (2468) ：早盤放量勁揚，急攻漲停，登近1年新高。
2020-02-11T01:56:00.000Z,  21.華經 (2468) ：1月營收年增68.2%，早盤漲逾3%，一度突破13元。
2020-04-06T09:14:29.000Z,"
16.可成 (2474) ：每股成交價202.52元，成交量28萬2468股，成交金額5720萬5419元。"
2020-05-14T04:02:48.000Z,陳思寬學歷顯赫為美國耶魯大學經濟學博士，專精總體經濟學、國際金融、國際經濟學、貨幣政策、匯率動態等，主要經歷包含中華經濟研究院院長、台灣大學國際企業學系教授、星展 (台灣) 商業銀行獨立董事、兆豐金控董事、兆豐銀行監察人等。
2020-06-08T09:08:02.000Z,19.旭隼 (6409) ：每股成交價796.3元，成交量3萬1000股，成交金額2468萬5300元。
2021-05-05T07:54:37.000Z,統計處整理去年度營收三王，前3名依序為鴻海的3兆609億元、台積電1兆3148億元、和碩1兆2468億元。
