PublishDate,Sentence
2017-10-18T03:12:00.000Z,美股道瓊工業指數今天收高，盤中首度突破23000點大關，短暫攀抵23002.20點，激勵台股上漲動能。
2018-12-24T06:13:00.000Z,通訊服務商富春股份(300299.SZ)表示，今年底前買華為手機，可以獲得人民幣100~500元的獎勵。
2019-08-22T07:12:23.000Z,"
外資已連續9日賣超420.9015億元，投信則連4日買超27.3002億元，外資8月以來已賣超1114.9642億元，三大法人8月以來共計賣超1100.9億元。"
2019-08-22T07:12:00.000Z,　外資已連續9日賣超420.9015億元，投信則連4日買超27.3002億元，外資8月以來已賣超1114.9642億元，三大法人8月以來共計賣超1100.9億元。
2019-12-09T07:14:00.000Z, 今日集中市場十大漲幅個股為:歐格 (3002) 漲10.00%、友達 (2409) 漲9.99%、華冠 (8101) 漲9.97%、合機 (1618) 漲9.93%、華上 (6289) 漲9.89%、力銘 (3593) 漲9.89%、東訊 (2321) 漲9.71%、廷鑫 (2358) 漲9.69%、倫飛 (2364) 漲8.26%、怡華 (1456) 漲7.44%。
2019-12-09T05:48:28.000Z,蘋果iPhone 11系列新機及AirPods Pro上市後熱賣，帶旺蘋果及蘋果供應鏈第4季營運，股王—大立光 (3008) 及玉晶光 (3406) 喜迎最旺第4季，大立光及玉晶光股價連袂大漲，蘋果供應商—臻鼎-KY (4958) 、台郡 (6269) 、穩懋 (3105) 及台積電 (2330) 等同步走高，成為今天多頭主攻部隊，蘋果概念股紅光滿面，中低價個股也活蹦亂跳，友達 (2409) 、斐成 (3313) 、力銘 (3593) 、廣寰科 (3287) 、東訊 (2321) 、安鈦克 (6276) 、廷鑫 (2358) 、天揚科 (5345) 、元炬 (3089) 、歐格 (3002) 等股價亮燈漲停，傳產股則以造紙類股及電器類股表現較佳。
2019-12-09T05:48:00.000Z,蘋果iPhone 11系列新機及AirPods Pro上市後熱賣，帶旺蘋果及蘋果供應鏈第4季營運，股王—大立光 (3008) 及玉晶光 (3406) 喜迎最旺第4季，大立光及玉晶光股價連袂大漲，蘋果供應商—臻鼎-KY (4958) 、台郡 (6269) 、穩懋 (3105) 及台積電 (2330) 等同步走高，成為今天多頭主攻部隊，蘋果概念股紅光滿面，中低價個股也活蹦亂跳，友達 (2409) 、斐成 (3313) 、力銘 (3593) 、廣寰科 (3287) 、東訊 (2321) 、安鈦克 (6276) 、廷鑫 (2358) 、天揚科 (5345) 、元炬 (3089) 、歐格 (3002) 等股價亮燈漲停，傳產股則以造紙類股及電器類股表現較佳。
2020-03-03T09:12:35.000Z,"
2.京城樂富R1 (01010T) ：每股成交價9.15元，成交量3002萬1000股，成交金額2億7469萬2150元。"
2020-03-03T09:12:35.000Z,"
2.京城樂富R1 (01010T) ：每股成交價9.15元，成交量3002萬1000股，成交金額2億7469萬2150元。"
2020-06-12T01:15:47.000Z,"
道瓊指數暴跌1861.82點或6.9%收25128.17點；S&amp;P 500指數連3黑，下跌188.04點或5.89%收3002.1點，萬點以上的那斯達克連4紅止步，下跌527.62點或5.27%收9492.73點，費半下跌128點或 6.39%，收1876.66 點。"
2020-10-03T04:14:44.000Z,"
在電池模組領域，台廠新普 (6121) 也面對德賽電池（000049.SZ）和欣旺達（300207.SZ）的激烈挑戰，法人預估三者可望續切入新iPhone 12供應鏈，不過在高階6.1吋OLED版iPhone和6.7吋OLED版iPhone，德賽電池和欣旺達兩者的供應比重分別估達100%和80%，新普在高階6.7吋版供應比重估僅20%。"
2020-10-03T04:14:44.000Z,"
在電池模組領域，台廠新普 (6121) 也面對德賽電池（000049.SZ）和欣旺達（300207.SZ）的激烈挑戰，法人預估三者可望續切入新iPhone 12供應鏈，不過在高階6.1吋OLED版iPhone和6.7吋OLED版iPhone，德賽電池和欣旺達兩者的供應比重分別估達100%和80%，新普在高階6.7吋版供應比重估僅20%。"
