PublishDate,Sentence
2017-01-20T06:25:00.000Z,  光學元件股逆勢走揚，股王大立光 (3008) 在連續兩日的回檔修正後，今獲法人買盤力挺，大立光盤中擺脫弱勢，股價由黑翻紅，終場收在4390元，也順勢帶動玉晶光、亞光 (3018) 股價同步走高。
2017-03-22T05:54:00.000Z,前中華電信董事長蔡力行確定落腳聯發科 (2454) ，且將於7月1日到任、直接對董事長暨執行長蔡明介負責，未來聯發科將借重蔡力行過去在半導體、通訊領域的專才，與聯發科現有經營團隊一同開創新局。
2017-03-30T04:07:00.000Z,新思科技(Synopsys)宣布與台積電 (2330) 共同開發用於台積公司12FFC製程的DesignWare介面、類比及基礎IP，預計於今年第三季上市。
2017-03-30T04:07:00.000Z,我們與台積電緊密合作，共同開發針對台積電12FFC製程的廣泛IP，確保設計人員能即時取得最高品質的IP解決方案，以達成設計目標，並加快產品上市時程。
2017-03-30T04:04:00.000Z,（中央社記者張建中新竹2017年3月30日電）新思科技(Synopsys)宣布，與台積電 (2330) 共同開發12FFC製程的DesignWare介面、類比及基礎矽智財(IP)，預計今年第3季上市。
2017-04-26T06:58:00.000Z,　電子股表現勇猛，成今日領漲先鋒，股王大立光 (3008) 登上5000元改寫台股歷史新頁，帶動光學股先進光 (3362) 、聯一光 (3441) 雙雙攻頂，玉晶光 (3406) 、新鉅科 (3630) 、今國光 (6209) 、亞光 (3018) 同步衝高；蘋概股表現亦亮眼，美律 (2439) 強鎖漲停，鴻海 (2317) 、TPK-KY (3673) 、GIS-KY (6456) 、台郡 (6269) 、致伸 (4915) 、嘉聯益 (6153) 、可成 (2474) 等齊步走揚；光通訊族群在基本面加持下持續喊燒，統新 (6426) 飆上漲停，聯亞 (3081) 、光聖 (6442) 、華星光 (4979) 聯袂勁彈；電子權值股台積電 (2330) 、聯發科 (2454) 、友達 (2409) 、群創 (3481) 、廣達 (2382) 表現偏弱壓低整理。
2017-04-26T03:02:00.000Z,  股王大立光 (3008) 今日又寫下台股新猷，在蘋果iPhone引領的雙鏡頭主流確立下，大立光登上台股有史以來第1家5000元的股王，再創歷史天價，最高達5010元，盤中也持續在5000元大關附近進行攻防戰，在大立光登高一呼下，玉晶光 (3406) 也大漲9%，股價同步衝上新高，今國光 (6209) 、亞光 (3018) 等亦走強。
2017-04-26T06:58:00.000Z,　電子股表現勇猛，成今日領漲先鋒，股王大立光 (3008) 登上5000元改寫台股歷史新頁，帶動光學股先進光 (3362) 、聯一光 (3441) 雙雙攻頂，玉晶光 (3406) 、新鉅科 (3630) 、今國光 (6209) 、亞光 (3018) 同步衝高；蘋概股表現亦亮眼，美律 (2439) 強鎖漲停，鴻海 (2317) 、TPK-KY (3673) 、GIS-KY (6456) 、台郡 (6269) 、致伸 (4915) 、嘉聯益 (6153) 、可成 (2474) 等齊步走揚；光通訊族群在基本面加持下持續喊燒，統新 (6426) 飆上漲停，聯亞 (3081) 、光聖 (6442) 、華星光 (4979) 聯袂勁彈；電子權值股台積電 (2330) 、聯發科 (2454) 、友達 (2409) 、群創 (3481) 、廣達 (2382) 表現偏弱壓低整理。
2017-04-26T03:02:00.000Z,  股王大立光 (3008) 今日又寫下台股新猷，在蘋果iPhone引領的雙鏡頭主流確立下，大立光登上台股有史以來第1家5000元的股王，再創歷史天價，最高達5010元，盤中也持續在5000元大關附近進行攻防戰，在大立光登高一呼下，玉晶光 (3406) 也大漲9%，股價同步衝上新高，今國光 (6209) 、亞光 (3018) 等亦走強。
2017-09-25T03:31:00.000Z,新思(Synopsys)今(25)日宣布獲頒四項台積電 (2330) 「2017年度最佳夥伴獎(Partner of the Year)」，以表彰新思與台積電在介面IP的合作、以及雙方共同開發7奈米FinFET Plus與12FFC製程設計基礎架構，並共同推出車用設計實現平台(automotive design enablement)。
