PublishDate,Sentence
2017-04-18T06:11:00.000Z,韓媒BusinessKorea 17日報導，據了解今年iPhone的OLED顯示器，由三星通吃。
2018-06-04T07:12:00.000Z,　台股今日在蘋概股三天王大立光 (3008) 、台積電 (2330) 及鴻海 (2317) 同步點火，帶動蘋概股台郡 (6269) 、嘉聯益 (6153) 、臻鼎-KY (4958) 及光學股揚明光 (3504) 、新鉅科 (3630) 攜手攻高，本周召開股東會的被動元件族群龍頭國巨 (2327) 一度攻頂重登千元大關，激勵中低價股光頡 (3624) 、智寶 (2375) 、凱美 (5317) 及鈞寶 (6155) 強攻漲停板；網通族群在5G題材加持下砲火十足，華星光 (4979) 、智易 (3596) 、星通 (3025) 、光環 (3234) 全面勁揚。
2018-06-04T07:12:00.000Z,　台股今日在蘋概股三天王大立光 (3008) 、台積電 (2330) 及鴻海 (2317) 同步點火，帶動蘋概股台郡 (6269) 、嘉聯益 (6153) 、臻鼎-KY (4958) 及光學股揚明光 (3504) 、新鉅科 (3630) 攜手攻高，本周召開股東會的被動元件族群龍頭國巨 (2327) 一度攻頂重登千元大關，激勵中低價股光頡 (3624) 、智寶 (2375) 、凱美 (5317) 及鈞寶 (6155) 強攻漲停板；網通族群在5G題材加持下砲火十足，華星光 (4979) 、智易 (3596) 、星通 (3025) 、光環 (3234) 全面勁揚。
2019-01-08T07:21:00.000Z,網通股由上月及去年營收寫下新猷的仲琦 (2419) 率先開攻，星通 (3026) 、正文 (4906) 、智易 (3596) 緊跟在後。
2019-01-09T02:04:00.000Z, 18.星通 (3025) ：上月營收表現亮眼，激勵早盤拉出第二根漲停板，站上20元。
2019-02-13T02:00:00.000Z, 26.星通 (3025) ：買盤點火，早盤價量俱揚股價彈升7%，躍上季線。
2019-03-08T07:18:00.000Z,網通股仲琦 (2419) 2月營收報捷，推升股價攻上上半年新高，激勵智邦 (2345) 、星通 (3025) 、明泰 (3380) 、台通 (8011) 攜手走揚。
2019-04-01T07:17:00.000Z,玉晶光 (3406) 漲9.99%、泰碩 (3338) 漲9.97%、星通 (3025) 漲9.94%、鴻海 (2317) 漲9.93%、悅城 (6405) 漲9.87%、偉聯 (9912) 漲9.85%、和鑫 (3049) 漲9.81%、新美齊 (2442) 漲9.76%、盛達 (3027) 漲9.63%、欣興 (3037) 漲9.12%。
2019-04-01T06:45:00.000Z,全球股市多頭氣盛，讓今天台股早盤因鴻海 (2317) 跳空大漲，以及光學元件個股—玉晶光 (3406) 等強攻帶動下，指數以高盤開出，盤中更因玉晶光 (3406) 、新復興 (4909) 、精測 (6510) 、興采 (4433) 、星通 (3025) 、盛達 (3027) 、倉和 (6538) 強攻漲停板，以及華通 (2313) 、欣興 (3037) 、康控-KY (4943) 、環球晶 (6488) 及智邦 (2345) 等股價走高，帶動盤中指數一度站上10700點。
2019-04-01T02:21:00.000Z, 19.星通 (3025) ：5G商轉助陣，去年每股盈餘0.02元，帶動股價連拉兩根漲停，攻上近半年高點。
2019-04-01T07:17:00.000Z,玉晶光 (3406) 漲9.99%、泰碩 (3338) 漲9.97%、星通 (3025) 漲9.94%、鴻海 (2317) 漲9.93%、悅城 (6405) 漲9.87%、偉聯 (9912) 漲9.85%、和鑫 (3049) 漲9.81%、新美齊 (2442) 漲9.76%、盛達 (3027) 漲9.63%、欣興 (3037) 漲9.12%。
2019-04-01T06:45:00.000Z,全球股市多頭氣盛，讓今天台股早盤因鴻海 (2317) 跳空大漲，以及光學元件個股—玉晶光 (3406) 等強攻帶動下，指數以高盤開出，盤中更因玉晶光 (3406) 、新復興 (4909) 、精測 (6510) 、興采 (4433) 、星通 (3025) 、盛達 (3027) 、倉和 (6538) 強攻漲停板，以及華通 (2313) 、欣興 (3037) 、康控-KY (4943) 、環球晶 (6488) 及智邦 (2345) 等股價走高，帶動盤中指數一度站上10700點。
2019-04-01T02:21:00.000Z, 19.星通 (3025) ：5G商轉助陣，去年每股盈餘0.02元，帶動股價連拉兩根漲停，攻上近半年高點。
2019-07-08T07:22:21.000Z,"
今日集中市場漲幅前10名為:吉祥全 (2491) 漲9.99%、星通 (3025) 漲9.93%、鼎炫-KY (8499) 漲9.90%、茂林-KY (4935) 漲9.52%、欣巴巴 (9906) 漲9.22%、羅麗芬 (6666) 漲8.85%、佳能 (2374) 漲8.75%、中化生 (1762) 漲8.45%、虹堡 (5258) 漲7.75%、台表科 (6278) 漲7.13%。"
2019-07-08T07:22:21.000Z,星通6月營收年增74.83%、上半年營收年增18.71%，今日追價買盤積極，股價急攻漲停，收復各短均線。
2019-07-08T07:22:00.000Z, 今日集中市場漲幅前10名為:吉祥全 (2491) 漲9.99%、星通 (3025) 漲9.93%、鼎炫-KY (8499) 漲9.90%、茂林-KY (4935) 漲9.52%、欣巴巴 (9906) 漲9.22%、羅麗芬 (6666) 漲8.85%、佳能 (2374) 漲8.75%、中化生 (1762) 漲8.45%、虹堡 (5258) 漲7.75%、台表科 (6278) 漲7.13%。
2019-07-08T07:22:00.000Z,星通6月營收年增74.83%、上半年營收年增18.71%，今日追價買盤積極，股價急攻漲停，收復各短均線。
2019-07-08T02:32:34.000Z,"
25.星通 (3025) ：6月營收為0.63億元，年增74.83%，今日追價買盤積極，股價急攻漲停，收復各短均線。"
2019-07-08T02:32:00.000Z, 25.星通 (3025) ：6月營收為0.63億元，年增74.83%，今日追價買盤積極，股價急攻漲停，收復各短均線。
2020-10-30T06:02:38.000Z,大立光收3025元，跌10元，跌幅0.33%。
2020-10-30T06:02:38.000Z,大立光收3025元，跌10元，跌幅0.33%。
