PublishDate,Sentence
2018-05-30T07:11:00.000Z,漲價題材股持續火熱，矽晶圓族群由環球晶 (6488) 領攻，帶動嘉晶 (3016) 、合晶 (6182) 逆勢走揚；MOSFET概念股杰力 (5299) 、富鼎 (8261) 、大中 (6435) 剽悍大漲相對吸睛；光碟片族群錸德 (2349) 再飆漲停，激勵中環 (2323) 、鈺德 (3050) 跟進走高。
2018-05-30T07:11:00.000Z,漲價題材股持續火熱，矽晶圓族群由環球晶 (6488) 領攻，帶動嘉晶 (3016) 、合晶 (6182) 逆勢走揚；MOSFET概念股杰力 (5299) 、富鼎 (8261) 、大中 (6435) 剽悍大漲相對吸睛；光碟片族群錸德 (2349) 再飆漲停，激勵中環 (2323) 、鈺德 (3050) 跟進走高。
2018-11-12T06:15:00.000Z,鴻海 (2317) 收76.2元，小漲0.13%、大立光 (3008) 收3050元，下跌0.97%。
2019-03-14T07:15:00.000Z,錸德 (2349) 因Google大當機，儲存題材再度甦醒，旗下的鈺德 (3050) 營運亦現轉機，母子同樂收漲停。
2019-03-14T06:04:00.000Z, 今日中小型題材股以消息面為走揚指標，錸德 (2349) 及旗下鈺德 (3050) 積極轉型，今聯袂大漲，同步亮燈漲停；工業電腦廠友通 (2397) 擬大方配息5.28元，將盈餘全數發放，量增開高勁揚，創去年8月中以來逾7月高點；PCB族群有聯茂 (6213) 、台光電 (2383) 大漲逾8%，嘉聯益 (6153) 漲幅逾4%，欣興 (3034) 亦上漲2%。
2019-09-04T07:10:39.000Z,製造業數據疲弱拖累周二美股收黑，台股在港陸股走強激勵下，今日由蘋概股三天王台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 點火領軍，帶動光學股中環 (2323) 、錸德 (2349) 、鈺德 (3050) 及DRAM族群南亞科 (2408) 、華邦電 (2344) 、旺宏 (2337) 等聯袂上攻，加以金融雙雄國泰金 (2882) 、富邦金 (2881) 雙雙助攻，在電金合擊下一度大漲逾百點衝上10670.43點，觸及季線與半年線大關，終場加權股價指數收在今日相對高點10657.31點，上漲99.1點，成交值為1050.79億元。
2019-09-04T07:10:39.000Z,"
新款iPhone下周將發表，蘋概股今日搶先出擊，在三劍客台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 點火領軍下，帶動玉晶光 (3406) 、可成 (2474) 等聯袂勁揚，激勵光學股中環 (2323) 放量攻頂，錸德 (2349) 、鈺德 (3050) 、凌巨 (8105) 、和鑫 (3049) 、晶彩科 (3535) 攜手放閃，DRAM族群由南亞科 (2408) 吹起反攻號角，帶動華邦電 (2344) 、旺宏 (2337) 雙雙走揚。"
2019-09-04T07:10:00.000Z,製造業數據疲弱拖累周二美股收黑，台股在港陸股走強激勵下，今日由蘋概股三天王台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 點火領軍，帶動光學股中環 (2323) 、錸德 (2349) 、鈺德 (3050) 及DRAM族群南亞科 (2408) 、華邦電 (2344) 、旺宏 (2337) 等聯袂上攻，加以金融雙雄國泰金 (2882) 、富邦金 (2881) 雙雙助攻，在電金合擊下一度大漲逾百點衝上10670.43點，觸及季線與半年線大關，終場加權股價指數收在今日相對高點10657.31點，上漲99.1點，成交值為1050.79億元。
2019-09-04T07:10:00.000Z,　新款iPhone下周將發表，蘋概股今日搶先出擊，在三劍客台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 點火領軍下，帶動玉晶光 (3406) 、可成 (2474) 等聯袂勁揚，激勵光學股中環 (2323) 放量攻頂，錸德 (2349) 、鈺德 (3050) 、凌巨 (8105) 、和鑫 (3049) 、晶彩科 (3535) 攜手放閃，DRAM族群由南亞科 (2408) 吹起反攻號角，帶動華邦電 (2344) 、旺宏 (2337) 雙雙走揚。
2019-09-04T07:10:39.000Z,製造業數據疲弱拖累周二美股收黑，台股在港陸股走強激勵下，今日由蘋概股三天王台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 點火領軍，帶動光學股中環 (2323) 、錸德 (2349) 、鈺德 (3050) 及DRAM族群南亞科 (2408) 、華邦電 (2344) 、旺宏 (2337) 等聯袂上攻，加以金融雙雄國泰金 (2882) 、富邦金 (2881) 雙雙助攻，在電金合擊下一度大漲逾百點衝上10670.43點，觸及季線與半年線大關，終場加權股價指數收在今日相對高點10657.31點，上漲99.1點，成交值為1050.79億元。
2019-09-04T07:10:39.000Z,"
新款iPhone下周將發表，蘋概股今日搶先出擊，在三劍客台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 點火領軍下，帶動玉晶光 (3406) 、可成 (2474) 等聯袂勁揚，激勵光學股中環 (2323) 放量攻頂，錸德 (2349) 、鈺德 (3050) 、凌巨 (8105) 、和鑫 (3049) 、晶彩科 (3535) 攜手放閃，DRAM族群由南亞科 (2408) 吹起反攻號角，帶動華邦電 (2344) 、旺宏 (2337) 雙雙走揚。"
2019-09-04T07:10:00.000Z,製造業數據疲弱拖累周二美股收黑，台股在港陸股走強激勵下，今日由蘋概股三天王台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 點火領軍，帶動光學股中環 (2323) 、錸德 (2349) 、鈺德 (3050) 及DRAM族群南亞科 (2408) 、華邦電 (2344) 、旺宏 (2337) 等聯袂上攻，加以金融雙雄國泰金 (2882) 、富邦金 (2881) 雙雙助攻，在電金合擊下一度大漲逾百點衝上10670.43點，觸及季線與半年線大關，終場加權股價指數收在今日相對高點10657.31點，上漲99.1點，成交值為1050.79億元。
2019-09-04T07:10:00.000Z,　新款iPhone下周將發表，蘋概股今日搶先出擊，在三劍客台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 點火領軍下，帶動玉晶光 (3406) 、可成 (2474) 等聯袂勁揚，激勵光學股中環 (2323) 放量攻頂，錸德 (2349) 、鈺德 (3050) 、凌巨 (8105) 、和鑫 (3049) 、晶彩科 (3535) 攜手放閃，DRAM族群由南亞科 (2408) 吹起反攻號角，帶動華邦電 (2344) 、旺宏 (2337) 雙雙走揚。
2019-09-11T02:17:15.000Z,"
4.鈺德 (3050) ：8月營收月增11.97%、年增55.25%，不理外資連兩日賣超，早盤放量強彈近4%，躍過5日線。"
2019-09-11T02:17:00.000Z, 4.鈺德 (3050) ：8月營收月增11.97%、年增55.25%，不理外資連兩日賣超，早盤放量強彈近4%，躍過5日線。
2019-12-05T07:08:05.000Z,其中光電類股指數觸及39.98點，距離前波40.02點僅差一步之遙，個股中鈺德 (3050) 、玉晶光 (3406) 、茂林-KY (4935) 、GIS-KY (6456) 等均漲幅逾3%。
2019-12-05T07:08:00.000Z,其中光電類股指數觸及39.98點，距離前波40.02點僅差一步之遙，個股中鈺德 (3050) 、玉晶光 (3406) 、茂林-KY (4935) 、GIS-KY (6456) 等均漲幅逾3%。
2020-04-08T09:11:58.000Z,"
14.信邦 (3023) ：每股成交價126.96元，成交量13萬6760股，成交金額1736萬3050元。"
