PublishDate,Sentence
2018-09-07T07:15:00.000Z,東協概念股不畏貿易戰，今紛紛逆勢挺盤，閎暉 (3311) 早盤即強鎖漲停。
2018-10-31T01:59:00.000Z, 21.閎暉 (3311) ：近年來積極轉型新領域，第三季成功轉虧為盈，早盤急拉大漲7%，拚戰月線大關。
2018-10-31T01:59:00.000Z, 21.閎暉 (3311) ：近年來積極轉型新領域，第三季成功轉虧為盈，早盤急拉大漲7%，拚戰月線大關。
2019-01-18T02:00:00.000Z, 14.閎暉 (3311) ：買盤拉抬，早盤突破均線糾結區，向上走高3%。
2019-02-26T07:13:00.000Z,　盤面上，蘋果鏈以台積電 (2330) 表現相對抗跌，大立光 (3008) 、鴻海 (2317) 、可成 (2474) 、TPK-KY (3673) 、GIS-KY (6456) 等黯淡無光，小型股表現相對活潑，包括凱碩 (8059) 、兆遠 (4944) 、閎暉 (3311) 強攻漲停，金居 (8358) 搶攻高頻高速傳輸為營運添動能，股價勁彈逾4%；越峰 (8121) 獲買盤追捧帶量攻高近9%；朋億 (6613) 去年擬配息15元，殖利率高達9.28%，激勵股價大漲半根停板。
2019-02-26T02:18:00.000Z, 16.閎暉 (3311) ：不敵陣痛轉型，去年每股虧0.19元，擬現金減資6成，早盤獲市場讚聲，開盤跳空漲停鎖住，委買高掛33萬張。
2019-06-19T02:11:00.000Z, 32.閎暉 (3311) ：買盤拉抬，晨盤火速攻頂後，獲利了結賣壓出籠，盤中漲幅維持約4%。
2019-08-21T03:31:00.000Z,　據統計，採取季季配的有台積電、光寶科技、昆盈企業、晶電、光群雷射、興富發、晶華酒店、閎暉、敦泰、三福化工、聯德控股-KY、傳奇、華興電子、宏正科、福貞-KY、波力-KY及泰昇-KY等17家。
2019-09-02T02:06:00.000Z, 26.閎暉 (3311) ：近日獲外資及自營商聯手買超相挺，早盤噴量急漲6%，收復各短均線。
2019-09-02T02:06:00.000Z, 26.閎暉 (3311) ：近日獲外資及自營商聯手買超相挺，早盤噴量急漲6%，收復各短均線。
2020-06-08T09:08:02.000Z,證交所公告今日單一證券鉅額成交，股票名稱：1.閎暉 (3311) ：每股成交價33元，成交量900萬股，成交金額2億9700萬元。
