PublishDate,Sentence
2017-07-17T06:53:00.000Z,  儘管台積電 (2330) 及大立光 (3008) 法說會失靈，且蘋果iPhone 8傳出因良率偏低，恐延後上市，但經過上週五的拉回整理，外資未改變對台積電及大立光正面看法，大立光及台積電今天止跌反彈，穩住市場信心，中小型股延續上週五上櫃股王—精測 (6510) 創新高氣勢，盤中富堡 (8929) 、智崴 (5263) 、佳邦 (6284) 、同泰 (3321) 、康樂-KY (4154) 、系微 (6231) 等強攻漲停板，柏承 (6141) 、祥碩 (5269) 、東聯 (1710) 、鴻碩 (3092) 、皇普 (2528) 、光耀 (3666) 、神基 (3005) 衝高，台股指數一度攻高至10490點。
2018-12-05T01:54:00.000Z, 13.同泰 (3321) ：訂單能見度逐漸明朗化，包括拿下韓系客戶旗艦新機的無線充電訂單，Mini LED載板也切入大廠供應鏈中，惟短線漲多，今隨大盤回跌5%。
2019-02-25T07:08:00.000Z,財報利多股的豐達科 (3004) 、寶一 (8222) 、同泰 (3321) 也獲買盤進駐，股價走揚。
2019-02-25T02:11:00.000Z, 24.同泰 (3321) ：去年底成功切入韓系手機無線充電軟板，隨著訂單小量出貨，營收逐步回溫，1月營收2.45億元，月成長101％，股價一度漲2.73%。
2019-03-04T07:04:00.000Z,集中市場漲幅前10名為：燦星網 (4930) 漲10%、豐達科 (3004) 漲9.99%、傳奇 (4994) 漲9.95%、大魯閣 (1432) 漲9.94%、嘉威 (3577) 漲9.78%、美律 (2439) 漲9.73%、同泰 (3321) 漲9.68%、欣興 (3037) 漲8.92%、台表科 (6278) 漲7.98%、晶彩科 (3535) 漲7.43%。
2019-03-04T07:04:00.000Z,集中市場漲幅前10名為：燦星網 (4930) 漲10%、豐達科 (3004) 漲9.99%、傳奇 (4994) 漲9.95%、大魯閣 (1432) 漲9.94%、嘉威 (3577) 漲9.78%、美律 (2439) 漲9.73%、同泰 (3321) 漲9.68%、欣興 (3037) 漲8.92%、台表科 (6278) 漲7.98%、晶彩科 (3535) 漲7.43%。
2019-06-13T01:59:00.000Z, 9.同泰 (3321) ：5月營收月增減23.02%、年減14.4%，惟短線股價跌多、且外資連兩日買超，盤中一度急漲逾5%，企圖收復5日線。
2019-10-09T09:13:57.000Z,"
8.聯詠 (3034) ：每股成交價184.5元，成交量18萬股，成交金額3321萬元。"
2019-11-28T07:12:26.000Z,MLCC供貨吃緊，被動元件股高位停歇，龍頭股國巨 (2327) 紅盤難挽，收跌0.45%至335元，華新科 (2492) 亦跟跌；電子零件的同泰 (3321) 獲利可望躍進，逆勢上揚近3%，聯手台達電 (2308) 、銘旺科 (2429) 、立隆電 (2472) 、信邦 (3023) 、泰鼎-KY (4927) 、台虹 (8039) 等推升類股指數持續表現卓越。
2019-11-28T07:12:00.000Z,MLCC供貨吃緊，被動元件股高位停歇，龍頭股國巨 (2327) 紅盤難挽，收跌0.45%至335元，華新科 (2492) 亦跟跌；電子零件的同泰 (3321) 獲利可望躍進，逆勢上揚近3%，聯手台達電 (2308) 、銘旺科 (2429) 、立隆電 (2472) 、信邦 (3023) 、泰鼎-KY (4927) 、台虹 (8039) 等推升類股指數持續表現卓越。
2019-12-24T02:11:00.000Z, 4.同泰 (3321) ：短線股價跌多，今多頭回神，一度強彈至14.95元、漲幅逾5%。
2020-01-08T09:28:07.000Z,7.中信金 (2891) ：每股成交價22.22元，成交量149萬5000股，成交金額3321萬8900元。
2020-01-16T07:05:00.000Z,而季軍則由電子零件股以0.81%漲幅拿下，億麗 (2443) 衝上漲停板，折疊機開戰，台廠包括新日興 (3376) 、兆利、信錦 (1582) 都積極備戰搶商機，股價同步上揚，以及MLCC、基本面等利多，個股如台達電 (2308) 、台光電 (2383) 、正崴 (2392) 、建準 (2421) 、興勤 (2428) 、奇力新 (2456) 、大毅 (2478) 、華新科 (2492) 、健和興 (3003) 、禾伸堂 (3026) 、同泰 (3321) 、嘉澤 (3533) 、泰鼎-KY (4927) 、群電 (6412) 等股價均電力十足。
