PublishDate,Sentence
2017-03-02T00:48:00.000Z,法人圈預估，本周多頭將重掌盤勢主控權，適逢發布股利政策高峰期，篩選近十個交易日法人買超、高現金殖利率、及2016年每股盈餘（EPS）優於2015年的有：台積電、華新、光寶科、帆宣、華票、新唐、牧德、聯陽、敦陽科、旭隼等法人青睞股，提前卡位台股的除權息行情。
2017-03-02T00:48:00.000Z,法人圈預估，本周多頭將重掌盤勢主控權，適逢發布股利政策高峰期，篩選近十個交易日法人買超、高現金殖利率、及2016年每股盈餘（EPS）優於2015年的有：台積電、華新、光寶科、帆宣、華票、新唐、牧德、聯陽、敦陽科、旭隼等法人青睞股，提前卡位台股的除權息行情。
2017-04-17T04:40:00.000Z,國內光學檢測設備大廠牧德 (3563) 於昨日公布的第3屆公司治理評鑑中再度蟬聯最優等(全體上市櫃公司前5%)，值得留意的是，因今年各家企業皆卯足全力改進公司治理，全台灣僅3%企業能連續2年維持最優等，牧德透露，在新產品效益逐漸發酵下，未來幾年營運將迎豐收年。
2017-04-17T04:40:00.000Z,  牧德表示，公司除了在業績提升上屢創佳績，也持續努力在提升公司治理及資本市場上的競爭力，像資訊透明度、董事會職能及落實企業社會責任等，因此這屆能再獲主管機關肯定。
2017-04-17T04:40:00.000Z,  牧德在「牧德三箭」的新產品方針奏效下，營運逐漸成長。
2017-05-25T00:57:00.000Z,日期：2017年 5月25日※本日焦點股榮創、隆達、晶電、智冠、先進光、同亨、晶焱、GIS-KY、牧德、江申、裕融、凡甲、IET-KY※昨日盤勢解析德國五月份 IFO 商業景氣指數優於預期、來到 114.6 點，創 1991 年來新高；歐洲經濟數據強勁，週二科技、汽車股表態，德、法股市上漲，英股小跌。
2017-06-01T00:57:00.000Z,日期：2017年 6月 1日※本日焦點股長盛、牧德、日友、中裕、致伸、旺宏、和大、貿聯-KY、佳凌、帆宣、聖暉、新唐、創見、可寧衛、漢唐※昨日盤勢解析希臘債務七月到期、義大利執政黨擬發動國會改選，政治風險升溫，週二西歐三大指數下跌。
2017-06-02T00:59:00.000Z,日期：2017年 6月 2日※本日焦點股新日興、奇力新、倉佑、環宇-KY、環球晶、偉訓、英利-KY、牧德、南亞科、同亨、聖暉、西勝、亞泰、宇瞻、瀧澤科、泰銘※昨日盤勢解析市調機構 YouGov 報告顯示，英國執政的保守黨可能無法在國會單獨過半，增加政治不確定性；受義大利可能提前大選影響，週三銀行類股領跌，西歐三大指數小幅漲跌。
2017-06-01T00:57:00.000Z,日期：2017年 6月 1日※本日焦點股長盛、牧德、日友、中裕、致伸、旺宏、和大、貿聯-KY、佳凌、帆宣、聖暉、新唐、創見、可寧衛、漢唐※昨日盤勢解析希臘債務七月到期、義大利執政黨擬發動國會改選，政治風險升溫，週二西歐三大指數下跌。
2017-06-02T00:59:00.000Z,日期：2017年 6月 2日※本日焦點股新日興、奇力新、倉佑、環宇-KY、環球晶、偉訓、英利-KY、牧德、南亞科、同亨、聖暉、西勝、亞泰、宇瞻、瀧澤科、泰銘※昨日盤勢解析市調機構 YouGov 報告顯示，英國執政的保守黨可能無法在國會單獨過半，增加政治不確定性；受義大利可能提前大選影響，週三銀行類股領跌，西歐三大指數小幅漲跌。
2017-06-29T00:58:00.000Z,日期：2017年 6月29日※本日焦點股高力、聯電、聯傑、創意、牧德、友達、全宇-KY、敦泰、材料-KY、TPK-KY、廣越、利勤、和鑫、宏捷科、東陽※昨日盤勢解析歐洲央行總裁德拉吉表示寬鬆政策太早退場恐傷經濟，顯示歐洲經濟仍脆弱，週二西歐三大指數拉回。
2018-02-08T07:17:00.000Z,　權值股方面，蘋概股天王大立光 (3008) 延續反彈行情站穩3700元，台積電 (2330) 、鴻海 (2317) 則弱勢整理；面板雙虎友達 (2409) 去年獲利寫10年新高帶動股價強彈，激勵群創 (3481) 跟進走高，明日舉辦法說的華碩 (2357) 及受惠蘋果智慧音箱明日開賣的聯發科 (2454) 力撐紅盤；業績及題材面加持的世界 (5347) 、研華 (2395) 、統懋 (2434) 、廣寰科 (3287) 、鈞寶 (6155) 聯手走高；日前強勢股鈺邦 (6449) 、牧德 (3563) 、訊芯-KY (6451) 則不敵賣壓摜至跌停。
2018-05-15T07:04:00.000Z,  台股上週天天漲，短線偏熱，使得投資人心態轉趨保守，加上鴻海公布首季財報三率三降，獲利創4年同期新低，股價降溫，跌幅超過3%，大立光、台積電修正，影響大盤表現，市場焦點轉移到MSCI族群，其中燿華 (2367) 、嘉聯益 (6153) 逆勢走高，但PCB設備廠牧德 (3563) 因近期股價漲多，早盤開高後翻黑，收盤跌約1%。
2018-05-15T00:19:00.000Z,　另外，官股買超金額前十大的個股，4月業績全數繳出年增表現，尤以牧德年增1.33倍、創下歷史新高最為亮眼，台積電、揚明光、亞德客-KY、大成鋼、富邦金、日電貿、華新、和碩等年增雙位數，業績題材加持，增添官股加碼信心，日電貿、牧德股價昨日更是創下歷史新猷。
2018-07-18T00:21:00.000Z,　7月下旬到7月底還有20餘家科技公司法會將密集登場，其中具產業指標或高價位股的有：23日的揚明光、24日的牧德、力成、25日的聯電、26日的友達、TPK-KY、27日的日月光投控、30日的中華電、31日的聯發科等，法說內容也影響法人調整操作策略及個股行情。
2018-08-29T02:17:00.000Z, 6.牧德 (3563) ：單月營收連30個月年增率成長，法人看好將進入500元 俱樂部，今早漲幅逾2%。
2018-09-10T07:20:00.000Z,美中貿易戰持續升溫，川普不排除對中國關稅再大幅加碼，並呼籲蘋果應認真考慮將工廠遷回美國，台股今日在市場面臨投資信心危機下開高殺低，呈現多殺多窘境，蘋果供應鏈鴻海 (2317) 、大立光 (3008) 帶頭下殺，僅台積電 (2330) 奮力撐盤，高價族群哀鴻遍野，包括昂寶-KY (4947) 、牧德 (3563) 、環球晶 (6488) 、訊芯-KY (6451) 、貿聯-KY (3665) 、穩懋 (3105) 等全殺跌停，衝擊盤中指數不僅摜破年線，並向10700點尋求支撐，終場加權指數下跌121.19點為10725.8點，成交值為1453.12億元。
