PublishDate,Sentence
2017-05-25T00:57:00.000Z,※弱勢股：以個別修正或漲多拉回為主，諸如日勝生 (2547) 、巨路 (6192) 、達邁 (3645) 、宇峻 (3546) 、華星光 (4979) 、協易機 (4533) 、亞電 (4939) 等。
2017-06-13T00:57:00.000Z,3.軟板族群拉回修正，臻鼎-KY (4958) 、達邁 (3645) 、新揚科 (3144) 、亞電 (4939) 等下跌。
2017-10-20T06:07:00.000Z,  蘋果iPhone 8系列銷售不如預期，傳出砍單動作，加上美國蘋果股價大跌，使得蘋概股今日跌多漲少，股王大立光 (3008) 一度重挫近3%，終場收在5575元，下跌170元，鴻海 (2317) 亦走跌0.8%，美律 (2439) 、台郡 (6269) 、致伸 (4915) 、順達 (3211) 等全數走跌，軟板廠嘉聯益 (6153) 則是擺脫蘋果利空衝擊，挾自身與達邁 (3645) 、創新應材、妙印精機攜手組成「捲對捲全加成軟板生產聯盟」，發表國內首創「捲對捲(Roll to Roll)全加成軟板生產線」，股價聞訊大漲約5.8%。
2017-10-20T02:59:00.000Z,  蘋果iPhone 8新機出現多起電池問題，加上銷售不如前代，市場普遍傾向等待iPhone X，使得相關零組件出現轉單甚至砍單傳聞，蘋概族群今漲跌互見，鴻海 (2317) 壓低，和碩 (4938) 上漲1.5%，可成 (2474) 走揚約0.5%；軟板廠嘉聯益 (6153) 上漲2.5%，嘉聯益除蘋果概念外，昨宣布與達邁 (3645) 、創新應材、妙印精機攜手組成「捲對捲全加成軟板生產聯盟」，發表國內首創「捲對捲 (Roll to Roll) 全加成軟板生產線」，將有助於提升台灣軟板產業的競爭力，致伸 (4915) 於盤上狹幅小漲，美律 (2439) 受到法人調節因素，股價小跌0.5%~1%。
2017-11-27T06:50:00.000Z,  盤面上，只有被動元件的國巨 (2327) 、華新科 (2492) 、穩懋 (3105) ，以及康控-KY (4943) 、達邁 (3645) 等具個別題材的個股表現相對出色，在權值股遭摜壓下，台股指數開低收低，5日線及月線再度失守，終場加權股價指數為10750.93點，下跌103.16點，成交量為1334.04億元；OTC指數為149.76點，下跌0.43點，成交量為453.03億元。
2017-12-25T07:12:00.000Z,印刷電路板PCB族群也表現亮眼，尤以上游廠表現最旺，達邁 (3645) 亮燈漲停，台虹 (8039) 也上漲9%。
2017-12-25T07:06:00.000Z,　蘋果新機換機潮不如預期，市場傳出明年首季將大砍供應鏈訂單，股王大立光嚇跌至4000元，衝擊高價股買氣急凍，鴻海 (2317) 、可成 (2474) 、和碩 (4938) 同步走軟，權值股台積電 (2330) 、群創 (3481) 、友達 (2409) 於平盤附近震盪整理；MOSFET概念股在華碩 (2357) 小金雞杰力 (5299) 未上櫃先轟動下掀起比價效應，大中 (6435) 、富鼎 (8261) 雙雙大漲；印刷電路板族群受惠原料報價喊漲、明年展望佳，達邁 (3645) 、燿華 (2367) 、台虹 (8039) 、亞電 (4939) 人氣強強滾。
2017-12-25T06:25:00.000Z,印刷電路板(PCB)族群也表現亮眼，尤以上游廠表現最旺，達邁 (3645) 收漲停價87元，台虹 (8039) 收盤上漲9.73%，收60.9元。
2017-12-25T03:01:00.000Z,觀察盤中焦點股，宏?痐j漲7.28%，至24.45元，位居台股成交值第一，被動元件、網通、印刷電路板（PCB）族群表現亮眼；其中，達邁 (3645) 大漲近8%，至85.1元，燿華 (2367) 漲5%，至26.15元，台虹 (8039) 大漲約8%，至60.1元。
2018-07-31T02:44:00.000Z,達邁 (3645) 第2季營收創高，目前產能仍滿載，並對下半年營運看好，加上市場看好下半年PI市場供需關係，早盤不理外資持續賣超，放量攻上漲停72.9元、收復月線。
2018-07-31T02:44:00.000Z,達邁 (3645) 第2季營收創高，目前產能仍滿載，並對下半年營運看好，加上市場看好下半年PI市場供需關係，早盤不理外資持續賣超，放量攻上漲停72.9元、收復月線。
2018-11-12T04:02:00.000Z,蘋果iPhone XR等新機銷售慘，包括郭明錤等下修聲不斷，蘋果等美國科技股及半導體個股財報利空一波接一波，拖累上周五美股重挫，不過台股延續雙軋(軋空手及空單)走勢，擺脫上周五漲多拉回頹勢，今天指數雖然以低盤開出，但之前來不及進場的買盤逢低搶買，傳產股及中小型股強出頭，康友-KY (6452) 連兩天漲停，美食-KY (2723) 、東哥遊艇 (8478) 、尚凡 (5278) 及宏達電 (2498) 強攻漲停板，達邁 (3645) 、昂寶 (4947) 、瑞昱 (2379) 強漲，加上台積電 (2330) 力守紅盤，帶動指數開低走高，盤中由黑翻紅，站回9850點。
2018-11-12T01:59:00.000Z, 18.達邁 (3645) ：Q3稅前盈餘1.68億元，創新高，前3季稅前盈餘3.94億元，年增56.71%，每股稅前盈餘3.19元，10月營收年增4.96%，股價漲6%。
2019-02-18T07:10:00.000Z,中美貿易戰談判轉趨樂觀，激勵上周五美股飆高、亞股早盤歡欣鼓舞，台股亦跟上多頭步伐開高走高，在大立光 (3008) 、鴻海 (2317) 、台積電 (2330) 、可成 (2474) 等權值大軍領攻，以及被動元件及油電氣股聯手助攻，加上中小型股美時 (1795) 、達邁 (3645) 、倉和 (6538) 、玉晶光 (3406) 、興能高 (6558) 、凱羿-KY (2939) 聯袂漲停，推升盤中一度上漲百點，衝高至10165.77點，突破半年線、頸線等反壓，惟量能溫吞令漲勢稍歇，終場加權股價指數上漲80.5點為10145.28點，成功站上10100點及半年線大關，成交值縮為1027.19億元。
2019-02-18T06:23:00.000Z, 大立光 (3008) 、鴻海 (2317) 、台積電、可成 (2474) 、台塑化 (6505) 、中租-KY (5871) 等電子傳產權值股扮演撐盤角色，中小型股亦爭先表現，美時 (1795) 、達邁 (3645) 、倉和 (6538) 、玉晶光 (3406) 、興能高 (6558) 、凱羿-KY (2939) 等強攻漲停板作收，讓台股指數順利站上半年線，終場加權股價指數為10145.28點，上漲80.5點，成交量為1027.19億元；OTC指數為135.94點，上漲0.82點，成交量為350.59億元。
2019-02-18T04:08:00.000Z,中美貿易戰談判離和解愈來愈近，上週五美股再飆高，讓今天亞股樂透，日股、韓股及陸股連袂走高，讓上週在10100點受挫，並有台積電 (2330) 下修第1季財測利空的台股多頭士氣大振，今天台股指數在大立光 (3008) 、鴻海 (2317) 、台積電、可成 (2474) 等權值領軍上攻下，指數跳空開高，美時 (1795) 、達邁 (3645) 、倉和 (6538) 等盤中股價強攻漲停板，加上被動元件及油電氣類股轉強，激勵台股指數開高走高，盤中指數一度大漲逾百點，攻抵10150點，順利收復半年線，指數雖然驚驚漲，但市場追高願意不足，成交量略為萎縮。
2019-02-19T02:12:00.000Z, 25.達邁 (3645) ：全球前四大PI薄膜及台灣最大PI薄膜供應廠，近年切入折疊式手機，傳出三星將推出的新機具可撓式設計，吸引非蘋機種跟進，股價漲4.06%。
2019-02-20T02:10:00.000Z, 15.達邁 (3645) ：全球前四大PI薄膜、台灣第一大PI薄膜供應商，配合軟板客戶群終端新應用切入折疊智慧裝置需求，因應市場需求擴充產能，股價漲4.39%。
2019-04-01T02:21:00.000Z, 26.達邁 (3645) ：PCB廠商開拓5G需求，中小利基廠商今年營運也有望持續熱轉，股價漲6.22%。
2019-04-01T02:21:00.000Z, 26.達邁 (3645) ：PCB廠商開拓5G需求，中小利基廠商今年營運也有望持續熱轉，股價漲6.22%。
