PublishDate,Sentence
2017-08-23T02:54:00.000Z,電子股方面，光學族群延續大漲走勢，包括華晶科 (3059) 、揚明光 (3504) 、今國光 (6209) 及達運 (6120) 連袂強攻漲停，玉晶光 (3406) 也一度大漲9.7%，亞光 (3019) 一度漲7.92%，為盤面焦點。
2017-10-30T01:42:00.000Z,  13.達運 (6120) ：前三季每股賺0.5元，超越去年全年，早盤漲近3.5%。
2017-10-31T02:46:00.000Z,盤初受困華映 (2475) 、群創 (3481) 等面板族群疲弱不振，牽制大盤於10765點上下狹幅震盪，隨後盤中旺宏 (2337) 、華東 (8110) 、達運 (6120) 、瀚宇博 (5469) 、力山 (1515) 等中小型股積極強攻，大盤漲點稍有放大，企圖再戰10800點關卡。
2017-10-31T02:46:00.000Z,盤初受困華映 (2475) 、群創 (3481) 等面板族群疲弱不振，牽制大盤於10765點上下狹幅震盪，隨後盤中旺宏 (2337) 、華東 (8110) 、達運 (6120) 、瀚宇博 (5469) 、力山 (1515) 等中小型股積極強攻，大盤漲點稍有放大，企圖再戰10800點關卡。
2017-12-01T02:11:00.000Z,  3.達運 (6120) ：攻OLED周邊營運添動能，儘管遭列注意股票，股價仍漲逾4%。
2017-12-01T02:11:00.000Z,  3.達運 (6120) ：攻OLED周邊營運添動能，儘管遭列注意股票，股價仍漲逾4%。
2017-12-15T02:57:00.000Z,  今日盤面僅部分題材股零星點火，IC設計族群中，祥碩 (5269) 受惠高速傳輸晶片大單到手，盤中大股逾2.5%，尼克森 (3317) 也在Mosfet題材漲價效應催化下，股價大漲3.5%；達運 (6120) 則是因第三季全球智慧機OLED市值年增近3成，吸引人氣，一度大漲逾5%；美國升息一碼拍板，Fed主席葉倫在退位前有意拉高通膨作為下，資產題材今也相對抗跌，正隆 (1904) 、興富發 (2542) 、潤泰新 (9945) 、大同 (2371) 今股價表現有撐；美國聯準升息一碼完全符合市場預期，也聲明升息縮表將維持漸進溫和態勢，在貨幣政策持續偏向鴿派、中小企業信心指數也創歷史次高下，有利穩定美股信心。
2017-12-15T02:46:00.000Z,  今日盤面僅部分題材股零星點火，IC設計族群中，祥碩 (5269) 受惠高速傳輸晶片大單到手，盤中大股逾2.5%，尼克森 (3317) 也在Mosfet題材漲價效應催化下，股價大漲3.5%；達運 (6120) 則是因第三季全球智慧機OLED市值年增近3成，吸引人氣，一度大漲逾5%；美國升息一碼拍板，Fed主席葉倫在退位前有意拉高通膨作為下，資產題材今也相對抗跌，正隆 (1904) 、興富發 (2542) 、潤泰新 (9945) 、大同 (2371) 今股價表現有撐；美國聯準升息一碼完全符合市場預期，也聲明升息縮表將維持漸進溫和態勢，在貨幣政策持續偏向鴿派、中小企業信心指數也創歷史次高下，有利穩定美股信心。
2018-02-09T02:18:00.000Z,  8.達運 (6120) ：1月營收年減36.81%，早盤隨台股大挫，股價跌停。
2018-06-20T09:05:00.000Z,達運 (6120) 針對OLED建置的精密金屬遮罩(FMM)新生產線下季投產，深獲法人好評，股價一路走高，上漲7%以上。
2018-06-26T02:14:00.000Z,  13.達運 (6120) ：開發FMM多年，已有了初步的成效並獲得主要客戶的認證採用，今年第三季新產能投產，股價漲3.23%。
2018-10-20T01:57:00.000Z,劉德音一早抵達運動會會場，隨即與總裁暨副董事長魏哲家及董事曾繁城等主管到各區隊巡視，獲得員工們熱烈歡迎，高呼「董事長我愛你」，劉德音也揮手致意。
2018-12-19T02:10:00.000Z, 隨著蘋果股價回穩，台積電、大立光及鴻海蘋概三雄走揚，國巨 (2327) 也帶領被動元件族群走穩；中型電子股華通 (2313) 、達運 (6120) 獲買盤力拱；但因美光股價重挫，南亞科 (2408) 等記憶體股開低。
2018-12-19T01:54:00.000Z, 13.達運 (6120) ：昨外資反手大舉買超2521張，早盤股價一度大漲7.14%。
2019-02-18T02:07:00.000Z, 28.達運 (6120) ：外資近5日買超4434張，股價漲6.33%。
2019-04-23T02:07:00.000Z, 13.達運 (6120) ：昨獲外資、自營商聯手轉買超1779張，股價漲3.46%。
2019-10-02T09:14:35.000Z,"
10.台達電 (2308) ：每股成交價134.52元，成交量33萬1000股，成交金額4452萬6120元。"
2019-10-02T09:14:35.000Z,"
10.台達電 (2308) ：每股成交價134.52元，成交量33萬1000股，成交金額4452萬6120元。"
2020-03-05T07:13:00.000Z,光電股則有國碩 (2406) 、達運 (6120) 、天瀚 (6225) 衝上漲停，晶電 (2448) 以及美系外資比讚的玉晶光 (3406) 亦力挺多方，光電類股收漲1.39%，其餘類股漲幅逾1%依序為電子通路、營建、生醫、其它電子、通信網路、電子、電機、百貨、紡織、半導體、資訊服務、化工等。
