PublishDate,Sentence
2016-12-30T12:42:00.000Z,成交量前10名個股依次為：彩晶 (6116) 、元大台灣50反1（00632R）、元大滬深300正2（00637L）、台積電 (2330) 、群創 (3481) 、亞翔 (6139) 、中信金 (2891) 、友達 (2409) 、元大金 (2885) 、緯創 (3231) 。
2016-12-30T12:42:00.000Z,成交值前10名個股依次為：台積電 (2330) 、葡萄王 (1707) 、大立光 (3008) 、鴻海 (2317) 、亞翔 (6139) 、中華電 (2412) 、元大台灣50反1（00632R）、玉晶光 (3406) 、聯發科 (2454) 、彩晶 (6116) 。
2016-12-30T07:01:00.000Z,  個股表現上，無塵室機電工程廠亞翔 (6139) 旗下蘇州子公司亞翔集成今日在上海A股上市大漲，亞翔母憑子貴，今日大漲7.7%。
2017-06-29T00:58:00.000Z,5.其他個別修正或漲多拉回者，諸如網家 (8044) 、信驊 (5274) 、凌華 (6166) 、茂迪 (6244) 、鈊象 (3293) 、勝麗 (6238) 、?矬? (8349) 、雄獅 (2731) 、亞翔 (6139) 等。
2018-03-22T06:15:00.000Z,　(依上述事實發生日期間之累計訂單總金額)4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關係人者，得免揭露其姓名）:交易相對人:(1) 亞翔工程股份有限公司 (2) 西門子股份有限公司與公司關係：無。
2018-07-31T09:02:00.000Z, (依上述事實發生日期間之累計訂單總金額)4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關係人者，得免揭露其姓名）:交易相對人:(1) 高信工程股份有限公司(2) 亞翔工程股份有限公司 (3) 洋基工程股份有限公司(4) 漢唐集成股份有限公司(5) 亞東工業氣體股份有限公司 (6) 大三億營造股份有限公司 與公司關係：無。
2018-07-31T08:49:00.000Z,　(依上述事實發生日期間之累計訂單總金額)4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關係人者，得免揭露其姓名）:交易相對人:(1) 高信工程股份有限公司(2) 亞翔工程股份有限公司 (3) 洋基工程股份有限公司(4) 漢唐集成股份有限公司(5) 亞東工業氣體股份有限公司　 (6) 大三億營造股份有限公司　　與公司關係：無。
2018-07-31T09:02:00.000Z, (依上述事實發生日期間之累計訂單總金額)4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關係人者，得免揭露其姓名）:交易相對人:(1) 高信工程股份有限公司(2) 亞翔工程股份有限公司 (3) 洋基工程股份有限公司(4) 漢唐集成股份有限公司(5) 亞東工業氣體股份有限公司 (6) 大三億營造股份有限公司 與公司關係：無。
2018-07-31T08:49:00.000Z,　(依上述事實發生日期間之累計訂單總金額)4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關係人者，得免揭露其姓名）:交易相對人:(1) 高信工程股份有限公司(2) 亞翔工程股份有限公司 (3) 洋基工程股份有限公司(4) 漢唐集成股份有限公司(5) 亞東工業氣體股份有限公司　 (6) 大三億營造股份有限公司　　與公司關係：無。
2018-11-28T23:40:00.000Z,在設備及材料供應鏈部份，除了應用材料、科磊等國際設備大廠進駐設點，包括弘塑、辛耘、翔名、漢唐、帆宣、亞翔、崇越、華立等均在南京當地或臨近的蘇州設立服務據點。
2019-02-25T02:11:00.000Z, 8.亞翔 (6139) ：目前在手訂單金額達476.32億元，約2年的營收總和，高檔理後今早開攻上漲3%。
2019-10-02T02:08:34.000Z,"
7.亞翔 (6139) ：處分不動產，獲利吃補，今早自底部跳彈4%。"
2019-10-02T02:08:00.000Z, 7.亞翔 (6139) ：處分不動產，獲利吃補，今早自底部跳彈4%。
2019-10-02T02:08:34.000Z,"
7.亞翔 (6139) ：處分不動產，獲利吃補，今早自底部跳彈4%。"
2019-10-02T02:08:00.000Z, 7.亞翔 (6139) ：處分不動產，獲利吃補，今早自底部跳彈4%。
2019-10-21T06:42:29.000Z,受台積電 (2330) 弱勢拖累，今天台股指數幾乎是悶整場，一直處在平盤下游走，不過中小型股及傳產股強出頭，大洋 (1321) 、華電 (1603) 、歐買尬 (3687) 、中環 (2323) 、前鼎 (4908) 、泰豐 (2102) 、南仁湖 (5905) 、台火 (9902) 、和進 (3191) 及藍天 (2362) 等股價以漲停作收，亞翔 (6139) 、環球晶 (6488) 及漢磊 (3707) 收高，加上—大立光 (3008) 及玉晶光 (3406) 轉強收紅，讓台股指數無畏台積弱勢及外資報告力挺的國巨 (2327) 等被動元件個股股價開高走低，在尾盤時擺尾收高，終場加權股價指數為11184.15點，小漲3.93點，成交量1017.61億元；OTC指數為143.24點，上漲0.43點，成交量375.39億元。
2019-10-21T06:42:00.000Z,受台積電 (2330) 弱勢拖累，今天台股指數幾乎是悶整場，一直處在平盤下游走，不過中小型股及傳產股強出頭，大洋 (1321) 、華電 (1603) 、歐買尬 (3687) 、中環 (2323) 、前鼎 (4908) 、泰豐 (2102) 、南仁湖 (5905) 、台火 (9902) 、和進 (3191) 及藍天 (2362) 等股價以漲停作收，亞翔 (6139) 、環球晶 (6488) 及漢磊 (3707) 收高，加上—大立光 (3008) 及玉晶光 (3406) 轉強收紅，讓台股指數無畏台積弱勢及外資報告力挺的國巨 (2327) 等被動元件個股股價開高走低，在尾盤時擺尾收高，終場加權股價指數為11184.15點，小漲3.93點，成交量1017.61億元；OTC指數為143.24點，上漲0.43點，成交量375.39億元。
2019-10-21T03:54:07.000Z,大陸經濟數據不佳，上週五美股指數收黑，上週舉行法說會釋出樂觀訊息的台積電也因費城半導體指數收低，連兩天走跌，亦讓今天台股指數上攻無力，不過，台積電上調2020年資本支出，供應商樂透，加上台商回流資金效應，營建資產股持續成為盤面主流，資金轉戰相關個股，盤中前鼎 (4908) 、泰豐 (2102) 、南仁湖 (5905) 、台火 (9902) 、和進 (3191) 股價漲停，迅得 (6438) 、亞翔 (6139) 、環球晶 (6488) 大漲，搭配股王—大立光 (3008) 在中場過後轉強，撐住台股指數在平盤附近震盪。
2019-10-21T03:54:00.000Z,大陸經濟數據不佳，上週五美股指數收黑，上週舉行法說會釋出樂觀訊息的台積電也因費城半導體指數收低，連兩天走跌，亦讓今天台股指數上攻無力，不過，台積電上調2020年資本支出，供應商樂透，加上台商回流資金效應，營建資產股持續成為盤面主流，資金轉戰相關個股，盤中前鼎 (4908) 、泰豐 (2102) 、南仁湖 (5905) 、台火 (9902) 、和進 (3191) 股價漲停，迅得 (6438) 、亞翔 (6139) 、環球晶 (6488) 大漲，搭配股王—大立光 (3008) 在中場過後轉強，撐住台股指數在平盤附近震盪。
2019-12-19T02:22:00.000Z, 8.亞翔 (6139) ：看好明年台灣、大陸半導體產業成長強勁，前景樂觀，股價持續向上衝刺，創15個月來高價。
2019-12-23T02:16:08.000Z,"
10.亞翔 (6139) ：Q4營運動起來，全年EPS可望站上2元，32元高檔未破，今早走高2%拚回前高。"
2019-12-23T02:16:00.000Z, 10.亞翔 (6139) ：Q4營運動起來，全年EPS可望站上2元，32元高檔未破，今早走高2%拚回前高。
2020-01-13T02:06:00.000Z,  26.亞翔 (6139) ：今年營運展望樂觀，股價落底搭配選後台股雜音消除，今早漲幅逾6%。
2020-01-17T07:02:00.000Z,權王雖然落寞，但因上調資本支出，嘉惠設備及工程股，家登 (3680) 、京鼎 (3413) 、弘塑 (3131) 、帆宣 (6196) 、漢唐 (2404) 、亞翔 (6139) 等早盤開高。
2020-01-17T07:02:00.000Z,台積電調升資本支出，相關設備廠營運將受惠增溫，家登 (3680) 、京鼎 (3413) 、弘塑 (3131) 、帆宣 (6196) 、漢唐 (2404) 、亞翔 (6139) 一早歡慶開盤，惟大盤漲勢收斂，部分個股紅翻黑，未能延續漲勢到終場。
2020-01-30T02:40:26.000Z,去年下半年在台積電調升資本支出帶動下，多數設備及工程廠商營運逐步增溫，今年上半年可望延續熱度，家登 (3680) 、京鼎 (3413) 、弘塑 (3131) 、帆宣 (6196) 、漢唐 (2404) 、亞翔 (6139) 等台積電設備及工程相關協力廠營運動能明朗。
2020-01-30T02:40:00.000Z,去年下半年在台積電調升資本支出帶動下，多數設備及工程廠商營運逐步增溫，今年上半年可望延續熱度，家登 (3680) 、京鼎 (3413) 、弘塑 (3131) 、帆宣 (6196) 、漢唐 (2404) 、亞翔 (6139) 等台積電設備及工程相關協力廠營運動能明朗。
2020-08-24T11:54:06.000Z,晶圓代工龍頭台積電 (2330-TW) 今 (24) 日再度公告購買南科廠房，為今年第四度購買南科鄰近公司廠房，累計已投入約 100 億元；隨著廠房建置需求增加，將進一步帶動機無塵室與機電工程，漢唐 (2404-TW)、亞翔 (6139-TW) 營運可望再添動能。
2020-08-24T11:54:06.000Z,"
漢唐、亞翔皆為台積電的機電工程與無塵室供應鏈，其中，漢唐為台積電的主力供應商，主要負責南科 18 廠四期廠房，7 月營收達 37.6 億元，月減 15.76%，年增 160%，改寫歷史次高，累計前 7 月營收 206.02 億元，年增達 47.7%，也改寫同期新高。"
2020-08-24T11:54:06.000Z,"
亞翔則負責台積電 18 廠的土方開挖回填，後續隨著客戶購置新廠，機電工程需求將續強，有助亞翔彌補中國地區業績下滑的壓力。"
2020-08-28T02:05:00.000Z,"
另外，中國武漢弘芯爆出資金缺口，市場傳出，半導體設備廠帆宣(6196)、亞翔(6139)等武漢弘芯的相關供應鏈恐受到影響，其中，市場傳聞帆宣仍有款項尚未收足。"
2020-08-28T02:05:00.000Z,"
帆宣及亞翔27日因中國武漢弘芯爆出資金斷鏈危機的利空走低。"
2020-12-27T04:03:57.000Z,（中央社記者張建中新竹2020年12月27日電）台積電 (2330) 持續衝刺先進製程技術，並積極擴產，包括漢唐 (2404) 與亞翔 (6139) 等無塵室及廠務系統業者接單暢旺，只是廠商多面臨焊工等專業工程技術人員短缺的難題。
2020-12-27T04:03:57.000Z,包括漢唐與亞翔等供應商直接受惠，接單暢旺。
2020-12-27T04:03:57.000Z,亞翔至9月底在手訂單也達473.74億元規模。
2021-01-15T01:23:13.000Z,在法說會利多消息激勵下，台積電今日一改前兩日修正走勢，開盤直衝 600 元大關，飆上 625 元新天價，市值也來到 16.2 兆元，再創新高；在資本支出暴增帶動下，台積電設備相關供應鏈也全面狂歡，漢唐飆漲 6%，帆宣漲近半根停板，信紘科大漲超過 3%，亞翔漲幅近 2%。
2021-03-17T23:45:19.000Z,台積電大聯盟包括愛普、映泰、昇貿、雍智科技、晟銘電、世芯-KY、光罩、崇越、力旺、亞翔、達興材料、公準、華立、萬潤、創意、弘塑等16檔，17日多有1～4％不等的漲幅，其中，愛普因3D先進封裝技術，已有多家客戶導入，下半年可望量產，股價更拉至漲停板價847元，創歷史新高。
2021-04-24T05:08:09.000Z,篩選法人本周買超逾千張的14檔台積電概念股，包括京元電、合晶、中美晶、光罩、欣銓、旺矽、光洋科、台勝科、致茂、環球晶、亞翔、長興、閎康及漢科等皆名列其中，以今年前三月營收觀察，14檔個股皆較去年同期有個位數至50％間成長幅度。
