PublishDate,Sentence
2017-06-20T00:28:00.000Z,自2017年06月20日起至2017年06月23日暫停融券賣出四個營業日的證券如下：(1307)三芳、(2032)新鋼、(2107)厚生、(2330)台積電、(2415)錩新、(2421)建準、(2727)王品、(4915)致伸、(4977)眾達-KY、(6164)華興。
2017-06-23T11:12:00.000Z,證交所表示，26日將有包括三芳 (1307) 、新鋼 (2032) 、厚生 (2107) 、台積電、錩新 (2415) 、建準 (2421) 、王品 (2727) 、致伸 (4915) 、眾達-KY (4977) 、華興 (6164) 10檔股票辦理除權息交易。
2018-12-13T00:18:00.000Z,　台積電明年首季營運季減10～15％，已成外資圈共識，不只先前的野村、麥格理、摩根大通證券，最近連瑞信、花旗環球、巴黎、大陸華興資本證券等，都加入示警來年首季營運的行列，甚或下修財務預測。
2019-06-18T00:25:00.000Z,自2019年06月18日起至2019年06月21日暫停融券賣出四個營業日的證券如下：(1707)葡萄王、(1711)永光、(1906)寶隆、(2107)厚生、(2330)台積電、(2722)夏都、(2727)王品、(3048)益登、(3416)融程電、(4722)國精化、(6024)群益期、(6164)華興、(6641)基士德-KY。
2019-06-21T09:07:00.000Z,"108年6月24日除息影響加權股價指數108年6月24日計1707葡萄王、1711永光、1906寶隆、2107厚生、2330台積電、2722夏都、2727王品、3048益登、3416融程電、4722國精化、6024群益期、6164華興、6641基士德-KY等13檔股票除息交易，其中台積電發行市值將減少約2,074億元，占發行量加權股價指數約69.3點，前述13檔指數採樣股票除息後，減少市值占發行量加權股價指數約70.3點。"
2019-06-24T07:04:00.000Z,其中：台積電 (2330) 收漲0.21%、永光 (1711) 收漲0.91%、寶隆 (1906) 收漲1.15%、厚生 (2107) 收漲2.32%、夏都 (2722) 收漲2.64%、王品 (2727) 收漲0.75、益登 (3048) 收漲1.93%、國精化 (4722) 收漲0.71%、群益期 (6024) 收漲1.58%；華興 (6164) 收跌0.14%、葡萄王 (1707) 收跌0.47%、融程電 (3416) 收跌0.76%；基士德-KY (6641) 則持平。
2019-08-21T03:31:00.000Z,　據統計，採取季季配的有台積電、光寶科技、昆盈企業、晶電、光群雷射、興富發、晶華酒店、閎暉、敦泰、三福化工、聯德控股-KY、傳奇、華興電子、宏正科、福貞-KY、波力-KY及泰昇-KY等17家。
2020-01-11T02:09:00.000Z,外資券商包括美林美銀、摩根士丹利、麥格里、花旗及陸資券商華興資本紛紛按讚台積電，目標價最高拉上390元。
2020-01-11T02:09:00.000Z,　除了美林美銀外，摩根士丹利、麥格里、花旗及陸系券商華興資本也給予台積電「優於大盤」及「買進」的投資評等，目標價分別是368、385、375及390元，華興資本是目前外資券商中，推測台積電合理股價最高的一家券商。
2020-11-30T23:45:45.000Z,MSCI明晟半年度調整生效後，個股重新走回基本面與來年展望行情，摩根士丹利、大陸華興資本同步出擊，上調領頭羊台積電推測合理股價至558與640元，後者更超車瑞銀證券的625元，躍升外資圈看台積電最高目標價。
2020-11-30T23:45:45.000Z,華興資本則鎖定台積電長線威力，除購地積極，日前宣示打造Fab 18廠，供應5奈米與3奈米製程生產，這些舉動意味台積電規畫的3奈米產能，很可能與5奈米製程巔峰時相近，這也是目前安裝每月5.5～6萬片產能的兩倍之多。
2020-11-30T23:45:45.000Z,華興資本認為，在台積電5奈米與3奈米製程中，除了3奈米EUV層數近乎倍增，二製程擁有同樣的FinFET架構，設備的高度通用性不僅可提高生產效率，還能有效化解產能過度擴張風險。
2020-11-30T23:45:45.000Z,華興資本之所以將台積電推測股價拉升到640元（相當於2021、2022年推測每股純益平均值的29倍本益比），也考量台積電產業龍頭地位、未來參與CPU委外代工大商機，此外，ADR溢價幅度高，亦可望成為驅動台積電股價續漲助力。
2020-12-04T04:27:00.000Z, 統整近期外資看法，已經有7家外資喊台積電「6」字頭，目前最高的是大陸華興資本640元，緊接著是瑞銀證625元，廣發給予611.5元，花旗607元，里昂、匯豐、Aletheia則都賦予600元目標。
2020-11-30T23:45:45.000Z,MSCI明晟半年度調整生效後，個股重新走回基本面與來年展望行情，摩根士丹利、大陸華興資本同步出擊，上調領頭羊台積電推測合理股價至558與640元，後者更超車瑞銀證券的625元，躍升外資圈看台積電最高目標價。
2020-11-30T23:45:45.000Z,華興資本則鎖定台積電長線威力，除購地積極，日前宣示打造Fab 18廠，供應5奈米與3奈米製程生產，這些舉動意味台積電規畫的3奈米產能，很可能與5奈米製程巔峰時相近，這也是目前安裝每月5.5～6萬片產能的兩倍之多。
2020-11-30T23:45:45.000Z,華興資本認為，在台積電5奈米與3奈米製程中，除了3奈米EUV層數近乎倍增，二製程擁有同樣的FinFET架構，設備的高度通用性不僅可提高生產效率，還能有效化解產能過度擴張風險。
2020-11-30T23:45:45.000Z,華興資本之所以將台積電推測股價拉升到640元（相當於2021、2022年推測每股純益平均值的29倍本益比），也考量台積電產業龍頭地位、未來參與CPU委外代工大商機，此外，ADR溢價幅度高，亦可望成為驅動台積電股價續漲助力。
2020-12-04T04:27:00.000Z, 統整近期外資看法，已經有7家外資喊台積電「6」字頭，目前最高的是大陸華興資本640元，緊接著是瑞銀證625元，廣發給予611.5元，花旗607元，里昂、匯豐、Aletheia則都賦予600元目標。
2021-01-15T04:12:00.000Z,  外資圈在台積電法說會前，便接連調升目標價，法說後外資更是一片看好，摩根士丹利率先將目標價調升至708元，給出「優於大盤」評等；野村重申「買進」，升高至710元；美銀維持「買進」，提高到730元；里昂重申「買進」，升至825元；滙豐維持「買進」，上調至845元，其中喊多最高目標價的是華興資本，重申「買進」並將價格上修至865元；本土則有凱基投顧升至800元，暫為投顧圈最高。
2021-01-15T04:12:00.000Z, 給出最高865元目標價的華興資本認為，台積電大幅上修今年資本支出，被認為將瞄準英特爾將釋出的晶片肥單，但今年資本支出應有大部分用在5奈米，代表來自HPC、5G的需求更強勁，至於3奈米的效益雖然還要時間才能發酵，未來量產後則是有望延續5奈米成為最強的製程之一。
2021-01-15T04:12:00.000Z,華興資本肯定台積電法說會同步拉高長期營收的成長展望，能吸引投資人繼續加碼，對台積電的本益比拉高到40倍。
2021-01-16T02:23:13.000Z,台積電營運報喜讓外資圈大驚艷，紛紛上修目標價，不少券商喊上8字頭，其中，華興資本一舉上看865元驚天價，匯豐證券上調推測合理股價到845元，里昂證券則升至825元，本土凱基投顧升至800元。
2021-01-16T01:58:02.000Z,台積電(2330)連連，內外資正在台積電目標價上互別苗頭，更驚人的是，樂觀派目標價共識新區間跳過「7」字頭、直接向「8」字頭集結，包括?豐證券上調推測合理股價到845元、里昂證券升至825元、凱基投顧升至800元，最高則是大陸華興資本的865元。
2021-01-18T23:42:55.000Z,"外資一路升評台積電，18日ALETHEIA後發先至，竟給出破天荒的1,000元長線股價預期（未來24個月），美國存託憑證（ADR）目標價同步升至200美元，超越華興資本、里昂、匯豐、凱基投顧、高盛、等七家研究機構給予台積電800元以上推測合理股價。"
2021-07-17T02:04:52.000Z,因此，包括里昂、華興資本、瑞信、摩根大通、美銀、瑞穗、野村、瑞銀、中信、統一等內外資券商，對台積電的投資評等及目標價維持不變。
