PublishDate,Sentence
2017-06-07T06:34:00.000Z,另外，瑞信持續看壞瑞儀(6176)，認為該公司較難從iPad尺寸變大中獲利。
2017-06-07T06:34:00.000Z,而且今年下半新iPhone改用OLED面板，不利瑞儀智慧機業務，瑞儀又對大尺寸的5.5吋iPhone曝險較多。
2017-06-07T06:34:00.000Z,瑞儀走低0.76%收在台幣65.50元。
2017-06-07T06:34:00.000Z,瑞士信貸之前就曾發出警告，指稱今年第二季，iPad螢幕零組件的下單狀況可能不及預期，或許不利瑞儀(6176)和GIS-KY業成(6456)。
2017-06-07T06:34:00.000Z,瑞士信貸指出，瑞儀和業成曝險較多。
2017-06-07T06:34:00.000Z,韓廠Heesung退出供應鏈之後，瑞儀成了iPad背光模組的唯一供應商，估計瑞儀有35~40%營收與iPad有關。
2017-09-02T02:20:00.000Z,　據統計，有仁寶、台積電、華邦電、奇鋐、台達電、新普、國巨、瑞儀、宣德、玉晶光、雙鴻、原相、致茂等13檔個股，擁蘋果利多題材十足，將大閃金光。
2017-09-02T02:20:00.000Z,　據統計，有仁寶、台積電、華邦電、奇鋐、台達電、新普、國巨、瑞儀、宣德、玉晶光、雙鴻、原相、致茂等13檔個股，擁蘋果利多題材十足，將大閃金光。
2018-02-02T07:11:00.000Z,　蘋果昨日公布的財報憂喜參半，使蘋概股龍頭大立光 (3008) 、台積電 (2330) 未能演出慶祝行情，鴻海 (2317) 傳出5年擬砸百億加速工業物聯網AI應用利多激勵股價走高；可成 (2474) 、瑞儀 (6176) 和緯創 (3231) 獲德意志喊買並調高目標價，股價相對硬挺；被動元件族群受惠漲價題材再度發動攻勢，國巨 (2327) 、禾伸堂 (3026) 攜手走揚。
2018-02-02T07:11:00.000Z,　蘋果昨日公布的財報憂喜參半，使蘋概股龍頭大立光 (3008) 、台積電 (2330) 未能演出慶祝行情，鴻海 (2317) 傳出5年擬砸百億加速工業物聯網AI應用利多激勵股價走高；可成 (2474) 、瑞儀 (6176) 和緯創 (3231) 獲德意志喊買並調高目標價，股價相對硬挺；被動元件族群受惠漲價題材再度發動攻勢，國巨 (2327) 、禾伸堂 (3026) 攜手走揚。
2018-08-01T23:34:00.000Z,　鑑於蘋果法說會對於未來展望看好的支撐及蘋概股陸續發布7月營收及第二季財務狀況，例如瑞儀繳出第二季EPS 3.1元，令市場驚豔數字消弭了市場空頭雜音，蘋概股將會是助長台股再挑戰前高的重要柴火。
2018-08-01T23:34:00.000Z,　鑑於蘋果法說會對於未來展望看好的支撐及蘋概股陸續發布7月營收及第二季財務狀況，例如瑞儀繳出第二季EPS 3.1元，令市場驚豔數字消弭了市場空頭雜音，蘋概股將會是助長台股再挑戰前高的重要柴火。
2018-10-19T07:04:00.000Z,股王大立光 (3008) 股價開低一度回測上周五低點後，奮力翻紅收漲3.02%，激勵玉晶光 (3406) 、面板雙虎友達的群創 (3481) 、瑞儀 (6176) 、佳凌 (4976) 、 TPK-KY (3673) 、揚明光 (3504) 、群創 (3481) 等光電股逆勢上漲，光電類股指數列今台股類股榜首，收漲1.73%。
2018-10-22T07:04:00.000Z,　股王大立光開低走低，然盤中化解前波3205元破底危機後，隨後獲買盤墊高，翻紅突破10日線，且蘋果新機陸續登場，概念股同歡，包括衝上漲停的康控-KY (4943) 、GIS-KY (6456) 、聯德控股-KY (4912) 、瑞儀 (6176) 、新日興 (3376) 、嘉聯益 (6153) 、臻鼎-KY (4958) 、奇力新 (2456) 、全新 (2455) 股價皆表現亮眼。
2018-10-22T03:54:00.000Z,　蘋果概念股的嘉聯益 (6153) 、奇力新 (2456) 、瑞儀 (6176) 及全新 (2455) 等走高，台股指數亦在中場過後由黑翻紅，站回9950點，截至11點35分為止，加權股價指數為9973.46點，上漲54.2點，成交量為687.74億元；OTC指數為118.48點，上漲1.28點，成交量為116.78億元。
2018-10-23T06:35:00.000Z,國際股市遭空襲，台股無法獨善其身，今日各大類股倒成一片，指標股台積電 (2330) 亦大跌2.95%、收230元，大立光 (3008) 重挫4.85%、收3335元，其餘創意 (3443) 、可成 (2474) 、國巨 (2327) 、華新科 (2492) 、大同 (2371) 等權值股皆跌逾3%，盤面上僅靠基亞 (3176) 、華晶科 (3059) 、瑞儀 (6176) 、光寶科 (2301) 等零星個股逆漲充場。
2018-10-23T06:35:00.000Z, 盤面上，瑞儀受惠旺季效應顯現，第3季營收季增29.7%，第4季受惠蘋果新產品上市，法人預估營收可季增1成以上，近兩日獲三大法人聯手擴大買超，今人氣升溫，推升股價逆勢強漲4.2%。
2018-10-30T06:47:00.000Z,台股今日開低，盤初台積電、大立光 (3008) 及被動元件龍頭國巨 (2327) 、華新科 (2492) 紛紛走弱，空軍步步逼退多頭，惟老大哥台積電奮力抵抗，加上華邦電 (2344) 、南亞科 (2408) 、台達電 (2308) 、瑞儀 (6176) 、嘉聯益 (6153) 、旺宏 (2337) 等積極奧援，多空於9500城門前陷入激戰，盤中高低點相差約93點，接近尾盤，台積電奮力一搏、成功收高在223元，帶動大盤同步甩尾收漲9.79點，以9526.11點作收，險守9500關，惟成交值續縮至998.2億元；店頭市場上漲0.07點，收110.61點，成交值202.93億元。
2018-10-31T03:01:00.000Z, 蘋果發表新產品，台灣蘋概股今天隨勢上攻，大立光 (3008) 大漲逾3%領軍，鏡頭供應商的玉晶光 (3406) 跟漲，另外，蘋概相關嘉聯益 (6153) 、新普 (6121) 、可成 (2474) 、瑞儀 (6176) 等全都紅光滿面。
2018-11-02T07:14:00.000Z,　市場擔憂蘋果銷售量困境，盤後股價重挫近6%，蘋概股可成 (2474) 、和碩 (4938) 、致伸 (4915) 、GIS-KY (6456) 、TPK-KY (3673) 、台郡 (6269) 皆遭拉低，而台積電則力守平盤之上，鴻海股價一度失守79元關，隨後獲買盤青睞、收漲1.38%至81元，大立光同樣不畏頹勢，站穩3500元，強勢收漲5.7%，領軍玉晶光 (3406) 、華晶科 (3059) 、揚明光 (3504) 、新日光 (3576) 、瑞儀 (6176) 、元晶 (6443) 、晶電 (2448) 等光電股力抗空頭，該類股指數收漲2.55%，成為今台股撐盤主角之一。
2018-10-31T03:01:00.000Z, 蘋果發表新產品，台灣蘋概股今天隨勢上攻，大立光 (3008) 大漲逾3%領軍，鏡頭供應商的玉晶光 (3406) 跟漲，另外，蘋概相關嘉聯益 (6153) 、新普 (6121) 、可成 (2474) 、瑞儀 (6176) 等全都紅光滿面。
2018-11-02T07:14:00.000Z,　市場擔憂蘋果銷售量困境，盤後股價重挫近6%，蘋概股可成 (2474) 、和碩 (4938) 、致伸 (4915) 、GIS-KY (6456) 、TPK-KY (3673) 、台郡 (6269) 皆遭拉低，而台積電則力守平盤之上，鴻海股價一度失守79元關，隨後獲買盤青睞、收漲1.38%至81元，大立光同樣不畏頹勢，站穩3500元，強勢收漲5.7%，領軍玉晶光 (3406) 、華晶科 (3059) 、揚明光 (3504) 、新日光 (3576) 、瑞儀 (6176) 、元晶 (6443) 、晶電 (2448) 等光電股力抗空頭，該類股指數收漲2.55%，成為今台股撐盤主角之一。
