PublishDate,Sentence
2017-05-25T00:57:00.000Z,※未來注意事項1.週四(5/25)台股法說或業績發表會公司：東元 (1504) 、玉山金 (2884) 、可成 (2474) 、元太 (8069) 、迅得 (6438) 、欣普羅 (6560) 、勁豐 (6577) 等。
2018-09-03T07:01:00.000Z,今日外資(不含外資自營商)賣超20.8448億元，投信賣超4.6438億元，自營商賣超22.4743億元，三大法人賣超47.96億元。
2018-09-03T07:01:00.000Z,今日外資(不含外資自營商)賣超20.8448億元，投信賣超4.6438億元，自營商賣超22.4743億元，三大法人賣超47.96億元。
2019-08-19T03:53:30.000Z,"
中美貿易戰惡化負面效應逐漸擴大，全球經濟前景蒙上陰影，讓上周美股等全球股市震盪加劇，不過台股因有轉單效益護身，內資強攻銅箔、PCB、散熱及5G等相關個股，讓台股在全球股市一片綠油油中相對平穩，延續上周五台股反彈走勢，今天台股隨上周五美股反彈續強，中小型股依舊是內資點火護多頭的重心，雍智科技 (6683) 、愛普科技 (6531) 、昂寶-KY (4947) 、迅得 (6438) 、世德 (2066) 、矽創 (8016) 、世芯-KY (3661) 等盤中股價強攻漲停板，華新集團PCB廠—瀚宇博 (5469) 、精成科 (6191) 、嘉聯益 (6153) ，以及聯發科 (2454) 、台積電 (2330) 等權值股走高，搭配汽車及紡織類股走高，帶動台股指數開平走高，截至11點35分為止，加權股價指數為10505.51點，上漲84.62點，成交量745.09億元；OTC指數為137.75點，上漲1.63點，成交量219.32億元。"
2019-08-19T03:53:00.000Z,　中美貿易戰惡化負面效應逐漸擴大，全球經濟前景蒙上陰影，讓上周美股等全球股市震盪加劇，不過台股因有轉單效益護身，內資強攻銅箔、PCB、散熱及5G等相關個股，讓台股在全球股市一片綠油油中相對平穩，延續上周五台股反彈走勢，今天台股隨上周五美股反彈續強，中小型股依舊是內資點火護多頭的重心，雍智科技 (6683) 、愛普科技 (6531) 、昂寶-KY (4947) 、迅得 (6438) 、世德 (2066) 、矽創 (8016) 、世芯-KY (3661) 等盤中股價強攻漲停板，華新集團PCB廠—瀚宇博 (5469) 、精成科 (6191) 、嘉聯益 (6153) ，以及聯發科 (2454) 、台積電 (2330) 等權值股走高，搭配汽車及紡織類股走高，帶動台股指數開平走高，截至11點35分為止，加權股價指數為10505.51點，上漲84.62點，成交量745.09億元；OTC指數為137.75點，上漲1.63點，成交量219.32億元。
2019-08-20T02:07:00.000Z, 11.迅得 (6438) ：大單加持，下半年獲利強升，股價接連創高，寫近5個月高點。
2019-10-21T04:46:00.000Z,台積電 (2330) 上修資本支出，讓設備廠—迅得 (6438) 營運看俏，法人預期，迅得明年營運可望擺脫今年谷底，重回成長軌道，為因應半導體訂單需求，迅得將發行4億元無擔保可轉換公司債，並辦理現金增資2500萬元，預計將募資5.25億元，在買盤力挺下，今天盤中股價創下2018年6月7日以後新高。
2019-10-21T04:46:00.000Z,　迅得機械於1999年與德國SCHIMID共同合資成立，專攻智慧工廠生產設備，設備涵蓋PCB、光電及半導體產業，看好半導體產業，近兩年將重心放在半導體設備客戶開發，目前已有不錯的成果，來自於晶圓廠訂單穩定增加，成為今年營運亮點，由於7奈米等高階製程需求強勁，台積電大幅上修資本支出，法人預期迅得可望受惠，成為推升迅得明年業績重要動能。
2019-10-21T04:46:00.000Z,　迅得內部目標是3年內半導體產品佔營收比重將達40%，屆時PCB佔比將降至30%，光電約佔20%。
2019-10-21T04:46:00.000Z,　迅得前9月合併營收為24.37億元，年減14.53%。
2019-10-21T03:54:07.000Z,大陸經濟數據不佳，上週五美股指數收黑，上週舉行法說會釋出樂觀訊息的台積電也因費城半導體指數收低，連兩天走跌，亦讓今天台股指數上攻無力，不過，台積電上調2020年資本支出，供應商樂透，加上台商回流資金效應，營建資產股持續成為盤面主流，資金轉戰相關個股，盤中前鼎 (4908) 、泰豐 (2102) 、南仁湖 (5905) 、台火 (9902) 、和進 (3191) 股價漲停，迅得 (6438) 、亞翔 (6139) 、環球晶 (6488) 大漲，搭配股王—大立光 (3008) 在中場過後轉強，撐住台股指數在平盤附近震盪。
2019-10-21T03:54:00.000Z,大陸經濟數據不佳，上週五美股指數收黑，上週舉行法說會釋出樂觀訊息的台積電也因費城半導體指數收低，連兩天走跌，亦讓今天台股指數上攻無力，不過，台積電上調2020年資本支出，供應商樂透，加上台商回流資金效應，營建資產股持續成為盤面主流，資金轉戰相關個股，盤中前鼎 (4908) 、泰豐 (2102) 、南仁湖 (5905) 、台火 (9902) 、和進 (3191) 股價漲停，迅得 (6438) 、亞翔 (6139) 、環球晶 (6488) 大漲，搭配股王—大立光 (3008) 在中場過後轉強，撐住台股指數在平盤附近震盪。
2019-10-23T04:07:00.000Z,設備廠—迅得 (6438) 佈局半導體產業進入收割期，受惠於台積電 (2330) 上修資本支出，迅得明年半導體產品佔營收比重可望拉升到20%到25%，迅得副董事長王年清表示，公司未來營運重心將在半導體及PCB，公司營運將在第3季落底，明年業績可望重回成長軌道，為因應半導體訂單需求，迅得將發行4億元無擔保可轉換公司債，預計年底前完成，至於現金增資2500萬元則預計明年第1季募資完成。
