PublishDate,Sentence
2017-03-30T07:04:00.000Z,　盤面上，主要電子權值股台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 、聯發科 (2454) 、日月光 (2311) 平盤附近整理；NOR Flash出現供不應求，激勵產業龍頭旺宏 (2337) 剽悍大漲，華邦電 (2344) 同步受惠、股價向上挺升；網通族群持續看好今年大陸全力布建光纖到府建設，概念股熱力四射，統新 (6426) 強攻漲停，光聖 (6442) 、聯亞 (3081) 、兆赫 (2485) 、光環 (3234) 攜手衝高。
2017-03-30T07:04:00.000Z,　盤面上，主要電子權值股台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 、聯發科 (2454) 、日月光 (2311) 平盤附近整理；NOR Flash出現供不應求，激勵產業龍頭旺宏 (2337) 剽悍大漲，華邦電 (2344) 同步受惠、股價向上挺升；網通族群持續看好今年大陸全力布建光纖到府建設，概念股熱力四射，統新 (6426) 強攻漲停，光聖 (6442) 、聯亞 (3081) 、兆赫 (2485) 、光環 (3234) 攜手衝高。
2017-04-06T07:05:00.000Z,　股王大立光 (3008) 看淡4月營收衝擊市場信心，股價應聲重挫4%，拖累光學元件族群玉晶光 (3406) 摔落300元，亞光 (3019) 及新鉅科 (3630) 同步走弱，僅先進光 (3362) 逆勢走高；權值股台積電 (2330) 、鴻海 (2317) 、聯發科 (2454) 、華碩 (2357) 等全面壓回修正；環球晶 (6488) 及合晶 (6182) 受惠矽晶圓價格上漲，帶動股價逆勢走揚；光通訊族群在產業前景暢旺下扮演抗跌指標，光聖 (6442) 、華星光 (4979) 聯袂勁揚。
2017-04-06T02:21:00.000Z,  台股盤面今以具題材的中小型個股相對亮眼，元太 (8069) 由黑翻紅，漲幅逾1.5%，也帶動與其有策略聯盟的振曜 (6143) 同步大漲逾5%，另外，網通族群中的光通訊概念股也在產業前景暢旺下，扮演抗跌指標之一，光聖 (6442) 大漲5.5%，華星光 (4979) 漲幅也逾4.5%，波若威 (3163) 則走揚約2%。
2017-04-11T01:39:00.000Z,  12.光聖 (6442) ：旺季到，Q2營運樂觀，營收季增幅度上看2成，早盤價量齊揚漲約4%，改寫近半年高點。
2017-04-18T07:06:00.000Z,　盤面上，電子權值股台積電 (2330) 、鴻海 (2317) 、聯發科 (2454) 等表現持穩；光學族群先進光 (3362) 亮燈漲停再創上櫃新天價，激勵聯一光 (3441) 、光燿科 (3428) 同步攻頂，新鉅科 (3630) 、亞光 (3019) 亦同步走高；非蘋旗艦機齊發，手機零組件廠進入拉貨旺季，華冠 (8101) 強鎖漲停，美律 (2439) 、毅嘉 (2402) 聯手強彈；陸光纖需求今年看增，帶動光通訊族群波若威 (3163) 強攻漲停，光聖 (6442) 、統新 (6426) 、眾達-KY (4977) 攜手勁揚。
2017-04-26T06:58:00.000Z,　電子股表現勇猛，成今日領漲先鋒，股王大立光 (3008) 登上5000元改寫台股歷史新頁，帶動光學股先進光 (3362) 、聯一光 (3441) 雙雙攻頂，玉晶光 (3406) 、新鉅科 (3630) 、今國光 (6209) 、亞光 (3018) 同步衝高；蘋概股表現亦亮眼，美律 (2439) 強鎖漲停，鴻海 (2317) 、TPK-KY (3673) 、GIS-KY (6456) 、台郡 (6269) 、致伸 (4915) 、嘉聯益 (6153) 、可成 (2474) 等齊步走揚；光通訊族群在基本面加持下持續喊燒，統新 (6426) 飆上漲停，聯亞 (3081) 、光聖 (6442) 、華星光 (4979) 聯袂勁彈；電子權值股台積電 (2330) 、聯發科 (2454) 、友達 (2409) 、群創 (3481) 、廣達 (2382) 表現偏弱壓低整理。
2017-04-26T06:08:00.000Z,  在題材股方面，由於德國漢諾威工業展登場，工業4.0概念股也引發市場關注，上銀 (2409) 、台達電 (2308) 在參展議題下，股價連袂喊漲；光通訊族群也在基本面叫好下，統新 (6426) 漲停，聯亞 (3081) 漲幅也一度達4.5%，光聖 (6442) 大漲3%，華星光 (4979) 也反彈勁揚近1.5%。
2017-04-26T06:58:00.000Z,　電子股表現勇猛，成今日領漲先鋒，股王大立光 (3008) 登上5000元改寫台股歷史新頁，帶動光學股先進光 (3362) 、聯一光 (3441) 雙雙攻頂，玉晶光 (3406) 、新鉅科 (3630) 、今國光 (6209) 、亞光 (3018) 同步衝高；蘋概股表現亦亮眼，美律 (2439) 強鎖漲停，鴻海 (2317) 、TPK-KY (3673) 、GIS-KY (6456) 、台郡 (6269) 、致伸 (4915) 、嘉聯益 (6153) 、可成 (2474) 等齊步走揚；光通訊族群在基本面加持下持續喊燒，統新 (6426) 飆上漲停，聯亞 (3081) 、光聖 (6442) 、華星光 (4979) 聯袂勁彈；電子權值股台積電 (2330) 、聯發科 (2454) 、友達 (2409) 、群創 (3481) 、廣達 (2382) 表現偏弱壓低整理。
2017-04-26T06:08:00.000Z,  在題材股方面，由於德國漢諾威工業展登場，工業4.0概念股也引發市場關注，上銀 (2409) 、台達電 (2308) 在參展議題下，股價連袂喊漲；光通訊族群也在基本面叫好下，統新 (6426) 漲停，聯亞 (3081) 漲幅也一度達4.5%，光聖 (6442) 大漲3%，華星光 (4979) 也反彈勁揚近1.5%。
2017-05-16T06:54:00.000Z,　盤面上，蘋概股三巨頭台積電 (2330) 遭歐系外資降評至中立、目標價下修至202元，致股價走疲，大立光 (3008) 、鴻海 (2317) 同步弱勢；陸電信業升速戰開打，光纖股波若威 (3163) 、台通 (8011) 、光環 (3234) 、光聖 (6442) 、眾達-KY (4977) 逆勢喊衝。
2017-08-09T01:51:00.000Z,  16.光聖 (6442) ：大客戶華為今年拉貨量大減，光聖營運受累，惟Q4有望走出谷底，連兩日吸引買盤搶進，早盤反彈4%，觸及季線。
2017-09-01T02:52:00.000Z,  盤中多頭指標持續聚焦中小型類股，個股挾自身消息面利多題材發揮，智邦 (2345) 獲買盤簇擁，8月起持續會外資加碼下，股價衝上逾10年新高，爆量大漲8%；宣德 (5457) )傳出打進美國電動車大廠特斯拉(Tesla)供應鏈，帶動股價大漲逾4%；光聖 (6442) 也在與PCT之追討貨款案獲賠663萬美元下大漲近5%，成功站上季線位置；低價面板股彩晶 (6116) 也帶量上漲近1.5%。
2017-09-01T02:52:00.000Z,  盤中多頭指標持續聚焦中小型類股，個股挾自身消息面利多題材發揮，智邦 (2345) 獲買盤簇擁，8月起持續會外資加碼下，股價衝上逾10年新高，爆量大漲8%；宣德 (5457) )傳出打進美國電動車大廠特斯拉(Tesla)供應鏈，帶動股價大漲逾4%；光聖 (6442) 也在與PCT之追討貨款案獲賠663萬美元下大漲近5%，成功站上季線位置；低價面板股彩晶 (6116) 也帶量上漲近1.5%。
2018-11-23T07:16:00.000Z,5G題材持續熱燒，市場看好成為明年主流題材標的，其網通概念股的亞太電 (3682) 開盤再衝漲停，雖隨後遭打開，但股價仍高掛收漲逾6.5%，訊舟 (3047) 、建漢 (3062) 、台通 (8011) 、合勤控 (3704) 、光聖 (6442) 也同樣逆勢走揚收紅，通信網路族群指數收漲0.38%，成今台股主力軍。
2018-11-23T06:07:00.000Z,網通近期在5G題材助攻下，股價相對大盤領先，建漢 (3062) 收漲近2.5%，訊舟 (3074) 、合勤控(3407)、台通 (8011) 、光聖 (6442) 等收紅。
2019-10-31T09:15:08.000Z,"
23.光聖 (6442) ：每股成交價43.15元，成交量50萬股，成交金額2157萬5000元。"
2019-10-31T09:15:08.000Z,"
23.光聖 (6442) ：每股成交價43.15元，成交量50萬股，成交金額2157萬5000元。"
2019-12-06T09:16:07.000Z,"
17.光聖 (6442) ：每股成交價37.2元，成交量202萬3000股，成交金額7525萬5600元。"
2019-12-18T09:14:17.000Z,"
30.光聖 (6442) ：每股成交價37.2元，成交量57萬7000股，成交金額2146萬4400元。"
2020-01-06T09:17:15.000Z,"
19.光聖 (6442) ：每股成交價37.2元，成交量50萬股，成交金額1860萬元。"
2020-03-06T02:41:00.000Z,  而據統計，元月以來宣布執行庫藏股的台股上市櫃公包括：陽程 (3498) 、中天 (4128) 、光聖 (6442) 、精星 (8183) 、三陽工業 (2206) 、安國 (8054) 、華晶科 (3059) 、廣積 (8050) 、信音 (6126) 、伍豐 (8076) 、大江 (8436) 、麗嬰房 (2911) 、台翰 (1336) 、曜越 (3540) 、志信 (2611) 、岱宇 (1598) 、凱羿-KY (2939) 、湯石照明 (4972) 、彩富 (5489) 、藍天 (2362) 、聯傑 (3094) 、立德 (3058) 。
