PublishDate,Sentence
2017-02-06T03:02:00.000Z,  SM受惠農曆年後的補庫存需求浮現，報價持續走高，接下來因大陸華東庫存偏低、加上亞洲大廠即將歲修下，可望支撐報價維持高檔走勢，激勵相關概念股台苯 (1310) 、國喬 (1312) 今日股價表現亮眼，盤中皆有大單買盤敲進，挾量大漲逾4%，雙雙創下波段新高。
2017-08-09T01:51:00.000Z,  23.華東 (8110) ：7月營收月增6.37%、年增12.47%，前7月營收年增14.27%，外資近日持續買超，早盤量增價漲逾3%。
2017-09-19T01:43:00.000Z,  2.華東 (8110) ：業績題材吸引外資近兩日累計買超2700餘張，今早人氣不墜，帶動股價續漲逾2.5%。
2017-10-13T01:46:00.000Z,  15.華東 (8110) ：近5日獲外資買超1779張，早盤突破5日線盤整區、攻克月線，漲幅約2.5%。
2017-10-31T07:10:00.000Z,　受惠iPhone X預購需求強勁，蘋果股價再創波段新高，蘋概股三劍客台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 開高後雖往平盤附近靠攏，仍帶動可成 (2474) 、鎧勝-KY (5264) 與玉晶光 (3406) 強勁反彈，權值股聯發科 (2454) 有望取代高通躋身蘋果概念股，激勵股價強勢衝高；旺宏 (2337) 、原相 (3227) 受惠任天堂Switch銷售表現超預期，今日雙雙唱高調；華東 (8110) 受惠美光、華邦釋出大單，動能至少延續到明年中，股價帶量急漲逾3%；勝品電通 (6556) 上櫃首日飆漲5成，蜜月行情亮眼。
2017-10-31T02:46:00.000Z,盤初受困華映 (2475) 、群創 (3481) 等面板族群疲弱不振，牽制大盤於10765點上下狹幅震盪，隨後盤中旺宏 (2337) 、華東 (8110) 、達運 (6120) 、瀚宇博 (5469) 、力山 (1515) 等中小型股積極強攻，大盤漲點稍有放大，企圖再戰10800點關卡。
2017-10-31T02:46:00.000Z,受惠美光、華邦釋出大單，傳華東Q3獲利躍進，動能至少延續到明年中，加上外資近期持續買超，今盤中帶量急漲逾3%，攀上16元。
2017-11-03T06:03:00.000Z,  本周下半周，台股隨著台積電並未再創新高，但不少人氣中型電子股表現強勁；DRAM相關的華東 (8110) 、PCB燿華 (2367) 即如此，今日漲勢再延續。
2017-10-31T07:10:00.000Z,　受惠iPhone X預購需求強勁，蘋果股價再創波段新高，蘋概股三劍客台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 開高後雖往平盤附近靠攏，仍帶動可成 (2474) 、鎧勝-KY (5264) 與玉晶光 (3406) 強勁反彈，權值股聯發科 (2454) 有望取代高通躋身蘋果概念股，激勵股價強勢衝高；旺宏 (2337) 、原相 (3227) 受惠任天堂Switch銷售表現超預期，今日雙雙唱高調；華東 (8110) 受惠美光、華邦釋出大單，動能至少延續到明年中，股價帶量急漲逾3%；勝品電通 (6556) 上櫃首日飆漲5成，蜜月行情亮眼。
2017-10-31T02:46:00.000Z,盤初受困華映 (2475) 、群創 (3481) 等面板族群疲弱不振，牽制大盤於10765點上下狹幅震盪，隨後盤中旺宏 (2337) 、華東 (8110) 、達運 (6120) 、瀚宇博 (5469) 、力山 (1515) 等中小型股積極強攻，大盤漲點稍有放大，企圖再戰10800點關卡。
2017-10-31T02:46:00.000Z,受惠美光、華邦釋出大單，傳華東Q3獲利躍進，動能至少延續到明年中，加上外資近期持續買超，今盤中帶量急漲逾3%，攀上16元。
2017-11-03T06:03:00.000Z,  本周下半周，台股隨著台積電並未再創新高，但不少人氣中型電子股表現強勁；DRAM相關的華東 (8110) 、PCB燿華 (2367) 即如此，今日漲勢再延續。
2018-02-22T02:19:00.000Z,1.華東 (8110) ：去年稅前EPS 1.71元，本益比不到10倍，今早不理外資昨賣超544張，股價仍逆漲逾6%，挑戰月線。
2019-03-22T02:12:00.000Z, 5.華東 (8110) ：接連突破5日線、10日線，吸引追價買盤湧入，今量增再取月線，盤初衝上11.85元。
2019-07-11T02:03:00.000Z, 2.華東 (8110) ：昨獲外資轉買超312張，早盤人氣升溫，股價續彈近3%。
2019-11-18T02:08:27.000Z,"
4.華東 (8110) ：Q3獲利登1年高點，拚全年維持獲利，激勵早盤股價一度漲逾4%。"
2019-11-18T02:08:00.000Z, 4.華東 (8110) ：Q3獲利登1年高點，拚全年維持獲利，激勵早盤股價一度漲逾4%。
2019-11-22T06:25:52.000Z,"
除生醫族群的落後補漲今強勢表態外，IC設計股聯詠 (3034) 因2020年前景看好，今股價衝上13年新高，終場更是收在漲停價237.5元，記憶體封測廠華東 (8110) 在庫藏股護體下，收漲約2%；國碩 (2406) 今日開始恢復信用交易，盤中一度亮燈漲停，終場收漲5.8%；台表科 (6278) 在投信認養題材下，股價一度衝上113元。"
2019-11-22T06:25:00.000Z, 除生醫族群的落後補漲今強勢表態外，IC設計股聯詠 (3034) 因2020年前景看好，今股價衝上13年新高，終場更是收在漲停價237.5元，記憶體封測廠華東 (8110) 在庫藏股護體下，收漲約2%；國碩 (2406) 今日開始恢復信用交易，盤中一度亮燈漲停，終場收漲5.8%；台表科 (6278) 在投信認養題材下，股價一度衝上113元。
