PublishDate,Sentence
2017-02-22T06:36:00.000Z,  隨著股利政策陸續公布，高股息殖利率個股也受到市場青睞，像是世界先進 (5347) 、宇瞻 (8271) 今早股價均跳空開高。
2017-02-22T02:27:00.000Z,  隨著股利政策陸續公布，高股息殖利率個股也受到市場青睞，像是世界先進 (5347) 、宇瞻 (8271) 今早股價均跳空開高。
2017-05-17T06:06:00.000Z,  台股中場後由台新金 (2887) 挾利多上攻，金融指數翻紅；加上DRAM模組的威剛 (3260) 、宇瞻 (8271) 等聯袂收高，台股收長下影線，收盤僅小跌17點為10013點，本周連三天收盤在萬點以上。
2017-06-02T00:59:00.000Z,日期：2017年 6月 2日※本日焦點股新日興、奇力新、倉佑、環宇-KY、環球晶、偉訓、英利-KY、牧德、南亞科、同亨、聖暉、西勝、亞泰、宇瞻、瀧澤科、泰銘※昨日盤勢解析市調機構 YouGov 報告顯示，英國執政的保守黨可能無法在國會單獨過半，增加政治不確定性；受義大利可能提前大選影響，週三銀行類股領跌，西歐三大指數小幅漲跌。
2017-06-02T00:59:00.000Z,日期：2017年 6月 2日※本日焦點股新日興、奇力新、倉佑、環宇-KY、環球晶、偉訓、英利-KY、牧德、南亞科、同亨、聖暉、西勝、亞泰、宇瞻、瀧澤科、泰銘※昨日盤勢解析市調機構 YouGov 報告顯示，英國執政的保守黨可能無法在國會單獨過半，增加政治不確定性；受義大利可能提前大選影響，週三銀行類股領跌，西歐三大指數小幅漲跌。
2017-08-09T01:51:00.000Z,  19.宇瞻 (8271) ：7月營收月增5.68%、年增51.77%，前7月營收年增47.31%，推升早盤股價逆漲約1.6%。
2018-03-08T07:15:00.000Z,　台股今日由晶圓雙雄聯電 (2303) 、台積電 (2330) 及面板雙虎友達 (2409) 、群創 (3481) 領軍電子股強彈，權值股大立光 (3008) 、鴻海 (2317) 、聯發科 (2454) 亦同步走揚；記憶體模組廠商宇瞻 (8271) 看好今年記憶體市場仍供不應求，帶動南亞科 (2408) 、華邦電 (2344) 、旺宏 (2337) 聯袂走高；砷化鎵三雄在全新 (2455) 衝高領軍帶動下，穩懋 (3105) 、宏捷科 (8086) 跟進大漲；近期火紅的挖礦族群漲多壓回，撼訊 (6150) 、映泰 (2399) 、麗臺 (2465) 、承啟 (2425) 打落跌停。
2018-03-20T02:05:00.000Z,1.宇瞻 (8271) ：看好伺服器DRAM市場強勁需求，宣布伺服器與工業用DDR4-2666模組量產出貨，支撐早盤股價逆漲近1.5%。
2018-05-31T07:11:00.000Z,　台股今日由電金傳龍頭股領軍，包括台積電 (2330) 、南亞科 (2408) 、國泰金 (2882) 、富邦金 (2881) 、台塑化 (6505) 、統一 (1216) 全面勁揚；被動元件、矽晶圓、MOSFET缺貨漲價題材股上沖下洗，國巨 (2327) 翻黑重挫8%失守千元大關，環球晶 (6488) 、嘉晶 (3016) 、杰力 (5299) 、禾伸堂 (3026) 等震盪收低；記憶體模組廠威剛 (3260) 董座陳立白看好DRAM市場到2020年都是健康狀況，帶動南亞科 (2408) 、宇瞻 (8271) 、華邦電 (2344) 攜手勁揚。
2018-05-31T07:11:00.000Z,　台股今日由電金傳龍頭股領軍，包括台積電 (2330) 、南亞科 (2408) 、國泰金 (2882) 、富邦金 (2881) 、台塑化 (6505) 、統一 (1216) 全面勁揚；被動元件、矽晶圓、MOSFET缺貨漲價題材股上沖下洗，國巨 (2327) 翻黑重挫8%失守千元大關，環球晶 (6488) 、嘉晶 (3016) 、杰力 (5299) 、禾伸堂 (3026) 等震盪收低；記憶體模組廠威剛 (3260) 董座陳立白看好DRAM市場到2020年都是健康狀況，帶動南亞科 (2408) 、宇瞻 (8271) 、華邦電 (2344) 攜手勁揚。
2019-02-22T07:09:00.000Z,記憶體族群表現強悍，旺宏 (2337) 融資水位急增，股價直攻漲停，激勵宇瞻 (8271) 、華邦電 (2344) 、南亞科 (2408) 、威剛 (3260) 聯袂走揚。
2019-02-22T06:23:00.000Z, 八大類股跌多漲少，汽車類股漲幅最大、類股漲幅逾2.3%，熱門族群方面，記憶體族群今也強勢吸金，旺宏 (2337) 盤中強攻漲停，宇瞻 (8271) 、華邦電 (2344) 、南亞科 (2408) 也同步走揚，個股方面，鈺創 (5351) 挾3D感測題材正夯，今日股價連續拉出第二根漲停。
2019-02-22T02:27:00.000Z, 盤面亦有多檔低位階題材表現吸睛，鈺創 (5351) 受惠於3D感測器題材夯，今股價連續拉出第二根漲停，旺宏 (2337) 融資水位急增，股價也直逼漲停，挑戰去年12月高點位置，宇瞻 (8271) 董事會決議，擬每股配息2.5元，股息殖利率約7.5%，今股價順勢大漲4.5%，華邦電 (2344) 本周獲外資持續買超計6200餘張，股價大漲逾3.5%。
2019-07-18T07:09:00.000Z,而日韓貿易戰紛擾，促使短期DRAM現貨價上揚，漲幅逾一成，記憶體股旺宏 (2337) 7月25日法人說明會登場，近期續獲得法人抬愛，今一開盤成交量即破萬張，終場收盤漲1.93%至29元，但因合約價下跌壓力未除，南亞科 (2408) 、華邦電 (2344) 、創見 (2451) 、宇瞻 (8271) 等族群股價開高後翻黑走低。
2019-08-22T02:17:00.000Z, 2.宇瞻 (8271) ：打入航太供應鏈，錢景看俏，昨外資反手買超，帶動早盤股價彈上33.8元。
2019-11-04T07:15:00.000Z,美經濟數據報喜、美中貿易氣氛轉佳，激勵美股上周五飆高，台股集中市場今日跟上多頭腳步，由蘋概三雄領軍開高，隨後台積電 (2330) 再攀308元新天價、鴻海 (2317) 近逼90元關卡，權值軍團士氣大振，包括可成 (2474) 、聯發科 (2454) 、大立光 (3008) 、聯詠 (3034) 、華通 (2313) 、全新 (2455) 、上銀 (2049) 、面板雙虎皆連袂揚升，加上宇瞻 (8271) 、建準 (2421) 、國產 (2504) 等部分中小型股強勢助攻，集中市場指數接連突破11400、11500兩道關卡，終場收11556.85點，飆漲157.32點，總成交值同步放大至1566.05億元。
2019-11-04T05:59:47.000Z,"
台積電 (2330) 釋出未來營運展望樂觀看法，不僅攻克300元關卡，股價漲幅高達3%，搭配鴻海 (2317) 及大立光 (3008) 同步走高，讓今天台股指數勢如破竹，指數跳空開高後一路走高，台積等權值股掌帥旗強攻，績優中小型股也跟進走高，新鼎 (5209) 、台生材 (6649) 、矽瑪 (3511) 、順藥 (6535) 、宇瞻 (8271) 、迅德 (6292) 、益安 (6499) 、地心引力 (3629) 、建準 (2421) 、新至陞 (3679) 、國產 (2504) 及訊連 (5203) 強攻漲停板作收，在台積領軍下，台股指數大漲157點，連過11400點及11500點兩關卡，再創29年半以來新高，終場加權股價指數為11556.85點，上漲157.32點，成交量1566.05億元；OTC指數為145.99點，上漲0.87點，成交量354.87億元。"
