PublishDate,Sentence
2017-03-16T09:20:00.000Z,  11.美食-KY (2723) ：每股成交價309元，成交量10萬股，成交金額3090萬元。
2017-06-21T07:04:00.000Z,  台股雙箭頭台積電 (2330) 及鴻海 (2317) 今日同步熄火，由面板雙虎友達 (2409) 、群創 (3481) 接棒扮演多頭主帥，大立光 (3008) 及玉晶光 (3406) 、新鉅科 (3630) 等鏡頭廠亦相對穩健；MLCC供不應求難解，國巨 (2327) 宣布第二波漲價帶動股價漲停，華新科 (2492) 及日電貿 (3090) 跟進走高。
2017-11-16T07:02:00.000Z,　盤面上，權值股鴻海 (2317) 與台積電 (2330) 雙雙回穩撐住盤勢，韓國昨日發生罕見地震所幸影響不大，面板股友達 (2409) 、群創 (3481) 、彩晶 (6116) 量價齊揚，今日舉行法說的元太 (8069) 在財報加持下爆量大漲登6年新高；DRAM市場亦不受地震影響供貨吃緊不變，惟南亞科 (2408) 、華邦電 (2344) 雙雙收跌；被動元件大廠國巨 (2327) 發出今年第4度漲價通知，激勵股價強登278元天價，帶動華新科 (2492) 、禾伸堂 (3026) 、日電貿 (3090) 聯袂大漲。
2017-11-16T06:00:00.000Z,  被動元件龍頭國巨 (2327) 及旗下通路商國巨興業科技聯手發出漲價通知，預計自12月1日起啟動第四波漲價行動，漲幅上看30%，這已經是國巨今年以來的四度調漲，在基本面力挺之下，國巨今再創278元天價紀錄，市值直逼千億大關，禾伸堂 (3026) 同步漲停，也帶動被度元件族群個股華新科 (2492) 、日電貿 (3090) 等同步大漲，漲幅最高達8%。
2018-01-02T02:18:00.000Z,日電貿 (3090) ：配息上看3元，隱含現金殖利率高達8.5%，股價漲逾4.5%。
2018-01-02T02:18:00.000Z,日電貿 (3090) ：配息上看3元，隱含現金殖利率高達8.5%，股價漲逾4.5%。
2018-03-07T07:22:00.000Z,　電子權值股表現方面，昨日強勢領漲的台積電 (2330) 今日拉回整理，聯發科 (2454) 、日月光 (2311) 、鴻海 (2317) 相對有撐，股王大立光 (3008) 則擺尾收紅，暫解持續探低的窘境；近來表現強悍的挖礦概念股青雲 (5386) 、映泰 (2399) 齊飆漲停續登高，群電 (6412) 、立隆 (2472) 躋身比特大陸廠供應商激勵股價雙雙勁揚；被動元件族群禾伸堂 (3026) 、日電貿 (3090) 、國巨 (2327) 續強上攻。
2018-03-07T06:03:00.000Z,  今日台股早盤仍硬挺，昨天大漲的台積電 (2330) 早盤仍有撐，隨著低檔買盤積極，日月光、鴻海等電子權值股，以及近來最強勢的挖礦股撼訊 (6150) 、青雲 (5386) 續攻，被動元件日電貿 (3090) 強勢上揚，加上大型金控的富邦金 (2881) 撐住金融股，以及台塑 (1301) 四寶走穩，台股早盤回升至10800點之上，守住月季線關卡。
2018-03-08T02:14:00.000Z,  8.日電貿 (3090) ：具低價庫存優勢，股價漲2.42%。
2018-04-16T07:08:00.000Z,　盤面上，股王大立光 (3008) 法說後呈現利空出盡走勢，激勵光學元件族群玉晶光 (3406) 強攻漲停，佳凌 (4976) 及亞光 (3019) 等同步放閃；被動元件受到村田傳將停產上演噴出行情，國巨 (2327) 、華新科 (2492) 、日電貿 (3090) 、信昌電 (6173) 同步漲停，帶動禾伸堂 (3026) 、奇力新 (2456) 等跟進大漲；日月光投控30日上市，日月光 (2311) 獲市場看好與矽品 (2325) 整併效益今日帶量強彈；光碟族群中環 (2323) 、錸德 (2349) 與矽晶圓族群環球晶 (6488) 在漲價題材發酵下股價續強；虛擬貨幣概念股撼訊 (6150) 再摔跌停持續探低最為弱勢。
2018-04-16T06:28:00.000Z,　儘管大立光 (3008) 上周法說會後外資對大立光看法保守，但大立光股價未受任何影響，連續數日走高，並在今天站上3500元，激勵光學元件個股，玉晶光 (3406) 強攻漲停作收，站上400元關卡，佳凌 (4976) 及亞光 (3019) 等同步收高；可望供不應求到2019年，甚至2020年的矽晶圓及被動元件持續是盤面資金簇擁的焦點，村田傳將停產，MLCC個股上演噴出行情，國巨 (2327) 、華新科 (2492) 、日電貿 (3090) 及信昌電 (6173) 連袂亮燈漲停作收，國巨站上600元關卡，與日電貿及信昌電同創掛牌新高價，在光學及被動元件大漲帶動下，台股指數無畏台積電 (2330) 收低，以及傳產類股多走弱拖累，在尾盤奮力守住10950點，終場加權股價指數為10954.55點，下跌10.84點，成交量為1242.88億元；OTC指數為156點，上漲0.72點，成交量為430.27億元。
2018-04-16T03:56:00.000Z,上週五美股受中東情勢影響收低，陸股及港股今天開盤後亦表現不佳，讓以低盤開出的台股今天走勢亦疲弱，雖然台股早盤一度因股王—大立光 (3008) 無畏法說會釋出展望平平，股價卻逆勢上漲至3500元之上，以及國巨 (2327) 等被動元件廠挾MLCC及晶片電阻供不應求，國巨股價站上600元關卡，再創上市新高價，華新科 (2492) 、日電貿 (3090) 漲停，禾伸堂 (3026) 、信昌電 (6173) 、奇力新 (2456) 盤中股價上演噴出行情帶動，指數一度開低走高，站上10950點。
