PublishDate,Sentence
2017-02-13T07:44:00.000Z,3. 傳產股: 週一以電器電纜、汽車與汽車零組件、玻陶、生技、塑膠等類股較為強勢；電器電纜看 1605 華新、1616 億泰、1612 宏泰、1603 華電的表現；汽車與汽車零組件由 4912 聯德控股 - KY、3346 麗清、2228 劍麟、3092 鴻碩、3665 貿聯 - KY、6605 帝寶、4529 昶洧、5288 豐祥 - KY、2204 中華領漲；玻陶看 1809 中釉、1802 台玻的表現；生技由 3164 景岳、4142 國光生、1729 必翔、1789 神隆領漲；塑膠看 1325 恆大、1310 台苯、1312 國喬、1314 中石化的表現。
2017-02-13T06:51:00.000Z,GIS-KY (6456) 、科懋 (6496) 、聯德控股-KY (4912) 及宏捷科 (8086) 等強攻漲停板，生技股受惠台、美簡化新藥審查，景岳 (3164) 大彈8%，必翔 (1729) 衝高，浩鼎 (4174) 、中裕 (4147) 轉強；鴻海 (2317) 甚至觸及90元，恢復昔日風采。
2018-10-15T10:11:00.000Z,中資天風證券知名蘋果分析師郭明錤的最新研究報告指出，iPhone XR換機需求將優於預期，10月開始改善供應，上修今年第4季iPhone XR出貨約10%至3600萬台到3800萬台，明年第1季iPhone供應鏈可望淡季不淡，受惠台廠包括台積電、大立光 (3008) 、美律 (2439) 、可成 (2474) 、聯德控股-KY (4912) 、欣興 (3037) 、頎邦 (6147) 。
2018-10-15T07:14:00.000Z,蘋概股今也是喜悲不同調，可成 (2474) 、欣興 (3037) 走衰，聯德控股-KY (4912) 翻紅樂漲、觸控雙雄TPK-KY宸鴻 (3673) 、GIS-KY業成 (6456) 因營運走揚，股價也獲漲升。
2018-10-16T07:11:00.000Z,蘋果概念股的可成 (2474) 、美律 (2439) 、聯德控股-KY (4912) 、和碩 (4938) 、臻鼎-KY (4958) 、台達電 (2308) 、鴻準 (2354) 交投活絡，股價齊上揚。
2018-10-22T07:04:00.000Z,　股王大立光開低走低，然盤中化解前波3205元破底危機後，隨後獲買盤墊高，翻紅突破10日線，且蘋果新機陸續登場，概念股同歡，包括衝上漲停的康控-KY (4943) 、GIS-KY (6456) 、聯德控股-KY (4912) 、瑞儀 (6176) 、新日興 (3376) 、嘉聯益 (6153) 、臻鼎-KY (4958) 、奇力新 (2456) 、全新 (2455) 股價皆表現亮眼。
2018-10-23T02:53:00.000Z, 先前郭明錤就已經上調iPhone XR本季出貨量約10%，且看好明年首季供應鏈業績淡季不淡，受惠台廠包括台積電 (2330) 、大立光 (3008) 、美律 (2439) 、可成 (2474) 、聯德 (3308) 、欣興 (3037) 、頎邦 (6147) 等都將受惠。
2018-10-25T02:05:00.000Z, 19.聯德控股-KY (4912) ：吃蘋果，第4季業績可望進入全年高峰，法人預期有機會季增15％，惟股價隨大盤跌約2%。
2018-11-08T07:11:00.000Z,而遭到蘋果砍單疑雲陰霾，台系蘋概股遇逆風襲擊，大立光盤中跌跤，可成 (2474) 、鴻海 (2317) 、康控-KY (4943) 、TPK-KY (3673) 、台郡 (6269) 、嘉聯益 (6153) 、GIS-KY (6456) 、美律 (2439) 、聯德控股-KY (4912) 、玉晶光 (3406) 皆無力甩開頹勢，股價翻黑一片黯淡。
2018-11-20T07:12:00.000Z,幸好股王大立光盤中回神翻紅，但未能帶領多數蘋概股如TPK-KY (3673) 、和碩 (4938) 、玉晶光 (3406) 、康控-KY (4943) 、嘉聯益 (6153) 、可成 (2474) 、美律 (2439) 、聯德控股-KY (4912) 、台郡 (6269) 翻揚，蘋概多股仍陷入苦戰。
2018-12-03T06:59:00.000Z,股王大立光 (3008) 亮燈漲停扮演蘋概股領頭羊，帶領電子股一吐悶氣，亞光 (3019) 、佳凌 (4976) 、華晶科 (3059) 、今國光 (6209) 、玉晶光 (3406) 、揚明光 (3504) 齊步回神走高，蘋概股的可成 (2474) 、嘉聯益 (6153) 、美律 (2439) 、GIS-KY (6456) 、TPK-KY (3673) 、聯德-KY (4912) 、和碩 (4938) 等也集體歡慶，今年以來較弱勢的鴻海 (2317) 亦收漲2.92%。
2018-12-03T02:10:00.000Z, 2.威剛 (3260) ：處分聯德控股股票獲利約1232萬元，帶動早盤股價漲逾4%。
