PublishDate,Sentence
2017-02-24T06:19:00.000Z,  除聯電外，包括美律 (2439) 、智易 (3596) 等也為今日盤面轉強個股，美律 (2439) 去年獲利大爆衝，擬配息9.5元，公司也持續透過和中國大陸的立訊合作，搶攻免持聽筒商機，今股價不僅跳上140元，最高還一度達147.5元，智易 (3596) 也在去年獲利翻倍，加上組織改造，盤中一度勁揚約2%，惟收盤漲幅收斂到0.47%；另外，中小型股的軟板族群也為今日的強勢指標，包括亞電 (4939) 攻上漲停，毅嘉 (2402) 、嘉聯益 (6153) 漲幅也達3%左右。
2017-02-24T06:19:00.000Z,  除聯電外，包括美律 (2439) 、智易 (3596) 等也為今日盤面轉強個股，美律 (2439) 去年獲利大爆衝，擬配息9.5元，公司也持續透過和中國大陸的立訊合作，搶攻免持聽筒商機，今股價不僅跳上140元，最高還一度達147.5元，智易 (3596) 也在去年獲利翻倍，加上組織改造，盤中一度勁揚約2%，惟收盤漲幅收斂到0.47%；另外，中小型股的軟板族群也為今日的強勢指標，包括亞電 (4939) 攻上漲停，毅嘉 (2402) 、嘉聯益 (6153) 漲幅也達3%左右。
2017-03-30T06:32:00.000Z,另外 GIS-KY、TPK-KY、晶技、精元、達方、順德、嘉聯益也漲逾 1%。
2017-03-30T06:32:00.000Z,另外 GIS-KY、TPK-KY、晶技、精元、達方、順德、嘉聯益也漲逾 1%。
2017-04-26T06:58:00.000Z,　電子股表現勇猛，成今日領漲先鋒，股王大立光 (3008) 登上5000元改寫台股歷史新頁，帶動光學股先進光 (3362) 、聯一光 (3441) 雙雙攻頂，玉晶光 (3406) 、新鉅科 (3630) 、今國光 (6209) 、亞光 (3018) 同步衝高；蘋概股表現亦亮眼，美律 (2439) 強鎖漲停，鴻海 (2317) 、TPK-KY (3673) 、GIS-KY (6456) 、台郡 (6269) 、致伸 (4915) 、嘉聯益 (6153) 、可成 (2474) 等齊步走揚；光通訊族群在基本面加持下持續喊燒，統新 (6426) 飆上漲停，聯亞 (3081) 、光聖 (6442) 、華星光 (4979) 聯袂勁彈；電子權值股台積電 (2330) 、聯發科 (2454) 、友達 (2409) 、群創 (3481) 、廣達 (2382) 表現偏弱壓低整理。
2017-04-26T06:08:00.000Z,  股王登高一呼，但其餘權值股卻略顯有壓，台積電 (2330) 、友達 (2409) 、群創 (3481) 壓回修正，鴻海 (2317) 則在蘋果iPhone8議題下，蓄勢挑戰百元大關，盤中最高來到98.7元，同屬蘋果族群的美律 (2439) 更是在第一季獲利爆衝7倍下，整場緊鎖漲停，一價到底，其餘蘋概股TPK (3673) 、GIS-KY (6456) 、台郡 (6269) 、致伸 (4915) 、嘉聯益 (6153) 、可成 (2474) 等股價也連動走揚。
2017-04-26T03:02:00.000Z,  蘋概股今也為盤面指標，在蘋果iPhone8話題不斷下，傳將採AMOLED面板，帶動TPK (3673) 一度大漲3.5%，GIS-KY (6456) 漲幅也近4%，其餘蘋概股台郡 (6269) 、致伸 (4915) 、嘉聯益 (6153) 、可成 (2474) 等也同步走揚。
2017-04-26T06:58:00.000Z,　電子股表現勇猛，成今日領漲先鋒，股王大立光 (3008) 登上5000元改寫台股歷史新頁，帶動光學股先進光 (3362) 、聯一光 (3441) 雙雙攻頂，玉晶光 (3406) 、新鉅科 (3630) 、今國光 (6209) 、亞光 (3018) 同步衝高；蘋概股表現亦亮眼，美律 (2439) 強鎖漲停，鴻海 (2317) 、TPK-KY (3673) 、GIS-KY (6456) 、台郡 (6269) 、致伸 (4915) 、嘉聯益 (6153) 、可成 (2474) 等齊步走揚；光通訊族群在基本面加持下持續喊燒，統新 (6426) 飆上漲停，聯亞 (3081) 、光聖 (6442) 、華星光 (4979) 聯袂勁彈；電子權值股台積電 (2330) 、聯發科 (2454) 、友達 (2409) 、群創 (3481) 、廣達 (2382) 表現偏弱壓低整理。
2017-04-26T06:08:00.000Z,  股王登高一呼，但其餘權值股卻略顯有壓，台積電 (2330) 、友達 (2409) 、群創 (3481) 壓回修正，鴻海 (2317) 則在蘋果iPhone8議題下，蓄勢挑戰百元大關，盤中最高來到98.7元，同屬蘋果族群的美律 (2439) 更是在第一季獲利爆衝7倍下，整場緊鎖漲停，一價到底，其餘蘋概股TPK (3673) 、GIS-KY (6456) 、台郡 (6269) 、致伸 (4915) 、嘉聯益 (6153) 、可成 (2474) 等股價也連動走揚。
2017-04-26T03:02:00.000Z,  蘋概股今也為盤面指標，在蘋果iPhone8話題不斷下，傳將採AMOLED面板，帶動TPK (3673) 一度大漲3.5%，GIS-KY (6456) 漲幅也近4%，其餘蘋概股台郡 (6269) 、致伸 (4915) 、嘉聯益 (6153) 、可成 (2474) 等也同步走揚。
2017-09-01T07:04:00.000Z,　盤面上，蘋果股價再創新高，9月12日將舉行新品發表，概念股大立光 (3008) 、台積電 (2330) 、鴻海 (2317) 表現平穩，資金轉向中小型股，嘉聯益 (6153) 、致伸 (4915) 同步走高；光學股攻勢再起，玉晶光 (3406) 再度上演軋空行情，今日強攻漲停再創上市新高價，激勵佳凌 (4976) 、華晶科 (3059) 、亞光 (3019) 、先進光 (3362) 聯袂大漲。
2017-09-01T06:42:00.000Z,  蘋果確定將在美國時間9月12日舉辦新品發表會，市場預期將一口氣端出iPhone 8、iPhone 7s/7s Plus，蘋概股也成為盤面亮點之一，股王大立光 (3008) 再獲外資調高目標價到6680元，今股價收漲0.69%，報在5870元，台積電 (2330) 、鴻海 (2317) 則聯袂收在平盤位置，大型龍頭股表現平穩，反倒是中小型蘋果概念股明顯點火，軟板廠致伸 (4915) 、嘉聯益 (6153) 大漲約4%，光學族群更有玉晶光 (3406) 漲停再創新天價，不僅站上500元，終場更收在漲停價546元，也帶動佳凌 (4976) 、先進光 (3362) 強勢大漲。
2017-09-01T02:52:00.000Z,  蘋果股價再創歷史新高，也確定在美國時間9月12日上午10點於新總部Apple Park內的「Steve Jobs Theater」舉行特別發表會，蘋果並在邀請函上標記著「Let`s meet at our place」，蘋概股表現今日集中在中小型類股較為突出，呈現漲跌互見，嘉聯益 (6153) 大漲5%，致伸 (4915) 漲幅也一度近3%，後續在蘋果股價緩步創高下，蘋概族群是否有所表態，可以持續關注。
2017-09-01T07:04:00.000Z,　盤面上，蘋果股價再創新高，9月12日將舉行新品發表，概念股大立光 (3008) 、台積電 (2330) 、鴻海 (2317) 表現平穩，資金轉向中小型股，嘉聯益 (6153) 、致伸 (4915) 同步走高；光學股攻勢再起，玉晶光 (3406) 再度上演軋空行情，今日強攻漲停再創上市新高價，激勵佳凌 (4976) 、華晶科 (3059) 、亞光 (3019) 、先進光 (3362) 聯袂大漲。
2017-09-01T06:42:00.000Z,  蘋果確定將在美國時間9月12日舉辦新品發表會，市場預期將一口氣端出iPhone 8、iPhone 7s/7s Plus，蘋概股也成為盤面亮點之一，股王大立光 (3008) 再獲外資調高目標價到6680元，今股價收漲0.69%，報在5870元，台積電 (2330) 、鴻海 (2317) 則聯袂收在平盤位置，大型龍頭股表現平穩，反倒是中小型蘋果概念股明顯點火，軟板廠致伸 (4915) 、嘉聯益 (6153) 大漲約4%，光學族群更有玉晶光 (3406) 漲停再創新天價，不僅站上500元，終場更收在漲停價546元，也帶動佳凌 (4976) 、先進光 (3362) 強勢大漲。
2017-09-01T02:52:00.000Z,  蘋果股價再創歷史新高，也確定在美國時間9月12日上午10點於新總部Apple Park內的「Steve Jobs Theater」舉行特別發表會，蘋果並在邀請函上標記著「Let`s meet at our place」，蘋概股表現今日集中在中小型類股較為突出，呈現漲跌互見，嘉聯益 (6153) 大漲5%，致伸 (4915) 漲幅也一度近3%，後續在蘋果股價緩步創高下，蘋概族群是否有所表態，可以持續關注。
2017-09-22T06:14:00.000Z,  蘋果iPhone 8今正式開賣，台灣列為首波市場，但依舊不敵蘋果魔咒，蘋概股反倒成為今日空頭眾矢之的，股王大立光 (3008) 早盤後一路向下壓跌，下半場更是跌幅加劇，股價摜破季線，且收在今日最低價5365元，跌幅達5.8%，台積電 (2330) 則小跌震盪，跌幅在1%以內，可以說是蘋概股相對有守的，鴻海 (2330) 下跌逾2.5%，可成 (2474) 跌幅達3.5%，美律 (2439) 重挫逾6%，其餘嘉聯益 (6153) 、致伸 (4915) 、順達 (3211) 等也同步走弱。
2017-09-28T07:20:00.000Z,　iPhone X雜音不斷，蘋概股三劍客大立光 (3008) 、鴻海 (2317) 、台積電 (2330) 欲振乏力，新普 (6121) 、美律 (2439) 聯袂走跌，惟和碩 (4938) 、可成(2747)、致伸 (4915) 、嘉聯益 (6153) 逆勢走揚；記憶體族群因美光樂觀看後市，南亞科 (2408) 、華邦電 (2344) 在外資力挺下聯袂走高，旺宏 (2337) 持續拉回整理；節能族群為盤面人氣指標，綠能 (3519) 、新日光 (3576) 、益通 (3452) 火力全開，昇陽科 (3561) 、昱晶 (3514) 、茂迪 (6244) 跟進喊燒；整流二極體廠台半 (5425) 及虹揚 (6573) 下半年業績看好，股價雙雙衝高大漲。
2017-10-06T04:49:00.000Z,  股王大立光 (3008) 儘管營收創高，但股價卻是不漲反跌，股價於盤中壓回盤下震盪，台積電 (2330) 亦震盪於平盤附近，蘋果概念股鴻海 (2317) 小漲約0.5%，機殼廠可成 (2474) 則是大漲逾2%，和碩 (4938) 漲幅也約1%，PCB相關持穩走揚，致伸 (4915) 大漲約5%，台郡 (6269) 、嘉聯益 (6153) 漲幅也達1.5%~2%，電池廠順達 (3211) 更是大漲5.5%，此外，美律 (2439) 也在9月營收登上歷史新高帶動下，股價一度大漲近4%，重新站回200元大關。
2017-10-12T01:48:00.000Z,  4.嘉聯益 (6153) ：外資昨日買超6406張，股價漲3.89%。
2017-10-20T10:03:00.000Z,報告表示，可留意包括台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 、穩懋 (3105) 、精材 (3374) 、同欣電 (6271) 等台灣相關供應鏈，嘉聯益 (6153) 有機會在2018年下半年成為新款iPhone天線軟板供應商。
2017-10-20T06:07:00.000Z,  蘋果iPhone 8系列銷售不如預期，傳出砍單動作，加上美國蘋果股價大跌，使得蘋概股今日跌多漲少，股王大立光 (3008) 一度重挫近3%，終場收在5575元，下跌170元，鴻海 (2317) 亦走跌0.8%，美律 (2439) 、台郡 (6269) 、致伸 (4915) 、順達 (3211) 等全數走跌，軟板廠嘉聯益 (6153) 則是擺脫蘋果利空衝擊，挾自身與達邁 (3645) 、創新應材、妙印精機攜手組成「捲對捲全加成軟板生產聯盟」，發表國內首創「捲對捲(Roll to Roll)全加成軟板生產線」，股價聞訊大漲約5.8%。
2017-10-20T02:59:00.000Z,  蘋果iPhone 8新機出現多起電池問題，加上銷售不如前代，市場普遍傾向等待iPhone X，使得相關零組件出現轉單甚至砍單傳聞，蘋概族群今漲跌互見，鴻海 (2317) 壓低，和碩 (4938) 上漲1.5%，可成 (2474) 走揚約0.5%；軟板廠嘉聯益 (6153) 上漲2.5%，嘉聯益除蘋果概念外，昨宣布與達邁 (3645) 、創新應材、妙印精機攜手組成「捲對捲全加成軟板生產聯盟」，發表國內首創「捲對捲 (Roll to Roll) 全加成軟板生產線」，將有助於提升台灣軟板產業的競爭力，致伸 (4915) 於盤上狹幅小漲，美律 (2439) 受到法人調節因素，股價小跌0.5%~1%。
2017-10-23T06:14:00.000Z,觀察盤中焦點股，蘋果概念股各自表態，聲學元件廠康控-KY (4943) 、美律 (2439) 今天表現強勢，康控-KY收漲停至301.5元，美律漲逾4.25%、收208.5元；軟板廠嘉聯益 (6153) 受惠蘋果日系供應鏈出現生產問題，獲轉單效應，收漲停35元。
2017-10-24T06:29:00.000Z,近期獲投信積極買超的PCB（印刷電路板）廠嘉聯益 (6153) 今天開高走低，一度下挫逾2%，雖有連續性買單拉抬，終場仍下跌1.43%，收34.5元；第3季營收創新高的燿華 (2367) 股價收漲停12.55元。
2017-10-24T02:41:00.000Z,第18屆台灣電路板國際博覽會（TPCA Show 2017）將於10月25日到27日登場，近期獲投信積極買超的印刷電路板（PCB）族群嘉聯益 (6153) 今天開高走低，一度下挫逾2%，隨即出現連續性買單，拉回平盤整理。
2017-10-27T07:08:00.000Z,　iPhone X預購即將啟動，蘋概股由台積電 (2330) 率先表態，概念股康控-KY (4943) 一度漲停，惟大立光 (3008) 、鴻海 (2317) 、美律 (2439) 、嘉聯益 (6153) 由紅翻黑，可成 (2474) 、鴻準 (2454) 、F-TPK (3673) 亦同步走跌，台郡 (6269) 法說會後呈現利多出盡重挫跌停；金氧半場效電晶體(MOSFET)在旺季效應加持下，概念股成當紅炸子雞，尼克森 (3317) 、大中 (6435) 、富鼎 (8261) 盤中齊觸頂表現搶眼；面板雙虎因旺季進入尾聲，友達 (2409) 、群創 (3481) 齊步走跌；受到特斯拉砍單衝擊，供應鏈和大 (1536) 、貿聯-KY (3665) 、乙盛-KY (5243) 等齊聲哀號。
2017-10-27T03:07:00.000Z,  蘋果iPhone X今下午即將啟動預購，蘋果三大指標概念股來說，股王大立光 (3008) 上漲1.8%，鴻海 (2317) 持穩走揚近1%，台積電 (2330) 亦走揚逾1.5%，其餘蘋概股表現，嘉聯益 (6153) 上漲逾2.5%，康控-KY (4943) 衝上漲停，美律 (2439) 續揚逾5%，台郡 (6269) 則在法說會公布第3季每股稅後純益3.48元創歷史新高後，利多出盡，股價重挫7%。
2017-11-17T01:25:00.000Z,台股早盤在蘋概股勁揚下，指數一漲逾百點，包括鴻海 (2317) 漲2.5元，來到106.5元，台積電 (2330) 漲4.5元，來到242.5元，可成 (2474) 漲5元，來到331元，嘉聯益 (6153) 漲1.45元，來到43.4元等。
2017-12-05T07:15:00.000Z,昨夜美股道指創高，惟那指重挫逾1%，台股電子族群今日成空軍重砲轟擊標靶，包括龍頭指標台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 無一倖免，康控-KY (4943) 更下殺跌停，晶電 (2448) 、亞光 (3019) 、嘉聯益 (6153) 也紛紛跌逾5%，拖累大盤指數一度重挫110餘點，最低來到10540點，所幸國泰金 (2882) 在多數高權值電子股回檔休息之際，帶領金融類股力挽狂瀾，無奈尾盤國泰金仍腿軟翻黑收低，集中市場終場下跌84.26點，收10566.85點，成交值放大至1443.19億元。
2017-12-14T05:56:00.000Z,不過，部分人氣股卻是演出開高走低的軟腳行情，橘子 (6180) 午盤僅不到30分鐘就從平盤附近殺到跌停，摜破季線87.85元位置，旺宏 (2337) 、環球晶 (6488) 、嘉聯益 (6153) 、康控－KY (4943) 等都僅演出半場好戲，尾盤紛紛出現急殺走勢。
2017-12-26T03:09:00.000Z,  中國網路昨日傳出，由於境內部分區域水質極差，中國昆山官方行文要求當地270家廠商自昨（25）日起全面停產至1月10日，雖然相關消息並非官方正式公布，且隨後再傳出停產令暫緩實施，但台郡 （6269） 、嘉聯益 （6153） 等PCB族群仍聞訊走弱。
2018-02-05T02:17:00.000Z,  21.嘉聯益 (6153) ：今日暫停先賣後買當日沖銷標借及議借標的，股價跌4.69%。
2018-03-13T06:41:00.000Z,  盤面上，蘋果再創天價，概念股跟著激昂，大立光 (3008) 盤初即站上4000元關卡，臻鼎-KY (4958) 亦受惠旗下鵬鼎控股可望於下半年在A股上市，盤中強攻漲停板，帶動玉晶光 (3406) 、華通 (2313) 、嘉聯益 (6153) 、新日興 (3376) 、燿華 (2367) 等蘋概股同步走高。
