PublishDate,Sentence
2017-01-24T00:49:00.000Z,5.其他個股表現者，諸如遠東新 (1402) 、鴻準 (2354) 、浩鼎 (4174) 、美食-KY (2723) 、穩懋 (3105) 、大同 (2371) 、台光電 (2383) 、智邦 (2345) 、神基 (3005) 、台郡 (6269) 等。
2017-02-13T07:44:00.000Z,電子、非金電持續挑戰 2015 年高點區、金融沿 5 日線上漲1. 電子股：電子指數週一以上漲 2.40 點的 391.37 點作收，將挑戰 394.84 點的 2015 年高點壓力；週一較強的電子股包括: IC 製造的 3532 台勝科、2337 旺宏、3707 漢磊、2408 南亞科、3016 嘉晶、2344 華邦電、6488 環球晶、2330 台積電；IC 設計的 3227 原相、8096 擎亞、3443 創意、5351 鈺創、6138 茂達、3035 智原、4966 譜瑞 - KY、4968 立積；封測的 6451 訊芯 - KY、3374 精材、2369 菱生、3567 逸昌、2449 京元電；PA 的 8086 宏捷科、3105 穩懋、2455 全新；LED 的 2340 光磊、3591 艾笛森、3031 佰鴻、2448 晶電；被動元件的 3236 千如、2456 奇力新、6173 信昌電、2472 立隆電、2492 華新科；PCB 的 5439 高技、4958 臻鼎 - KY、2402 毅 嘉、6269 台郡… 等。
2017-02-23T04:22:00.000Z,  今年以來包括大立光 (3008) 、台郡 (6269) 、可成 (2474) 、美律 (2439) 、新普 (6121) 、景碩 (3189) 、玉晶光 (3406) 、TPK-KY (3673) 以及鴻海集團的臻鼎-KY (4958) 、GIS-KY (6456) 等等，漲幅幾乎都跑贏大盤。
2017-03-14T07:07:00.000Z,「鴻家軍」吹起反攻號角，廣宇 (2328) 因2月營收亮眼強攻漲停，帶動台通 (8011) 、東捷 (8064) 、台揚 (6269) 和建漢 (3062) 等火力全開。
2017-03-14T06:40:00.000Z,  「鴻家軍」也響起反攻號角，廣宇 (2328) 以漲停價30.5元作收，台通 (8011) 和東捷 (8064) 分別上漲5.44%、4.98%，台揚 (6269) 和建漢 (3062) 各上漲4.11%和4.06%，此外鴻海 (2317) 、群創 (3481) 、鴻準 (2354) 、GIS-KY (6456) 、訊芯-KY (6451) 也都表現相當強勁。
2017-03-20T06:58:00.000Z,台股萬點前買盤觀望，今日在士紙 (1903) 、榮成 (1909) 、台玻 (1802) 等傳產股及大立光 (3008) 、玉晶光 (3406) 及新鉅科 (3630) 等光學元件族群走弱下，拖累指數開低震盪，盤中失守9900點、並一度回測9869點，惟多頭點火台郡 (6269) 、可成 (2474) 、和碩 (4938) 等蘋概股，和台燿 (6274) 、台勝科 (3532) 、威剛 (3260) 及健策 (3653) 等績優中小型股，帶動指數守穩9900點，尾盤買盤敲進台積電 (2330) 、國泰金 (2882) 等權值股，終場加權指數上漲4.28點為9912.97點，成交值縮至826.53億元。
2017-03-20T06:57:00.000Z,  儘管萬點關前，台積電 (2330) 、大立光 (3008) 、台達電 (2308) 、富邦金 (2881) 、國泰金 (2882) 等權值股歇兵，致使台股今天以低盤開出，但熱錢持續湧入，股匯市雙升的格局未變，投信季底作帳及內資力挺的中小型股再扮維繫多頭的要角，友訊 (2332) 、威剛 (3260) 等多檔個股強攻漲停板，蘋果概念股的台郡 (6269) 、鴻準 (2354) 、可成 (2474) ，以及穩懋 (3105) 、TPK-KY (3673) 、華新科 (2492) 、台勝科 (3532) 、環球晶圓 (6488) 、台燿 (6274) 、彰源 (2030) 、華建 (2530) 、精材 (3374) 及健策 (3653) 等中小型股強攻，帶動平盤下震盪的台股指數在尾盤強力拉升由黑翻紅，再創2015年4月24日以來新高。
2017-03-20T04:03:00.000Z,　儘管上週美國聯準會如預期升息，但聯準會聲明採溫和升息的腳步，讓全球股市鬆了一口氣，加上全球肥咖條款發威，新台幣升勢再起，推動股匯市雙升格局，讓連三週處於弱勢的台股在台積電 (2330) 、大立光 (3008) 等光學股帶動下，在上星期的下半週轉強，順利站上9900點，今天台股雖然因萬點關前買盤觀望，士紙 (1903) 、榮成 (1909) 、台玻 (1802) ，以及台積電、光學元件的大立光 (3008) 、玉晶光 (3406) 及新鉅科 (3630) 等走弱，指數以小黑開出，並在盤中失守9900點，但多頭持續力挺蘋果概念股，台郡 (6269) 站上100元關卡，績優中小型股-台燿 (6274) 、台勝科 (3532) 、威剛 (3260) 及健策 (3653) 等強攻，再創波段新高，帶動台股指數守住9900點，截至11點40分為止，加權股價指數為9902.59點，下跌6.1點，成交量為554.79億元；OTC指數為137.84點，上漲0.22點，成交量為240.11億元。
2017-03-24T03:07:00.000Z,  蘋果今年即將推出iPhone 8，話題超夯，也帶動先前一波蘋概股的多頭行情，惟今普遍因短線行情過熱，普遍壓回修正，除大立光、鴻海等大型權值股外，包括和碩、可成、台郡等也同步修正，盤面僅剩美律 (2439) 逆勢走揚，改寫31個月新高，市場看好iPhone 8有機會大賣，備貨上看億支，預估蘋概股在短線整理後，後續在題材催化下，仍有表現空間。
2017-03-29T07:00:00.000Z,　蘋概股成為今日觀盤焦點，蘋果28日收盤股價再創歷史新高，並公布前200大供應商，雙鴻 (3324) 、晶技 (3042) 、健鼎 (3044) 歡喜入列股價跟風勁揚，帶動可成 (2474) 、和碩 (4938) 、台郡 (6269) 、玉晶光 (3406) 等同步上攻，雙王台積電 (2330) 、大立光 (3008) 則聯袂下跌；面板雙虎吹起反攻號角，群創 (3481) 、友達 (2409) 雙雙大漲，成盤面領頭羊；強勢股旺宏 (2337) 及華邦電 (2344) 雙雙大漲9%，人氣紅不讓；金融股表現相對穩健，兆豐金 (2886) 、台新金 (2887) 、新光金 (2888) 成為領先指標。
