PublishDate,Sentence
2017-09-18T07:04:00.000Z,擺脫蘋果新機發表魔咒及北韓導彈利空，全球股市多頭氣盛，台股今日在DRAM及面板族群點火下開高走高站穩10600點，盤中華邦電 (2344) 、威剛 (3260) 強攻漲停，南亞科 (2408) 、群創 (3481) 、友達 (2409) 聯手衝高，燃料電池族群環球晶 (6488) 、聯茂 (6213) 再創波段新高，多頭人氣強強滾，終場加權指數上漲51.16點為10631.57點，收盤指數創下逾27年新高，成交值為1336.74億元。
2017-09-18T06:16:00.000Z,台股加權股價指數終場收在10631.57點，上漲51.16點，漲幅0.48%，成交值新台幣1336.74億元，電子股漲0.48%，金融股漲0.4%。
2019-04-02T02:24:00.000Z, 3.台積電 (2330) ：昨獲三大法人聯手買超13362張，加上昨夜ADR上漲1%，早盤股價漲至249.5元。
2019-04-02T02:24:00.000Z, 3.台積電 (2330) ：昨獲三大法人聯手買超13362張，加上昨夜ADR上漲1%，早盤股價漲至249.5元。
2019-05-22T02:13:00.000Z, 21.富驊 (5465) ：今恢復交易，斥資6.91億元，取得台翰41%股權，股價上漲逾4.5%，一度觸及18元。
2019-10-25T02:49:42.000Z,美股四大指數漲跌互見，日韓股同步走漲，台股今(25)日開盤漲16.5點、報在11336.64點，一度再創下29年高，指數最高達11347點，呈現驚驚漲格局，其後指數隨即震盪走低，行情出現回檔整理。
2019-10-25T02:49:00.000Z,美股四大指數漲跌互見，日韓股同步走漲，台股今(25)日開盤漲16.5點、報在11336.64點，一度再創下29年高，指數最高達11347點，呈現驚驚漲格局，其後指數隨即震盪走低，行情出現回檔整理。
2020-02-20T02:06:00.000Z,  33.台翰 (1336) ：擬處分五股廠地，估獲利約2.13億元，東南亞廠生產不受疫情影響，早盤帶量觸及漲停16.6元。
2020-03-06T02:41:00.000Z,  而據統計，元月以來宣布執行庫藏股的台股上市櫃公包括：陽程 (3498) 、中天 (4128) 、光聖 (6442) 、精星 (8183) 、三陽工業 (2206) 、安國 (8054) 、華晶科 (3059) 、廣積 (8050) 、信音 (6126) 、伍豐 (8076) 、大江 (8436) 、麗嬰房 (2911) 、台翰 (1336) 、曜越 (3540) 、志信 (2611) 、岱宇 (1598) 、凱羿-KY (2939) 、湯石照明 (4972) 、彩富 (5489) 、藍天 (2362) 、聯傑 (3094) 、立德 (3058) 。
2020-04-20T07:10:03.000Z,美股期指今日開盤走弱，台股集中市場早盤雖仍開高，但台積電壓低休憩、失守季線，一早即交棒鴻海 (2317) 、大立光 (3008) 、國巨 (2327) 、華新科 (2492) 穩盤，並由晶技 (3042) 、南六 (6504) 、定穎 (6251) 等強漲打前鋒，盤初雖指數一度突破10600關、衝抵10637.64點，惟台積電回跌影響原強勢漲多股跟隨拉回，加上電子族群以及金融、塑膠等類股也疲弱不振，且磐石艦確診病例驟升藏隱憂，外資買超大舉縮手，買超額度連上周五的零頭都不到，終場集中市場收10586.71點，小跌10.33點，總成交值1336.69億元，較上周五大減近千億元。
2020-04-20T06:54:40.000Z,上周帶領台股驚驚漲的大功臣—台積電 (2330) 今天因逢獲利了結賣壓漲多拉回，今天股價一直在平盤下游走，讓台股多頭攻勢受挫，資金轉回上周五開高走低的中小型股，法說會題材護身的寶齡 (1760) 、定穎 (6251) 及雙鴻 (3324) 強勢走高，寶齡及定穎更強攻漲停板，長佳 (4550) 、申豐 (6582) 、興采 (4433) 、南六 (6504) 、亞諾法 (4133) 、士紙 (1903) 、景岳 (3164) 、中天 (4128) 漲停板作收，小型股當道無力推升指數站上10600點，終場加權股價指數為10586.71點，小跌10.33點，成交量1336.69億元；OTC指數為131.77點，上漲1.02點，成交量315.82億元。
