PublishDate,Sentence
2019-02-19T11:10:00.000Z,台積電董事長劉德音持有1291萬3114股，將有1.29億元股利入袋，總裁暨副董事長魏哲家持有717萬9207股，可獲得7179萬元股利。
2019-12-11T06:44:00.000Z, 不過兩檔股票去年Q4都是虧損，因此國泰金前4季EPS是3.63元，本益比11.68倍，外資買超2日計3114張、投信買超15日計1008張、自營商賣超9日計5898張。
2020-03-11T07:07:00.000Z,　受到歐美新冠肺炎疫情擴大影響，外資今日賣超207.6億元，連四日賣超共計1127.62億元，本月來賣超達1387.54億元，今年以來累計賣超3114.25億元。
2020-11-16T03:00:22.000Z,"
劉德音目前持有台積電1291萬3114股，持股市值61.33億元；魏哲家持有台積電717萬9207股，持股市值34.1億元。"
2020-12-07T06:20:03.000Z,劉德音目前持有台積電1291萬3114股，持股市值66.37億元；魏哲家持有台積電717萬9207股，持股市值36.9億元。
2021-01-08T08:00:02.000Z,台積電董事長劉德音持有台積電1291萬3114股，持股市值74.89億元；總裁魏哲家持有台積電717萬9207股，持股市值41.63億元。
2021-01-12T01:25:54.000Z,台積電董事長劉德音持有台積電1291萬3114股，持股市值76.57億元。
2021-01-13T03:25:07.000Z,台積電董事長劉德音持有台積電1291萬3114股，持股市值77.47億元；總裁魏哲家持有台積電717萬9207股，持股市值43.07億元；行政院國家發展基金管理會持股市值9922.25億元。
2021-01-19T07:07:44.000Z,台積電董事長劉德音持有台積電1291萬3114股，持股市值80.96億元，總裁魏哲家持有台積電717萬9207股，持股市值45.01億元；行政院國家發展基金管理會持股市值達1.03兆元。
2021-02-09T10:16:46.000Z,台積電董事長劉德音持有台積電1291萬3114股，將可獲3228萬元股息。
2021-02-16T08:05:05.000Z,美股道瓊工業指數收在31458.4點，較2月5日的31148.24點上漲310.16點。
2021-03-17T01:36:54.000Z,台積電董事長劉德音持股1291萬3114股，估計將有3228萬元股息入袋；總裁魏哲家持股717萬9207股，也將有1794萬元入袋。
