PublishDate,Sentence
2017-07-24T06:57:00.000Z,今日外資買超13.3217億元，投信賣超7.0985億元，自營商買超7.0172億元，三大法人買超13.24億元。
2017-07-24T06:57:00.000Z,　今日外資買超13.3217億元，5日RSI為53.35，10日RSI為57.21，9日K值為65.19，9日D值為72.20，20日乖離率為0.39。
2018-12-24T03:53:00.000Z,鴻海 (3217) 來到71.4元，上漲0.5元。
2019-03-04T06:28:00.000Z, 受到股王大立光 (3008) 及台積電 (2330) 股價開高收低，台積電股價更由紅翻黑拖累，台股指數開低後一路走低，盤中一度下跌逾60點，所幸二線光學元件股、遊戲軟體、工具機等中小型股強出頭，電源供應器台達電 (2308) 帶領群電 (6412) 及康舒 (6282) 等強勢收高，工具機展開展，工具機的亞德客-KY (1590) 、上銀 (2049) 等走強，大立光及玉晶光 (3406) 漲多，資金輪動到先進光 (3362) 及佳凌 (4976) ，網龍 (3083) 、豐達科 (3004) 、生展 (8279) 、美律 (2439) 及傳奇 (4994) 漲停板作收，鈊象 (3293) 、康控-KY (4943) 、健鼎 (3044) 、欣興 (3037) 、台表科 (6278) 、優群 (3217) 及禾昌 (6158) 等逆勢收漲，穩住市場多頭信心，讓台股指數在尾盤小幅拉升，不過仍失守5日線，終場加權股價指數為10349.88點，下跌39.29點，成交量為1373.12億元；OTC指數為138.02點，上漲0.63點，成交量為347.39億元。
2019-03-04T03:53:00.000Z,228長假期間，全球股市持續籠罩在樂觀氣氛中，持續驚驚漲格局，台股依舊是光學元件、遊戲軟體、電源供應器、工具機等中小型股當道，股王—大立光 (3008) 、電源供應器—台達電 (2308) 、工具機的亞德客-KY (1590) 等產業龍頭股領軍上攻，網龍 (3083) 、豐達科 (3004) 、生展 (8279) 等盤中股價強攻漲停板，先進光 (3362) 、佳凌 (4976) 、健鼎 (3044) 、美律 (2439) 、台表科 (6278) 、優群 (3217) 及禾昌 (6158) 等強勢走高。
2019-03-04T06:28:00.000Z, 受到股王大立光 (3008) 及台積電 (2330) 股價開高收低，台積電股價更由紅翻黑拖累，台股指數開低後一路走低，盤中一度下跌逾60點，所幸二線光學元件股、遊戲軟體、工具機等中小型股強出頭，電源供應器台達電 (2308) 帶領群電 (6412) 及康舒 (6282) 等強勢收高，工具機展開展，工具機的亞德客-KY (1590) 、上銀 (2049) 等走強，大立光及玉晶光 (3406) 漲多，資金輪動到先進光 (3362) 及佳凌 (4976) ，網龍 (3083) 、豐達科 (3004) 、生展 (8279) 、美律 (2439) 及傳奇 (4994) 漲停板作收，鈊象 (3293) 、康控-KY (4943) 、健鼎 (3044) 、欣興 (3037) 、台表科 (6278) 、優群 (3217) 及禾昌 (6158) 等逆勢收漲，穩住市場多頭信心，讓台股指數在尾盤小幅拉升，不過仍失守5日線，終場加權股價指數為10349.88點，下跌39.29點，成交量為1373.12億元；OTC指數為138.02點，上漲0.63點，成交量為347.39億元。
2019-03-04T03:53:00.000Z,228長假期間，全球股市持續籠罩在樂觀氣氛中，持續驚驚漲格局，台股依舊是光學元件、遊戲軟體、電源供應器、工具機等中小型股當道，股王—大立光 (3008) 、電源供應器—台達電 (2308) 、工具機的亞德客-KY (1590) 等產業龍頭股領軍上攻，網龍 (3083) 、豐達科 (3004) 、生展 (8279) 等盤中股價強攻漲停板，先進光 (3362) 、佳凌 (4976) 、健鼎 (3044) 、美律 (2439) 、台表科 (6278) 、優群 (3217) 及禾昌 (6158) 等強勢走高。
2019-05-02T01:58:00.000Z,觀察今天蘋概股盤面表現，蘋概三王台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 均呈現紅盤表現；近來當紅AirPods 的供應鏈新日興 (3376) 、新普 (6121) 表現相對亮眼，光學鏡頭的玉晶光 (3406) 也有亮眼表現，機殼廠可成 (2474) 漲幅也在2%以上，其他包括嘉聯益 (6153) 、GIS-KY (6456) 、美律 (2439) 、康控-KY (4943) 、聯德控股-KY (4912) 、正崴 (2392) 、優群 (3217) 、華通 (2313) 、燿華 (2367) 、英業達 (2356) 等都呈現紅盤表現。
2019-05-03T02:11:00.000Z, 23.優群 (3217) ：蘋果財報佳帶動第1季EPS達0.66元，昨自營商大舉買超404張，激勵早盤股價漲7.05%。
2019-05-02T01:58:00.000Z,觀察今天蘋概股盤面表現，蘋概三王台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 均呈現紅盤表現；近來當紅AirPods 的供應鏈新日興 (3376) 、新普 (6121) 表現相對亮眼，光學鏡頭的玉晶光 (3406) 也有亮眼表現，機殼廠可成 (2474) 漲幅也在2%以上，其他包括嘉聯益 (6153) 、GIS-KY (6456) 、美律 (2439) 、康控-KY (4943) 、聯德控股-KY (4912) 、正崴 (2392) 、優群 (3217) 、華通 (2313) 、燿華 (2367) 、英業達 (2356) 等都呈現紅盤表現。
2019-05-03T02:11:00.000Z, 23.優群 (3217) ：蘋果財報佳帶動第1季EPS達0.66元，昨自營商大舉買超404張，激勵早盤股價漲7.05%。
2019-05-06T06:45:00.000Z,原本看似即將和平落幕的中美貿易戰突然風雲變色，美國總統川普突然宣布將對2000億美元大陸產品加徵的懲罰性關稅稅率，自周五(10日)起從10%提高到25%，並可能會再對3250億美元的大陸產品加徵25%關稅，重創陸股、港股及台股，在台積電 (2330) 、鴻海 (2317) 及台達電 (2308) 等權值股領跌下，台股指數開盤就跳空大跌，雖然4月合併營收表現出色的股王—大立光 (3008) 、新鉅科 (3630) 及信邦 (3023) 、優群 (3217) 、京元電 (2449) 、瑞昱 (2379) 等逆勢收高，但在多頭信心潰散下，盤中指數一度大跌逾200點，尾盤指數雖然小幅拉升，但仍失守10900點。
2019-05-06T03:43:00.000Z,　美國總統川普因與大陸貿易協商進展緩慢，於5日推文宣布，將對2000億美元中國產品加徵的懲罰性關稅稅率，自周五(10日)起從10%提高到25%，並可能會再對3250億美元的大陸產品加徵25%關稅；川普突然變臉，讓美國期貨盤前指數跳空重挫，今天開市的台股及港股也遭到重擊，台股指數在台積電 (2330) 、鴻海 (2317) 等權值股領跌下，一開盤就跳空大跌，雖然股王—大立光 (3008) 挾4月合併營收登上50億元關卡亮眼成績，股價一度上衝至4900元，4月合併營收創新高的個股如：信邦 (3023) 等，以及營運看俏的優群 (3217) 及台燿 (6274) 等中小型股逆勢走高，但指數在各類股全面走跌下開低走低，盤中大跌逾200點，失守10900點關卡，截至11點25分為止，台股指數為10892.51點，下跌203.79點，成交量935.01億元；OTC指數為139.89點，下跌2.57點，成交量221.82億元。
2019-05-07T02:04:00.000Z, 15.優群 (3217) ：手機傳輸模組連接器預期5月開始小量試產並逐月放量，第3季將進入備貨高峰，股價漲近5%。
2019-07-26T05:03:00.000Z,法人認為iPhone的規模夠大，對供應鏈而言極具吸引力，而今年挑選蘋概股基本守則為「蘋概新生」及「規格升級受惠者」，包括優群 (3217) 、嘉澤 (3533) 都是今年新進的隱藏版蘋概家族成員；大立光、玉晶光、康控 (4943) 、新普 (6121) 等則是規格升級受惠者。
2019-11-12T02:11:10.000Z,"
30.優群 (3217) ：Q3營運創五高，前三季EPS 3.71元，賺贏去年全年，股價漲3.75%。"
2019-11-12T02:11:00.000Z, 30.優群 (3217) ：Q3營運創五高，前三季EPS 3.71元，賺贏去年全年，股價漲3.75%。
2019-11-18T06:05:07.000Z,今天台股雖然受上週五美股收盤再創新高帶動開高，但大立光 (3008) 、鴻海 (2317) 、聯發科 (2454) 等權值股休兵，且搶攻千金關卡的精測 (6510) 、矽力-KY (6415) 及信驊 (5274) 今天也無力上攻，僅中小型股個股表現，優群 (3217) 、揚智 (3041) 、美隆電 (2477) 、安鈦克 (6276) 等以漲停作收，在無主流領軍下，今天台股盤中指數在11550點附近膠著，所幸尾盤時台積電 (2330) 表態收高，激勵台股指數擺尾向上，差一點點就站上11600點，終場加權股價指數為11599.78點，上漲74.18點，成交量1084.65億元；OTC指數為143.91點，上漲0.54點，成交量303.2億元。
2019-11-18T06:05:00.000Z,今天台股雖然受上週五美股收盤再創新高帶動開高，但大立光 (3008) 、鴻海 (2317) 、聯發科 (2454) 等權值股休兵，且搶攻千金關卡的精測 (6510) 、矽力-KY (6415) 及信驊 (5274) 今天也無力上攻，僅中小型股個股表現，優群 (3217) 、揚智 (3041) 、美隆電 (2477) 、安鈦克 (6276) 等以漲停作收，在無主流領軍下，今天台股盤中指數在11550點附近膠著，所幸尾盤時台積電 (2330) 表態收高，激勵台股指數擺尾向上，差一點點就站上11600點，終場加權股價指數為11599.78點，上漲74.18點，成交量1084.65億元；OTC指數為143.91點，上漲0.54點，成交量303.2億元。
