PublishDate,Sentence
2017-05-25T00:57:00.000Z,日期：2017年 5月25日※本日焦點股榮創、隆達、晶電、智冠、先進光、同亨、晶焱、GIS-KY、牧德、江申、裕融、凡甲、IET-KY※昨日盤勢解析德國五月份 IFO 商業景氣指數優於預期、來到 114.6 點，創 1991 年來新高；歐洲經濟數據強勁，週二科技、汽車股表態，德、法股市上漲，英股小跌。
2017-06-27T01:03:00.000Z,※弱勢股：以個別修正或漲多拉回為主，諸如新日興 (3376) 、中天 (4128) 、?矬? (8349) 、健策 (3653) 、隆達 (3698) 、富喬 (1815) 、燿華 (2367) 、凡甲 (3526) 、振曜 (6143) 、光洋科 (1785) 等。
2017-09-12T07:14:00.000Z,　盤面上，權值股三巨頭台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 坐鎮穩盤，南亞科 (2408) 受惠DRAM價格向上及持續處分美光持股利多強勢大漲；網通股在5G高峰會點火下熱鬧滾滾，中磊 (5388) 、正文 (4906) 、友訊 (2332) 齊聲走揚；大陸擬停產汽柴油車，電動車供應鏈健和興 (3003) 及貿聯-KY (3665) 、凡甲 (3526) 熱舞狂歡。
2017-09-12T06:44:00.000Z,大陸擬訂全面停止生產汽柴油車時間，可望進一步引爆電動車市場需求，Tesla、比亞迪股價大漲反應，今日相關個股健和興 (3003) 、貿聯-KY (3665) 、凡甲 (3526) 整齊走高，健和興盤中股價更創下上市新高價。
2017-09-22T03:57:00.000Z,　今天雖然有宏達電 (2498) 因為手機部門賣給Google，宏達電及威盛 (2388) 今天股價跳空漲停，但蘋果股價持續走跌，大立光 (3008) 、台積電 (2330) 、鴻海 (2317) 、和碩 (4938) 及華通 (2313) 等蘋果概念股同步走跌，大立光盤中失守5550元，昨天好不容易止跌的光學元件股今天又倒成一片，玉晶光 (3406) 、亞光 (3019) 等同步走跌，資金轉向具特定題材的個股如：凡甲 (3526) 、界霖 (5285) 、台勝科 (3532) 、合晶 (6182) 等，在群龍無首下，台股指數開低走低，盤中大跌逾100點，失守10500點，截至11點30分為止，加權股價指數為10482.1點，下跌96.34點，成交量為766.89億元；OTC指數為142.38點，下跌1.37點，成交量為265.86億元。
2020-02-21T02:09:14.000Z,"
11.凡甲 (3526) ：為寧德新能源車BMS(電池管理系統)供應商，特斯拉同意購買寧德電池，股價漲5.27%。"
2020-02-21T02:09:00.000Z,  11.凡甲 (3526) ：為寧德新能源車BMS(電池管理系統)供應商，特斯拉同意購買寧德電池，股價漲5.27%。
2020-03-04T02:08:20.000Z,"
22.凡甲 (3526) ：去年每股純益6.13元，創10年新高，今年在伺服器與新能源車兩大業務帶動下，業績有望持續成長，股價漲1.18%。"
2020-03-04T02:08:00.000Z,  22.凡甲 (3526) ：去年每股純益6.13元，創10年新高，今年在伺服器與新能源車兩大業務帶動下，業績有望持續成長，股價漲1.18%。
2020-03-04T02:08:20.000Z,"
22.凡甲 (3526) ：去年每股純益6.13元，創10年新高，今年在伺服器與新能源車兩大業務帶動下，業績有望持續成長，股價漲1.18%。"
2020-03-04T02:08:00.000Z,  22.凡甲 (3526) ：去年每股純益6.13元，創10年新高，今年在伺服器與新能源車兩大業務帶動下，業績有望持續成長，股價漲1.18%。
2020-03-05T02:04:00.000Z,  19.凡甲 (3526) ：去年EPS 6.13元，創10年新高，擬每股配息5.91元，股價漲7.15%。
2020-08-12T07:51:00.000Z,"
&nbsp;
（封面圖／東森財經）&nbsp;
更多東森財經新聞報導
<a href=""https://fnc.ebc.net.tw/FncNews/stock/123526?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">台股「斷電」失守12700 分析師：多頭調整非轉空</a>
<a href=""https://fnc.ebc.net.tw/FncNews/life/123516?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">護國神山好威 台積電不但護台股還讓台南房價紅了</a>
<a href=""https://fnc.ebc.net.tw/FncNews/stock/123465?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">權王壓盤台股盤下震盪 分析師：台積電未翻空 不要這麼嚴苛！"
