PublishDate,Sentence
2017-02-08T07:04:00.000Z,　盤面上，電子權值股漲跌互見，鴻海 (2317) 、日月光 (2311) 強勢撐盤，台積電 (2330) 、聯發科 (2454) 雙雙走跌；印刷電路板上游玻纖、銅箔、銅箔基板吹漲風，上櫃玻纖3雄富喬 (1815) 、建榮 (5340) 、德宏 (5475) 攜手漲停。
2017-02-08T06:26:00.000Z,  雖美股續漲，在農曆年後外資對台股呈現小幅買賣超的狀態，本土資金才是主導的力量，因此，中小型電子股像是太陽能、董監改選股一棒接一棒，今日隨著印刷電路板上游玻纖、銅箔、銅箔基板吹漲風，上櫃玻纖3廠富喬 (1815) 、建榮 (5340) 、德宏 (5475) 盤中股價衝鋒漲停。
2017-02-08T03:26:00.000Z,  雖美股續漲，在農曆年後外資對台股呈現略賣超的狀態，本土資金才是主導的力量，因此，中小型電子股像是太陽能、董監改選股一棒接一棒，今日隨著印刷電路板上游玻纖、銅箔、銅箔基板吹漲風，上櫃玻纖3廠富喬 (1815) 、建榮 (5340) 、德宏 (5475) 盤中股價衝鋒漲停。
2017-03-30T00:59:00.000Z,3.PCB 上游材料反彈，台燿 (6274) 、富喬 (1815) 、建榮 (5340) 、德宏 (5475) 等上漲。
2017-08-22T02:52:00.000Z,此外，矽晶圓族群也是今天亮點所在，包括環球晶 (6488) 、中美晶 (5483) 聯袂大漲，PCB族群也在漲價效應激勵下，上游的德宏 (5475) 、建榮 (5340) 也續漲。
2018-10-25T02:10:00.000Z, 財政部長蘇建榮喊話，國安基金已經密切關注台股，只是目前全球政經局勢持續陷入不穩定，分析師就說，歐盟否決義大利明年預算，美國恐退出中程核導彈條約，啟動軍備競賽，區域不穩定情緒升溫，美中衝突待解，持續困擾台股，三大法人連二日同步賣超，台股除了短中長期均線全面下彎外，短均亦持續以陡峭角度下壓，顯示上檔壓力依舊沉重，雖勞動基金再撥140億元給投信代操，但在國際股市未走穩前，投信也不敢冒然進場，現階段建議待外資現貨轉為買超、權值股回穩，操作上宜避免反彈搶短。
2019-06-27T02:03:00.000Z, 32.建榮 (5340) ：獲外資連續回補買超5個交易日，早盤挾量彈升近7%，摸到季線。
2019-06-27T02:03:00.000Z, 32.建榮 (5340) ：獲外資連續回補買超5個交易日，早盤挾量彈升近7%，摸到季線。
2019-07-22T06:50:00.000Z,上週四台積電 (2330) 法說會對下半年電子產業釋出樂觀訊息，為飽受中美貿易戰衝擊的電子產業打了一劑強心針，尤其是台積電看好5G強勁需求，帶動5G相關個股漲勢再起，聯茂 (6213) 及穩懋 (3105) 漲停作收，具題材中小型股強攻，獲蘋果青睞的錸寶 (8104) 亮燈漲停，錸德 (2349) 也母憑子貴同喜漲停，宜特 (3289) 、智易 (3596) 、易飛網 (2734) 、創意 (3443) 、精材 (3374) 及建榮 (5340) 等均以漲停板作收，超眾 (6230) 、健策 (3653) 、科嘉-KY (5215) 等亦強勢收高，尾盤時雖然有玉晶光 (3406) 因棄息賣壓出籠殺低，但指數還是強勢收高。
2019-09-19T02:05:42.000Z,"
20.建榮 (5340) ：拉回休整幾日後，今天再度上攻，外資賣超3日計444張，自營商買超1日418張，股價漲3.72%。"
