PublishDate,Sentence
2017-02-13T07:44:00.000Z,電子、非金電持續挑戰 2015 年高點區、金融沿 5 日線上漲1. 電子股：電子指數週一以上漲 2.40 點的 391.37 點作收，將挑戰 394.84 點的 2015 年高點壓力；週一較強的電子股包括: IC 製造的 3532 台勝科、2337 旺宏、3707 漢磊、2408 南亞科、3016 嘉晶、2344 華邦電、6488 環球晶、2330 台積電；IC 設計的 3227 原相、8096 擎亞、3443 創意、5351 鈺創、6138 茂達、3035 智原、4966 譜瑞 - KY、4968 立積；封測的 6451 訊芯 - KY、3374 精材、2369 菱生、3567 逸昌、2449 京元電；PA 的 8086 宏捷科、3105 穩懋、2455 全新；LED 的 2340 光磊、3591 艾笛森、3031 佰鴻、2448 晶電；被動元件的 3236 千如、2456 奇力新、6173 信昌電、2472 立隆電、2492 華新科；PCB 的 5439 高技、4958 臻鼎 - KY、2402 毅 嘉、6269 台郡… 等。
2017-03-02T00:48:00.000Z,4.電子股：電子指數週三以下跌3.88點的390.22點作收，將回測月線；週三較強的電子股包括:  IC設計的3014聯陽、8096擎亞、3259鑫創、6415矽力-KY、6138茂達、6411晶焱、3094聯傑、2436偉詮電；IC製造的2337旺宏、2338光罩、5347世界；封測的3567逸昌、6257矽格、3264欣銓、3374精材；資訊服務的3029零壹、6214精誠、2427三商電、2480敦陽科；IPC的3416融程電、3088艾訊、3479安勤、8050廣積、3022威強電；電源相關的3078僑威、6412群電；被動元件的2492華新科、2327國巨、2375智寶、3026禾伸堂；PCB的6141柏承、3044健鼎、5439高技…等。
2017-03-02T00:48:00.000Z,4.電子股：電子指數週三以下跌3.88點的390.22點作收，將回測月線；週三較強的電子股包括:  IC設計的3014聯陽、8096擎亞、3259鑫創、6415矽力-KY、6138茂達、6411晶焱、3094聯傑、2436偉詮電；IC製造的2337旺宏、2338光罩、5347世界；封測的3567逸昌、6257矽格、3264欣銓、3374精材；資訊服務的3029零壹、6214精誠、2427三商電、2480敦陽科；IPC的3416融程電、3088艾訊、3479安勤、8050廣積、3022威強電；電源相關的3078僑威、6412群電；被動元件的2492華新科、2327國巨、2375智寶、3026禾伸堂；PCB的6141柏承、3044健鼎、5439高技…等。
2017-03-06T03:15:00.000Z,不過，日本雜誌引述經產省官員看法指出，如果最後由鴻海出線，並將擁有高技術含量的儲存型快閃記憶體(NAND Flash)生產線設在中國大陸，恐有技術遭竊疑慮，日本會全力阻止這樣的事情發生。
2017-05-19T03:37:00.000Z,　　林錦坤也指出，半導體業是高技術與高資本密集產業，一座晶圓廠投資動輒數千億元新台幣，其中，設備投資是最大宗，而對晶圓廠來說，機器設備效能也攸關競爭力，半導體設備本土化其效益不只會顯現在成本上，在風險控管上幫助也很大。
2018-08-23T02:14:00.000Z, 17.高技 (5439) ：高階Switch用板營收占比提升，毛利率可望逐季走揚，法人估算，今年每股獲利可望落在3.2元到3.4元間，股價漲停。
2019-01-03T07:06:00.000Z,5G族群、生醫及紡織股成為資金避風港，智邦 (2345) 、兆赫 (2485) 、聯發科 (2454) 、先豐 (5349) 、高技 (5439) 、譁裕 (3419) 逆勢揚，基亞 (3176) 、中裕 (4147) 、浩鼎 (4174) 挾利多題材強強滾，遠東新 (1402) 、聚陽 (1477) 等在旺季加持下相對抗跌。
2019-01-03T07:06:00.000Z,5G族群、生醫及紡織股成為資金避風港，智邦 (2345) 、兆赫 (2485) 、聯發科 (2454) 、先豐 (5349) 、高技 (5439) 、譁裕 (3419) 逆勢揚，基亞 (3176) 、中裕 (4147) 、浩鼎 (4174) 挾利多題材強強滾，遠東新 (1402) 、聚陽 (1477) 等在旺季加持下相對抗跌。
2019-03-18T06:28:00.000Z,　中美貿易戰緩解及全球資金寬鬆氣氛，讓全球股市多頭一發不可收拾，台股也在類股輪漲帶動上演驚驚漲走勢，今天盤面主角再由5G光通訊相關個股及中小型股扮演多頭總司令，威盛 (2388) 、全新 (2455) 、系微 (6231) 、敦泰 (3545) 、聚積 (3527) 、台揚 (2314) 、由田 (3455) 、宏達電 (2498) 、欣興 (3037) 以漲停板作收，穩懋 (3105) 、健策 (3653) 、光磊 (2340) 、高技 (5439) 、智邦 (2345) 、啟碁 (6285) 、矽瑪 (3511) 、智易 (3596) 等同步收高，搭配大立光 (3008) 、鴻海 (2317) 、台積 (2330) 及台塑 (1301) 等權值股力守紅盤，帶領台股指數開高走高，不僅順利站上年線，更站上10500點，終場加權股價指數為10512.7點，上漲73.46點，成交量1158.04億元；OTC指數為137.86點，上漲0.21點，成交量368.13億元。
2019-03-29T02:23:00.000Z, 29.華紙 (1905) ：積極布局高毛利與高技術紙品，並看好2020年立委總統大選期間，將帶動文紙銷量增加約5％以上，股價漲1.04%。
2019-03-29T02:23:00.000Z, 29.華紙 (1905) ：積極布局高毛利與高技術紙品，並看好2020年立委總統大選期間，將帶動文紙銷量增加約5％以上，股價漲1.04%。
