PublishDate,Sentence
2019-03-04T06:28:00.000Z, 受到股王大立光 (3008) 及台積電 (2330) 股價開高收低，台積電股價更由紅翻黑拖累，台股指數開低後一路走低，盤中一度下跌逾60點，所幸二線光學元件股、遊戲軟體、工具機等中小型股強出頭，電源供應器台達電 (2308) 帶領群電 (6412) 及康舒 (6282) 等強勢收高，工具機展開展，工具機的亞德客-KY (1590) 、上銀 (2049) 等走強，大立光及玉晶光 (3406) 漲多，資金輪動到先進光 (3362) 及佳凌 (4976) ，網龍 (3083) 、豐達科 (3004) 、生展 (8279) 、美律 (2439) 及傳奇 (4994) 漲停板作收，鈊象 (3293) 、康控-KY (4943) 、健鼎 (3044) 、欣興 (3037) 、台表科 (6278) 、優群 (3217) 及禾昌 (6158) 等逆勢收漲，穩住市場多頭信心，讓台股指數在尾盤小幅拉升，不過仍失守5日線，終場加權股價指數為10349.88點，下跌39.29點，成交量為1373.12億元；OTC指數為138.02點，上漲0.63點，成交量為347.39億元。
2019-03-04T03:53:00.000Z,228長假期間，全球股市持續籠罩在樂觀氣氛中，持續驚驚漲格局，台股依舊是光學元件、遊戲軟體、電源供應器、工具機等中小型股當道，股王—大立光 (3008) 、電源供應器—台達電 (2308) 、工具機的亞德客-KY (1590) 等產業龍頭股領軍上攻，網龍 (3083) 、豐達科 (3004) 、生展 (8279) 等盤中股價強攻漲停板，先進光 (3362) 、佳凌 (4976) 、健鼎 (3044) 、美律 (2439) 、台表科 (6278) 、優群 (3217) 及禾昌 (6158) 等強勢走高。
2019-03-04T06:28:00.000Z, 受到股王大立光 (3008) 及台積電 (2330) 股價開高收低，台積電股價更由紅翻黑拖累，台股指數開低後一路走低，盤中一度下跌逾60點，所幸二線光學元件股、遊戲軟體、工具機等中小型股強出頭，電源供應器台達電 (2308) 帶領群電 (6412) 及康舒 (6282) 等強勢收高，工具機展開展，工具機的亞德客-KY (1590) 、上銀 (2049) 等走強，大立光及玉晶光 (3406) 漲多，資金輪動到先進光 (3362) 及佳凌 (4976) ，網龍 (3083) 、豐達科 (3004) 、生展 (8279) 、美律 (2439) 及傳奇 (4994) 漲停板作收，鈊象 (3293) 、康控-KY (4943) 、健鼎 (3044) 、欣興 (3037) 、台表科 (6278) 、優群 (3217) 及禾昌 (6158) 等逆勢收漲，穩住市場多頭信心，讓台股指數在尾盤小幅拉升，不過仍失守5日線，終場加權股價指數為10349.88點，下跌39.29點，成交量為1373.12億元；OTC指數為138.02點，上漲0.63點，成交量為347.39億元。
2019-03-04T03:53:00.000Z,228長假期間，全球股市持續籠罩在樂觀氣氛中，持續驚驚漲格局，台股依舊是光學元件、遊戲軟體、電源供應器、工具機等中小型股當道，股王—大立光 (3008) 、電源供應器—台達電 (2308) 、工具機的亞德客-KY (1590) 等產業龍頭股領軍上攻，網龍 (3083) 、豐達科 (3004) 、生展 (8279) 等盤中股價強攻漲停板，先進光 (3362) 、佳凌 (4976) 、健鼎 (3044) 、美律 (2439) 、台表科 (6278) 、優群 (3217) 及禾昌 (6158) 等強勢走高。
2019-04-24T07:13:00.000Z,台股昨日「五度五關」登上「萬一」寶座，創下近七個月來新高，今日持續由雙王台積電 (2330) 創下270元天價、大立光 (3008) 走穩領軍，支撐指數守在11000點之上，蘋果AirPods概念的美律 (2439) 、康控-KY (4943) 以及連接器族群禾昌 (6158) 、宣德 (5457) ，和散熱族群超眾 (6230) 、雙鴻 (3324) 等強勢反彈相對亮眼，午盤過後因韓日陸港等亞股走弱拖累，指數由紅翻黑一度跌落萬一灘頭堡，尾盤買盤進場拉抬權值股，終場加權股價指數上漲1.96點為11027.64點，成交值略增為1205.74億元。
2019-04-24T07:13:00.000Z,其他包括連接器族群禾昌 (6158) 、宣德 (5457) 聯袂走強，散熱族群超眾 (6230) 、雙鴻 (3324) 、泰碩 (3338) 、奇鋐 (3017) 集體反彈相對強勢。
2019-04-24T02:09:00.000Z, 14.禾昌 (6158) ：擬配息10元，加上減資每股退5元，共計15元，股價跳空鎖漲停。
2019-04-26T02:06:00.000Z, 9.禾昌 (6158) ：擬配息10元，加上減資退回5元現金，股東每股共可領15元，股價漲停。
2019-09-18T02:15:26.000Z,"
23.禾昌 (6158) ：現金減資50%，舊股最後交易日為9月27日，新股10月7日上櫃，外資買超5日計532張，股價漲2.7%。"
2019-11-20T07:04:54.000Z,今日外資(不含外資自營商)買超10.1346億元，投信買超0.9679億元，自營商賣超37.6158億元，三大法人賣超26.51億元。
2019-11-20T07:04:00.000Z,今日外資(不含外資自營商)買超10.1346億元，投信買超0.9679億元，自營商賣超37.6158億元，三大法人賣超26.51億元。
