PublishDate,Sentence
2017-03-17T00:59:00.000Z,日期：2017年 3月17日※本日焦點股美律、國泰金、宜鼎、可成、立積、台苯、聯茂、瀚荃、精元、盛群、盟立、威剛、勝一、久威、西勝、偉訓、雷科、泰銘※昨日盤勢解析歐股週三收盤前仍觀望美國利率決策、荷蘭大選，西歐三大指數小幅上漲。
2017-04-07T07:08:00.000Z,所幸股王大立光 (3008) 盤中翻紅、收在4700元，宏達電 (2498) 也在3月營收雙成長下，股價逆勢抗跌；3月營收告捷的智伸科 (4551) 、邑錡 (7402) 、德微 (3675) 、偉詮電 (2436) 、雷科 (6207) 等無懼大盤重挫攜手攻上漲停，表現最為亮眼；網通股昇達科 (3491) 、智邦 (2345) 、明泰 (3380) 、眾達-KY (4977) 等續扮多頭指標強勢走揚。
2017-04-07T00:58:00.000Z,日期：2017年 4月 7日※本日焦點股智邦、台塑、宜鼎、綠悅-KY、欣銓、榮化、威剛、旺矽、光寶科、第一金、金像電、久威、雷科、新光鋼、聖暉、聯穎、晶采※昨日盤勢解析聯邦公開市場委員會(FOMC)會議記錄顯示聯準會(Fed)考慮縮減資產負債表規模，引發貨幣環境將日趨緊縮的疑慮，週三美股四大指數下跌。
2017-04-24T01:00:00.000Z,日期：2017年 4月24日※本日焦點股VHQ-KY、雷科、大立光、信昌電、雅茗-KY、中橡、倉佑、美隆電、松翰、盛群、群電、九齊、福盈科、崧騰、宇峻、博磊、德微※昨日盤勢解析法國中間路線總統候選人馬克宏(Emmanuel  Macron)選情樂觀，激勵歐股走揚，法國 CAC 40 指數大漲 1.48%。
2018-07-03T02:22:00.000Z,  23.雷科 (6207) ：受惠於客戶端擴產效益，被動元件上游設備和材料廠的機器設備接單直到年底，股價漲4.54%。
2018-07-04T07:06:00.000Z,台股今日由比特幣挖礦及被動元件族群擔綱演出，台積電 (2330) 因到四川洪災將有急單消息鼓舞勁揚，激勵挖礦概念股撼訊 (6150) 、映泰 (2399) 及青雲 (5386) 同鎖漲停，被動元件族群在禾伸堂 (3026) 、雷科 (6207) 、蜜望實 (8043) 同步漲停下表現搶眼，帶動指數向上攻高，惟市場買盤仍受制中美貿易戰呈現觀望，多空於年線附近進行激戰，終場加權指數上漲6.15點為10721.87點，五日線無功而返，成交值縮至1219.63億元。
2018-07-04T07:06:00.000Z,被動元件股人氣依然火熱，禾伸堂 (3026) 、雷科 (6207) 、蜜望實 (8043) 強攻漲停，國巨 (2327) 、華新科 (2492) 高檔震盪。
2018-07-04T06:05:00.000Z,人氣指標之被動元件股王國巨 (2327) 高檔震盪翻紅，高價的華新科 (2492) 、禾伸堂 (3026) 股價震盪收高；資金並轉進百元以下的雷科 (6207) 、蜜望實 (8043) 等股。
2018-07-04T03:04:00.000Z,  台積電開高，帶動台股今早開高，但被動元件股王國巨 (2327) 高檔震盪，高價的華新科 (2492) 、禾伸堂 (3026) 股價亦震盪；資金轉進百元以下的雷科 (6207) 、蜜望實 (8043) 等股。
2018-07-03T02:22:00.000Z,  23.雷科 (6207) ：受惠於客戶端擴產效益，被動元件上游設備和材料廠的機器設備接單直到年底，股價漲4.54%。
2018-07-04T07:06:00.000Z,台股今日由比特幣挖礦及被動元件族群擔綱演出，台積電 (2330) 因到四川洪災將有急單消息鼓舞勁揚，激勵挖礦概念股撼訊 (6150) 、映泰 (2399) 及青雲 (5386) 同鎖漲停，被動元件族群在禾伸堂 (3026) 、雷科 (6207) 、蜜望實 (8043) 同步漲停下表現搶眼，帶動指數向上攻高，惟市場買盤仍受制中美貿易戰呈現觀望，多空於年線附近進行激戰，終場加權指數上漲6.15點為10721.87點，五日線無功而返，成交值縮至1219.63億元。
2018-07-04T07:06:00.000Z,被動元件股人氣依然火熱，禾伸堂 (3026) 、雷科 (6207) 、蜜望實 (8043) 強攻漲停，國巨 (2327) 、華新科 (2492) 高檔震盪。
2018-07-04T06:05:00.000Z,人氣指標之被動元件股王國巨 (2327) 高檔震盪翻紅，高價的華新科 (2492) 、禾伸堂 (3026) 股價震盪收高；資金並轉進百元以下的雷科 (6207) 、蜜望實 (8043) 等股。
2018-07-04T03:04:00.000Z,  台積電開高，帶動台股今早開高，但被動元件股王國巨 (2327) 高檔震盪，高價的華新科 (2492) 、禾伸堂 (3026) 股價亦震盪；資金轉進百元以下的雷科 (6207) 、蜜望實 (8043) 等股。
2019-03-29T02:23:00.000Z, 30.雷科 (6207) ：擬配息2.5元，殖利率約8.26%，股價漲2.64%。
2019-03-29T02:23:00.000Z, 30.雷科 (6207) ：擬配息2.5元，殖利率約8.26%，股價漲2.64%。
2019-04-22T07:03:00.000Z, 盤面上，大陸5G有進展，台灣網通廠前景可望順勢而上，網通族群今扮演多頭前鋒，合勤控一開盤即跳空漲停鎖死、成交量衝出26015張，中磊 (5388) 也爆出16207張成交量、股價最高飆上73.3元，帶動正文 (4906) 、智邦 (2345) 、譁裕 (3419) 、友訊 (2332) 等聯袂上漲，成為今日多頭主力之一。
