PublishDate,Sentence
2017-05-10T07:05:00.000Z,低檔反彈及業績加持的中小型股表現活潑，被動元件族群華新科 (2492) 、國巨 (2327) 、蜜望實 (8043) 、禾伸堂(302６)攜手走揚，二線鏡頭廠聯一光 (3441) 在4月營收大增下亮燈漲停，先進光 (3362) 、今國光 (6209) 、亞光 (3019) 順勢拉高。
2017-05-10T06:29:00.000Z,  大型權值股在今日並無發揮領軍作用，股王大立光 (3008) 股價下跌50元，收在4945元，台積電 (2330) 小漲收在205.5元，面板雙虎友達 (2409) 、群創 (3481) 今相對有撐，股價分別收漲1.2%、1.9%，今日盤面權值股焦點莫過於昨日法說落幕的宏達電 (2498) ，儘管第一季持續虧損，但毛利率衝上6季新高，股價收在漲停價69.3元，  今日盤面以低檔反彈股、以及業績掛帥的中小型個股表現活潑，被動元件族群華新科 (2492) 、國巨 (2327) 、蜜望實 (8043) 、禾伸堂 (3062) 強勢走揚，二線鏡頭廠聯一光 (3441) 也在4月營收大增下，終場以39.15元漲停作收，先進光 (3362) 、今國光 (6209) 、亞光 (3019) 等也順勢拉高。
2018-04-17T08:09:00.000Z,  盤面上，受惠3月被動元件需求強勁，利基產品出貨成長，今日被動元件族群持續上攻，華新科 (2492) 、日電貿 (3090) 、蜜望實 (8043) 表現搶眼，昨日創高的國巨 (2327) 今日稍事休息，持穩盤上。
2018-04-17T07:14:00.000Z,受惠3月被動元件需求強勁，利基產品出貨成長，被動元件族群持續上攻，華新科 (2492) 大漲，日電貿 (3090) 、蜜望實 (8043) 抗跌，昨日創高的國巨 (2327) 今日稍事休息，收跌2%。
2018-05-11T02:29:00.000Z,  被動元件股今呈現強者恆強，龍頭股國巨 (2327) 開高震盪，一度站上「9」字頭大關，最高達905元，禾伸堂 (3062) 更一度漲停，華新科 (2492) 上漲逾6%，信昌電 (6173) 、蜜望實 (8043) 、奇力新 (2456) 、大毅 (2478) 、鈞寶 (6155) 等也同步上漲，族群多方步伐整齊。
2018-05-14T07:16:00.000Z,缺貨漲價題材持續當道，被動元件族群龍頭股國巨 (2327) 4月每股盈餘7.43元驚豔市場，帶動華新科 (2492) 、禾伸堂 (3026) 、蜜望實 (8043) 及達方 (8163) 同步漲停，日電貿 (3090) 、奇力新 (2456) 及堡達 (3537) 緊跟在後；矽晶圓族群受惠矽晶圓恐將缺貨到2021年，環球晶 (6488) 、台勝科 (3532) 、合晶 (6182) 、嘉晶 (3016) 、中美晶 (5483) 全面漲停。
2018-05-17T06:15:00.000Z,  近來強勢漲多的被動元件今因傳出日系MLCC大廠村田製作所(Murata)擬調撥部分產能給台系組裝廠，被動元件族群重摔一地，國巨 (2327) 開低走低收在跌停，禾伸堂 (3062) 、華新科 (2492) 、蜜望實 (8043) 等股也全數跌停。
2018-05-17T03:22:00.000Z,值得注意的是，近期漲勢凌厲的被動元件族群股價鬆動，被動元件龍頭國巨 (2327) 今天盤中下跌92元，至834元，跌幅9.94%，華新科 (2492) 、禾伸堂 (3026) 、蜜望實 (8043) 、大毅 (2478) 、信昌電 (6173) 今天均鎖住跌停，分別來到281.5元、216元、42.75元、71.6元、71.6元。
2018-05-28T03:10:00.000Z,近期漲勢凌厲的被動元件族群股價再度點火，立隆 (2472) 、台嘉碩 (3221) 、光頡 (3624) 、立敦 (6175) 、今展科 (6432) 、鈺邦 (6449) 、蜜望實 (8043) 、達方 (8163) 今天均攻上漲停，分別來到76.3元、24.8元、55.7元、53.3元、23.9元、74.8元、51.6元、66.1元。
2018-05-29T06:44:00.000Z,  盤面上，被動元件族群今日開盤後明顯回測，國巨 (2327) 一度重挫逾6%，股價陷千元保衛戰，惟尾盤跌勢縮小，終場上漲25元、以1090元作收，續創新高，而市場預期；MOSFET恐缺貨到明年上半年，為中小型矽晶圓廠增添利多，茂矽 (2342) 開盤半小時不到即攻頂漲停達43.15元，嘉晶 (3016) 股價一度漲停、合晶 (6182) 衝出逾10萬張大量，股價分別收漲2.84%、2.47%，表現搶眼，其餘九豪 (6127) 、蜜望實 (8043) 、大毅 (2478) 、越峰 (8121) 均漲停作收，讓二線矽晶圓廠成為今天多頭主力之一。
