PublishDate,Sentence,Score
2017-10-30T07:44:00.000Z,韓媒Pulse 27日報導(見此)，三星擬斥資6兆韓圜(53億美元)在南韓華城(Hwaseong)，打造18號線晶圓代工廠。,0
2017-10-30T07:44:00.000Z,不過外傳南韓政府的交通衝擊報告預測，三星在華城建廠和水原(Suwon)的新住宅建案，會讓華城和水原之間的塞車情況惡化。,-1
2017-10-30T07:44:00.000Z,華城市政府要求三星出資，協助興建造價700億韓圜的地下公路，紓解交通壅塞，遭到三星回絕。,-1
2017-10-30T07:44:00.000Z,三星指控華城市建房政策有問題，才是交通惡化主因。,-6
2017-10-30T07:44:00.000Z,華城市政府一怒拒發新廠執照，雙方仍在商談，目前看來，18號線廠恐怕無法如期在11月破土施工。,-4
2017-10-30T07:44:00.000Z,韓媒BusinessKorea 8月19日報導，三星華城廠的18號線原定明年動工，三星決定提前至今年11月破土。,1
2017-10-30T07:44:00.000Z,華城廠為綜合晶圓廠，生產DRAM、3D NAND flash、系統半導體等。,1
2017-10-31T03:59:00.000Z,韓媒etnews 31日報導(見此)，據了解三星正在改裝南韓華城(Hwasung)廠16號線，此一產線原本生產2D NAND，明年第一季起將量產DRAM。,3
2017-10-31T03:59:00.000Z,預計2018年三星在華城廠和平澤廠的DRAM產出將增加6萬組，規模不算太大。,2
2017-10-31T03:59:00.000Z,問題在2018年下半之後，三星計畫把華城16號線全數用於生產DRAM，若閒置空間全數使用，DRAM產能將增加13.5萬組。,0
2017-10-31T03:59:00.000Z,韓媒etnews 31日報導(見此)，據了解三星正在改裝南韓華城(Hwasung)廠16號線，此一產線原本生產2D NAND，明年第一季起將量產DRAM。,3
2017-10-31T03:59:00.000Z,預計2018年三星在華城廠和平澤廠的DRAM產出將增加6萬組，規模不算太大。,2
2017-10-31T03:59:00.000Z,問題在2018年下半之後，三星計畫把華城16號線全數用於生產DRAM，若閒置空間全數使用，DRAM產能將增加13.5萬組。,0
2017-10-30T07:44:00.000Z,韓媒Pulse 27日報導(見此)，三星擬斥資6兆韓圜(53億美元)在南韓華城(Hwaseong)，打造18號線晶圓代工廠。,0
2017-10-30T07:44:00.000Z,不過外傳南韓政府的交通衝擊報告預測，三星在華城建廠和水原(Suwon)的新住宅建案，會讓華城和水原之間的塞車情況惡化。,-1
2017-10-30T07:44:00.000Z,華城市政府要求三星出資，協助興建造價700億韓圜的地下公路，紓解交通壅塞，遭到三星回絕。,-1
2017-10-30T07:44:00.000Z,三星指控華城市建房政策有問題，才是交通惡化主因。,-6
2017-10-30T07:44:00.000Z,華城市政府一怒拒發新廠執照，雙方仍在商談，目前看來，18號線廠恐怕無法如期在11月破土施工。,-4
2017-10-30T07:44:00.000Z,韓媒BusinessKorea 8月19日報導，三星華城廠的18號線原定明年動工，三星決定提前至今年11月破土。,1
2017-10-30T07:44:00.000Z,華城廠為綜合晶圓廠，生產DRAM、3D NAND flash、系統半導體等。,1
