PublishDate,Sentence
2017-03-22T00:59:00.000Z,2.電機機械個股表現，力山 (1515) 、正道 (1506) 、利奇 (1517) 、亞力 (1514) 、金雨 (4503) 上漲。
2017-07-10T08:45:00.000Z,證交所表示，截至7月7日止，外資買超2530.80億元，總持股市值12兆6564.90億元，占全體上市股票市值41.55%，較6月30日減少1506.97億元。
2017-07-24T03:56:00.000Z,  車載鏡頭廠—今國光 (6209) 強攻漲停板，亞光 (3019) 大漲創1個股高價，蘋果概念股—華通 (2313) 、康控-KY (4943) 分別創下15年來新高價及上市新天價，聯茂 (6213) 、能率豐 (8071) 、正道 (1506) 、聯亞 (3081) 強勢走高，連今年以來弱勢的生技股亦有轉強跡象，智擎 (4162) 、中裕 (4147) 股價持續上攻，搭配造紙類股反彈，穩住台股走勢，截至11點35分為止，加權股價指數為10430.23點，下跌6.47點，成交量為496.42億元；OTC指數為138.47點，下跌0.14點，成交量為171.8億元。
2019-11-05T09:16:12.000Z,"
12.南亞科 (2408) ：每股成交價70.4元，成交量21萬4000股，成交金額1506萬5600元。"
2020-01-06T09:17:15.000Z,"
5.正道 (1506) ：每股成交價13.25元，成交量50萬股，成交金額662萬5000元。"
2020-01-17T09:11:24.000Z,"
23.漢平 (2488) ：每股成交價32.75元，成交量46萬股，成交金額1506萬5000元。"
2020-01-31T09:13:24.000Z,"
9.台積電 (2330) ：每股成交價320.43元，成交量4萬7000股，成交金額1506萬210元。"
2020-01-31T09:13:24.000Z,"
9.台積電 (2330) ：每股成交價320.43元，成交量4萬7000股，成交金額1506萬210元。"
2020-02-25T02:10:07.000Z,新冠肺炎疫情延燒，全球多國陷入苦戰，衝擊國際金融、產業、經濟，昨夜美股道瓊下殺千餘點，四大指數全面收黑，日股今早補跌重挫逾800點，台股在央行信心喊話下，3月台指期今日開盤跌逾110點，電子期、金融期也聯袂開低，但仍相對國際股市抗跌，隨後大盤開11506.74點、跌28.13點，店頭市場開146.22點、跌0.34點，盤初在權值大軍續弱之下，大盤一度急跌逾百點、探至11415.47點，測試5日線。
2020-02-25T02:10:00.000Z,新冠肺炎疫情延燒，全球多國陷入苦戰，衝擊國際金融、產業、經濟，昨夜美股道瓊下殺千餘點，四大指數全面收黑，日股今早補跌重挫逾800點，台股在央行信心喊話下，3月台指期今日開盤跌逾110點，電子期、金融期也聯袂開低，但仍相對國際股市抗跌，隨後大盤開11506.74點、跌28.13點，店頭市場開146.22點、跌0.34點，盤初在權值大軍續弱之下，大盤一度急跌逾百點、探至11415.47點，測試5日線。
