PublishDate,Sentence
2017-03-22T00:59:00.000Z,2.電機機械個股表現，力山 (1515) 、正道 (1506) 、利奇 (1517) 、亞力 (1514) 、金雨 (4503) 上漲。
2017-04-18T02:53:00.000Z,大同 (2371) 改選董事法律戰，台灣高等法院今日對新大同抗告案首度開庭，昨外資相挺買超784張，激勵大同今日股價強彈約4.35%、盤初最高達11.05元，加上為升 (2231) 打入ADAS市場，股價飆上300元，帶動力山 (1515) 、日馳 (1526) 等連袂走揚，推升電機類指上漲約1.7%。
2017-10-15T02:10:00.000Z,　另外，本周較重要的影響因素還有科技公司與中小型股法說會、海外說明會及新股買賣等，前者有工信、南亞科、華友聯、力山、IET-KY以及光罩等公司，將陸續舉行法說會，而同欣電、美時、立積、康控-KY、精測等有排定海外說明會行程，第3季業績表現及對第4季營運展望，攸關個股行情表現。
2017-10-31T07:10:00.000Z,周一美股漲多回檔，惟蘋果股價再創波段新高，激勵台股蘋果鏈三天王台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 聯袂走揚，使指數開高趨堅，盤中受到旺宏 (2337) 、力山 (1515) 等中小型股點火強攻，推升指數再度衝關10800點，一度攻抵10829.33點，尾盤在大立光等權值股殺盤下，使指數漲幅收斂，終場加權指數上漲36.93點為10793.8點，10800點雖再度闖關失利，仍創下近27年收盤新高，月線翻紅大漲409.86點，成交值為1175.27億元。
2017-10-31T07:10:00.000Z,傳產股方面，台塑集團台塑 (1301) 、南亞 (1303) 台塑化 (6505) 聯袂走揚，拌穩盤要角；力山 (1515) 10月營收戰新高，今日爆量大漲8.6%，領漲電機股。
2017-10-31T06:31:00.000Z,力山 (1515) 身處旺季，10月營收戰新高，昨獲三大法人聯手買超1559張，今爆出1.2萬餘張大量、股價大漲8.6%，收在68元高位，領漲電機類股。
2017-10-31T02:46:00.000Z,盤初受困華映 (2475) 、群創 (3481) 等面板族群疲弱不振，牽制大盤於10765點上下狹幅震盪，隨後盤中旺宏 (2337) 、華東 (8110) 、達運 (6120) 、瀚宇博 (5469) 、力山 (1515) 等中小型股積極強攻，大盤漲點稍有放大，企圖再戰10800點關卡。
2017-10-31T07:10:00.000Z,周一美股漲多回檔，惟蘋果股價再創波段新高，激勵台股蘋果鏈三天王台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 聯袂走揚，使指數開高趨堅，盤中受到旺宏 (2337) 、力山 (1515) 等中小型股點火強攻，推升指數再度衝關10800點，一度攻抵10829.33點，尾盤在大立光等權值股殺盤下，使指數漲幅收斂，終場加權指數上漲36.93點為10793.8點，10800點雖再度闖關失利，仍創下近27年收盤新高，月線翻紅大漲409.86點，成交值為1175.27億元。
2017-10-31T07:10:00.000Z,傳產股方面，台塑集團台塑 (1301) 、南亞 (1303) 台塑化 (6505) 聯袂走揚，拌穩盤要角；力山 (1515) 10月營收戰新高，今日爆量大漲8.6%，領漲電機股。
2017-10-31T06:31:00.000Z,力山 (1515) 身處旺季，10月營收戰新高，昨獲三大法人聯手買超1559張，今爆出1.2萬餘張大量、股價大漲8.6%，收在68元高位，領漲電機類股。
2017-10-31T02:46:00.000Z,盤初受困華映 (2475) 、群創 (3481) 等面板族群疲弱不振，牽制大盤於10765點上下狹幅震盪，隨後盤中旺宏 (2337) 、華東 (8110) 、達運 (6120) 、瀚宇博 (5469) 、力山 (1515) 等中小型股積極強攻，大盤漲點稍有放大，企圖再戰10800點關卡。
2018-10-21T07:50:00.000Z,國泰證期副總經理錢冠州指出，全球股市陷入震盪，亞股走弱，台股中多格局轉弱，且上周成交量甚至一度跌破千億元，顯見市場人氣不足，後續上漲宜放量；本周投資組合前兩大為FH香港反1 （00651R） 、國泰中國A50反1 （00656R） ，亦布局國泰臺灣加權反1 （00664R） 、勤美 （1532） 、台航 （2617） 、瑞基 （4171） 及力山 （1515） 。
2019-02-11T02:01:00.000Z, 5.力山 (1515) ：在中美貿易戰中被看好為受惠股，加上營運基本面佳，激勵早盤股價衝上92.6元波段新高。
2019-05-22T02:13:00.000Z, 4.力山 (1515) ：股東常通過配息2元，另董座表示備妥產能迎轉單商機，早盤不理外資昨擴大賣超，股價上漲約2.7%。
2019-06-10T02:06:00.000Z, 6.力山 (1515) ：5月營收雖月減17.2%，但仍年增64.53%，且外資5月下旬以來偏多操作，激勵早盤股價彈上83.4元、漲幅約2.9%。
2019-06-11T23:59:00.000Z,　除了台積電外，據統計，到7月中旬將密集除息股，獲得外資近日買盤青睞股，還有12日將除息的泰山，以及陸續接棒的GIS-KY、信義、中再保、永光、宏捷科、力山、大毅、泰詠、成霖、奇力新、神基、隆達、禾伸堂等。
2019-08-14T07:10:00.000Z,傳產股中水泥、電機、紡織、塑膠等聚積人氣，台泥 (1101) 、亞泥 (1102) 、力山 (1514) 、亞德客-KY (1590) 、上銀 (2049) 、儒鴻 (1476) 、聚陽 (1477) 、台塑 (1301) 、國喬 (1312) 等表現相對強勢。
2019-08-26T07:24:56.000Z,今日外資(不含外資自營商)賣超143.7187億元，投信賣超5.2458億元，自營商賣超13.1515億元，三大法人賣超162.11億元。
2019-08-26T07:24:00.000Z,今日外資(不含外資自營商)賣超143.7187億元，投信賣超5.2458億元，自營商賣超13.1515億元，三大法人賣超162.11億元。
2019-09-26T07:08:00.000Z,受惠健身器材出貨暢旺，喬山 (1736) 、力山 (1515) 亦同步跟風上揚。
2019-10-04T09:11:54.000Z,"
6.國巨 (2327) ：每股成交價261.25元，成交量5萬8000股，成交金額1515萬2500元。"
2019-10-04T09:11:54.000Z,"
6.國巨 (2327) ：每股成交價261.25元，成交量5萬8000股，成交金額1515萬2500元。"
2019-10-31T09:15:08.000Z,"
6.力山 (1515) ：每股成交價79.33元，成交量162萬1000股，成交金額1億2859萬3930元。"
2019-10-31T09:15:08.000Z,"
7.力山 (1515) ：每股成交價79.3元，成交量333萬3000股，成交金額2億6430萬6900元。"
2019-10-31T09:15:08.000Z,"
6.力山 (1515) ：每股成交價79.33元，成交量162萬1000股，成交金額1億2859萬3930元。"
2019-10-31T09:15:08.000Z,"
7.力山 (1515) ：每股成交價79.3元，成交量333萬3000股，成交金額2億6430萬6900元。"
2019-11-08T06:27:58.000Z,MSCI明晟全球小型指數今公布最新季度調整，本次台灣成分股新增16檔，本次新增股中今有力山 (1515) 大漲6.6%，鈺齊-KY (9802) 收漲幅2%，立積 (4968) 上漲約2%。
2019-11-08T06:27:00.000Z,MSCI明晟全球小型指數今公布最新季度調整，本次台灣成分股新增16檔，本次新增股中今有力山 (1515) 大漲6.6%，鈺齊-KY (9802) 收漲幅2%，立積 (4968) 上漲約2%。
2019-11-08T03:03:07.000Z,全球小型指數台灣成分股新增股表現方面，嘉泥 （1103） 、喬山 （1736） 、力山 （1515） 、新唐 （4919） 、立積 （4968） 、瀚宇博 （5469） 、超眾 （6230） 、是方 （6561） 、鈺齊-KY （9802） 等喜上眉梢，晨盤股價聯袂勁揚，雙鴻 （3324） 、健策 （3653） 、智伸科 （4551） 、訊芯-KY （6451） 、宏捷科 （8086） 、柏文 （8462） 等市場不買單，股價呈現弱勢整理。
2019-12-03T04:26:00.000Z,　截至12點，加權指數上漲12.37點、為11515.20點，最高上漲25.76點、至11528.59點，成交量估萎縮至近1100億元。
2019-12-03T04:26:00.000Z,　截至12點，加權指數上漲12.37點、為11515.20點，最高上漲25.76點、至11528.59點，成交量估萎縮至近1100億元。
2019-12-10T02:08:00.000Z, 18.力山 (1515) ：11月合併營收6.41億元，年減33.36%，早盤摔下5日線，險守平盤。
2020-02-19T09:17:27.000Z,"
23.研華 (2395) ：每股成交價309.25元，成交量4萬9000股，成交金額1515萬3250元。"
2020-02-20T02:06:00.000Z,  29.力山 (1515) ：陸廠逐步復工，健身新品拼H2放量，早盤開平走高、漲逾2%。
2020-03-04T07:08:00.000Z,　題材股獲買盤青睞，備受關注的東京奧運獲國際奧委會拍板今年如期舉行，激勵概念股力山 (1515) 、寶成 (9904) 、美利達 (9914) 、巨大 (9921) 等漲聲慶賀。
2020-03-04T02:08:20.000Z,"
28.力山 (1515) ：外資連2日買超，早盤漲逾2%。"
2020-03-04T02:08:00.000Z,  28.力山 (1515) ：外資連2日買超，早盤漲逾2%。
2020-03-04T07:08:00.000Z,　題材股獲買盤青睞，備受關注的東京奧運獲國際奧委會拍板今年如期舉行，激勵概念股力山 (1515) 、寶成 (9904) 、美利達 (9914) 、巨大 (9921) 等漲聲慶賀。
2020-03-04T02:08:20.000Z,"
28.力山 (1515) ：外資連2日買超，早盤漲逾2%。"
