PublishDate,Sentence
2018-04-19T05:51:00.000Z,加權股價指數終場上漲123.33點，漲幅1.14%，收在10971.22點，成交值新台幣1530.42億元，呈現價量俱揚格局。
2019-04-01T07:17:00.000Z,台股集中市場今日開盤在鴻海 (2317) 喊衝、台積電 (2330) 助攻之下，以 10714.68點開出、大漲73.64點，一舉突破10700關，隨後鴻海多頭挾業績題材大噴發，激勵鴻準 (2354) 、GIS-KY (6456) 、京鼎 (3413) 、乙盛-KY (5243) 等鴻家軍攜手攻高，拉抬其他電子族群指數飆漲7.02%，大盤指數隨之衝上10735.07點，惟股王大立光 (3008) 接近午盤股價翻黑走弱，引發台積電調節賣壓跟隨現蹤，集中市場漲幅急速收斂，更一度翻黑探至10642.62點，終場收10642.63點，小漲1.59點，總成交值放大至1530.57億元。
2019-04-01T06:45:00.000Z, 不過由於清明節長假將至，逢高獲利了結賣壓在中場過後出籠，大立光 (3008) 下殺，亞光 (3019) 、新鉅科 (3630) 急跌，台積電 (2330) 亦開高走低，指數出現急殺翻黑，尾盤時才因鴻海 (2317) 亮燈漲停勉力守住紅盤，今天台股指數宛如愚人節開了一場玩笑，終場加權股價指數為10642.63點，上漲1.59點，成交量1530.57億元；OTC指數為140.03點，上漲0.46點，成交量384.8億元。
2019-04-01T07:17:00.000Z,台股集中市場今日開盤在鴻海 (2317) 喊衝、台積電 (2330) 助攻之下，以 10714.68點開出、大漲73.64點，一舉突破10700關，隨後鴻海多頭挾業績題材大噴發，激勵鴻準 (2354) 、GIS-KY (6456) 、京鼎 (3413) 、乙盛-KY (5243) 等鴻家軍攜手攻高，拉抬其他電子族群指數飆漲7.02%，大盤指數隨之衝上10735.07點，惟股王大立光 (3008) 接近午盤股價翻黑走弱，引發台積電調節賣壓跟隨現蹤，集中市場漲幅急速收斂，更一度翻黑探至10642.62點，終場收10642.63點，小漲1.59點，總成交值放大至1530.57億元。
2019-04-01T06:45:00.000Z, 不過由於清明節長假將至，逢高獲利了結賣壓在中場過後出籠，大立光 (3008) 下殺，亞光 (3019) 、新鉅科 (3630) 急跌，台積電 (2330) 亦開高走低，指數出現急殺翻黑，尾盤時才因鴻海 (2317) 亮燈漲停勉力守住紅盤，今天台股指數宛如愚人節開了一場玩笑，終場加權股價指數為10642.63點，上漲1.59點，成交量1530.57億元；OTC指數為140.03點，上漲0.46點，成交量384.8億元。
2019-08-01T07:10:03.000Z,除息個股部分，達麗 (6177) 、必應 (6625) 、嘉澤 (3533) 等填息路上順利，而除息首日出師不利，統一、亞崴 (1530) 、力成 (6239) 等皆臉窘貼息。
2019-08-01T07:10:00.000Z,除息個股部分，達麗 (6177) 、必應 (6625) 、嘉澤 (3533) 等填息路上順利，而除息首日出師不利，統一、亞崴 (1530) 、力成 (6239) 等皆臉窘貼息。
2019-08-01T07:10:03.000Z,除息個股部分，達麗 (6177) 、必應 (6625) 、嘉澤 (3533) 等填息路上順利，而除息首日出師不利，統一、亞崴 (1530) 、力成 (6239) 等皆臉窘貼息。
2019-08-01T07:10:00.000Z,除息個股部分，達麗 (6177) 、必應 (6625) 、嘉澤 (3533) 等填息路上順利，而除息首日出師不利，統一、亞崴 (1530) 、力成 (6239) 等皆臉窘貼息。
2019-10-22T09:16:06.000Z,"
20.旭隼 (6409) ：每股成交價665.5元，成交量2萬3000股，成交金額1530萬6500元。"
2020-02-24T02:08:00.000Z,  7.亞崴 (1530) ：大陸廠今日復工，H2訂單可望回溫，早盤放量彈升逾3%，躍過5日線、月線。
2020-04-29T12:43:56.000Z,"
至於新進員工起薪，台積電108年碩士及以上學歷新進員工平均起薪為4萬8130元，較107年的4萬6600元高出1530元；大專新進員工平均起薪3萬2530元，僅小幅增加30元。"
2020-04-29T12:43:56.000Z,"
至於新進員工起薪，台積電108年碩士及以上學歷新進員工平均起薪為4萬8130元，較107年的4萬6600元高出1530元；大專新進員工平均起薪3萬2530元，僅小幅增加30元。"
2020-09-21T02:25:55.000Z,"
台積電盤中股價一度達新台幣450元，漲6元，漲幅1.35%，市值11.66兆元；祥碩股價一度達1530元，漲55元，漲幅3.72%。"
