PublishDate,Sentence
2018-09-09T08:48:00.000Z,7日台股在國際情勢紛擾、盤面主流類股輪動及籌碼面臨漲多整理壓力，呈現震盪格局，但重要權值股表現有撐，且外資仍小幅買超新台幣10.28億元，有利下檔支撐，終場以下跌77.31點，收在10846.99點，成交量1532.58億元。
2018-10-21T07:50:00.000Z,國泰證期副總經理錢冠州指出，全球股市陷入震盪，亞股走弱，台股中多格局轉弱，且上周成交量甚至一度跌破千億元，顯見市場人氣不足，後續上漲宜放量；本周投資組合前兩大為FH香港反1 （00651R） 、國泰中國A50反1 （00656R） ，亦布局國泰臺灣加權反1 （00664R） 、勤美 （1532） 、台航 （2617） 、瑞基 （4171） 及力山 （1515） 。
2018-11-15T07:20:00.000Z,而財報利多個股如欣陸 (3703) 、櫻花 (9911) 、勤美 (1532) 、藍天 (2362) 、訊芯-KY (6451) 、泰鼎-KY (4927) 、競國 (6108) 、楠梓電 (2316) 、華通 (2313) 、矽統 (2363) 皆有買方進駐。
2018-12-03T02:10:00.000Z, 5.勤美 (1532) ：近10億豪宅售出，推升Q4獲利，早盤股價漲逾4.5%。
2018-12-04T07:15:00.000Z,鋼價止跌在望，今日由中鋼 (2002) 人氣擁簇領鋼鐵股上揚，該族群的勤美 (1532) 、豐興 (2015) 、世紀鋼 (9958) 、新鋼 (2032) 、燁輝 (2023) 、燁興 (2007) 、東和鋼鐵 (2006) 均守穩紅盤上。
2018-12-03T02:10:00.000Z, 5.勤美 (1532) ：近10億豪宅售出，推升Q4獲利，早盤股價漲逾4.5%。
2018-12-04T07:15:00.000Z,鋼價止跌在望，今日由中鋼 (2002) 人氣擁簇領鋼鐵股上揚，該族群的勤美 (1532) 、豐興 (2015) 、世紀鋼 (9958) 、新鋼 (2032) 、燁輝 (2023) 、燁興 (2007) 、東和鋼鐵 (2006) 均守穩紅盤上。
2019-03-27T07:13:00.000Z,機電股亞德客-KY (1590) 擁高券資比及高股息題材噴出大漲近6%，帶動智伸科 (4551) 、寶一 (8222) 、車王電 (1533) 、勤美 (1532) 等集體勁揚，漲幅稱霸上市類股。
2019-03-29T02:23:00.000Z, 2.勤美 (1532) ：擬配息2.7元，優於106年配息1.5元，惟外資連日賣超，MACD多轉空，衝擊早盤股價重挫逾5.5%，摔出季線。
2019-03-29T02:23:00.000Z, 2.勤美 (1532) ：擬配息2.7元，優於106年配息1.5元，惟外資連日賣超，MACD多轉空，衝擊早盤股價重挫逾5.5%，摔出季線。
2019-03-27T07:13:00.000Z,機電股亞德客-KY (1590) 擁高券資比及高股息題材噴出大漲近6%，帶動智伸科 (4551) 、寶一 (8222) 、車王電 (1533) 、勤美 (1532) 等集體勁揚，漲幅稱霸上市類股。
2019-06-20T07:02:00.000Z,外資買盤挺亞德客-KY (1590) 、上銀 (2049) ，股價亦連袂強漲，其他電機股如勤美 (1532) 、伸興 (1558) 、為升 (2231) 、智伸科 (4551) 、力達-KY (4552) 也同聲喊上，成為今日類股漲幅第二名。
2019-09-20T09:14:08.000Z,"
5.亞泥 (1102) ：每股成交價43.78元，成交量35萬股，成交金額1532萬3000元。"
2021-01-18T02:04:20.000Z,隨著國內疫情升溫，加上美國即將進行政權交接，市場氣氛轉趨謹慎，台股今天開高走低，指數一度急殺至15320.97點，重挫295.42點。
2021-03-20T08:44:37.000Z,勤美集團台中百億豪宅「勤美之森」建築工地，主動向半導體龍頭台積電釋出願無償提供地下水資源當備援取水之用，每小時約可供水800噸、單日約2萬噸，台積電在完成水質檢測後，昨晚派水車進行載水路線的測試。
2021-03-20T08:44:37.000Z,此消息一出，另一家半導體大廠－台灣美光也主動找上勤美爭取地下水源，昨日派員前往工地取樣水質，以期開闢更多元的備援取水點。
2021-03-20T08:44:37.000Z,由於主動爭取地下水源的廠商太多，勤美集團擔心水資源有限，加上台積電已正面回應將列為備援取水點，因此原則上將以台積電為優先供水對象。
2021-03-20T08:44:37.000Z,據悉，台積電在獲知「勤美之森」建築工地願無償提供地下水資源訊息後，感到相當訝異，不知道建築工地原來擁有如此豐沛的地下水源。
2021-03-20T08:44:37.000Z,勤美集團董事長林廷芳決定超前部署，由於台中「勤美洲際酒店新建工程」預計下周日（3/28）將舉辦上樑祈福典禮，勤美預計在工地周邊準備16座、每座1公噸的大型水桶，提供附近居民免費取水。
2021-03-20T08:44:37.000Z,林廷芳表示，「勤美之森」在建案透過自動化監測設備、IoT（物聯網）、大數據分析及抽水機控制系統的建置，精準控制地下水位，有效避免水資源超抽浪費。
2021-03-23T07:42:15.000Z,（中央社記者蔡芃敏台北2021年03月23日電）台中房市火熱，在全台水情吃緊之際，勤美集團抽取台中建案地下水，每日地下水量達2萬噸，除了提供一般用水，也無償給予台積電 (2330) 等科技廠業者使用。
2021-03-23T07:42:15.000Z,勤美集團 (1532) 表示，旗下璞真建設建案「勤美之森」透過自動化監測設備、IoT（物聯網）、大數據分析及抽水機控制系統，精準控制地下水位，有效避免水資源超抽浪費，目前每天抽出2萬噸地下水再利用。
2021-03-23T07:42:15.000Z,勤美主管說，勤美之森建案鄰近中科，日前主動與台積電聯繫，因地下水水質佳，台積電已派水車、進行試水，台積電視需求抽取，建案每天至少可提供台積電逾千噸水資源。
2021-03-24T11:39:14.000Z,對於勤美集團抽取台中建案地下水，無償提供使用，台積電已派水車、進行試水，初步評估可供廠務相關使用，有助於用水調度。
2021-03-25T23:41:17.000Z,全台面臨56年來最嚴重旱象，苗栗、台中將自4月6日展開「供5停2」分區供水，由於中科園區廠商自主節水即將提高到15％，「護國神山」台積電為了增加用水來源，25日正式啟動從台中「勤美之森」建築工地取水案，主要就近供應中科15廠區使用。
2021-03-25T23:41:17.000Z,台積電表示，「勤美之森」工地每天約可供應2萬噸地下水源，而每台水車可載25噸，將調度安排水車「盡量載、用力載！
