PublishDate,Sentence
2019-04-24T02:09:00.000Z, 4.中宇 (1535) ：短線跌多且深，今低接買盤湧入，爆量急拉漲停，日KD黃金交叉、突破短期整理區間。
2019-09-20T09:14:08.000Z,"
27.慧洋-KY (2637) ：每股成交價30.7元，成交量50萬股，成交金額1535萬元。"
2019-09-25T02:06:01.000Z,"
33.中宇 (1535) ：外資昨日轉買超，早盤買方氣旺，跳空上漲逾3%。"
2019-09-25T02:06:00.000Z, 33.中宇 (1535) ：外資昨日轉買超，早盤買方氣旺，跳空上漲逾3%。
2019-10-04T02:08:04.000Z,"
31.中宇 (1535) ：外資昨轉向買超，早盤漲逾2%，最高衝上37.7元，創波段新高。"
2019-10-04T02:08:00.000Z, 31.中宇 (1535) ：外資昨轉向買超，早盤漲逾2%，最高衝上37.7元，創波段新高。
2019-10-04T02:08:04.000Z,"
31.中宇 (1535) ：外資昨轉向買超，早盤漲逾2%，最高衝上37.7元，創波段新高。"
2019-10-04T02:08:00.000Z, 31.中宇 (1535) ：外資昨轉向買超，早盤漲逾2%，最高衝上37.7元，創波段新高。
2019-12-13T09:13:57.000Z,"
24.緯創 (3231) ：每股成交價29.6元，成交量358萬1535股，成交金額1億601萬3436元。"
2020-03-12T09:14:39.000Z,"
7.皇鼎 (5533) ：每股成交價15.35元，成交量100萬股，成交金額1535萬元。"
2020-06-12T01:15:47.000Z,前波飆股生技、觀光領跌，股王大立光 (3008) 重挫跌破10日線，台積電 (2330) 也撐不住，周四指數下跌184.39點收在11535.77點，成交量放大到2384億元。
2020-09-29T05:58:57.000Z,"
加權股價指數終場收在12467.73點，小漲4.97點，漲幅0.04%，成交值來到新台幣1535.85億元。"
2020-09-29T05:58:57.000Z,"
加權股價指數終場收在12467.73點，小漲4.97點，漲幅0.04%，成交值來到新台幣1535.85億元。"
2021-07-12T08:48:00.000Z,新竹市今（12）日新增一名新冠肺炎確診個案，為案15355，市長林智堅指出，案15355為30多歲男性，曾有台北地區活動史，10日出現症狀後就醫採檢，今PCR陽性確診。
2021-07-12T08:48:00.000Z,林智堅表示，案15355公司位於新竹縣，但公司宿舍在竹市，目前宿舍人員已進行全面篩檢。
2021-07-12T08:48:00.000Z,案15355足跡部分，7月1日曾到全聯福利中心新竹食品店，5日曾到全家便利商店新竹東大店、美麗果水果專賣店，6日到統一超商鳳美門市，8日到威帝美髮沙龍東南店等。
2021-07-12T08:48:00.000Z,另外，台積電公布新增三名員工確診新冠肺炎，包含案15355，目前公司防疫委員會業已匡列其密切接觸者百餘人進行PCR檢測，並進行居家隔離，同時針對同仁活動場域加強消毒，此事件不影響公司營運，相關細節以政府公開資訊為主。
2021-07-12T08:48:00.000Z,▼案15355足跡（圖／新竹市政府提供）（封面圖／東森新聞）更多東森財經新聞報導Rt值連3週＜1！
2021-07-13T07:38:32.000Z,新竹市13日零確診，但昨天確診的竹科台積電員工案15355有1位同事也確診，因戶籍在苗栗，確診個案登錄在苗栗，市長林智堅表示，苗栗新增的個案為案15385，為30多歲男性，戶籍地在苗栗，但常往返竹市，已匡列6人並採檢，4人PCR陰性，2人待結果。
2021-07-13T07:38:32.000Z,另，市府昨天針對案15355匡列的18名接觸者居家隔離，採檢結果全數PCR陰性，宿舍目前採檢286人也全數陰性。
2021-07-13T06:52:30.000Z,林智堅指出，案15355工作的廠區位於新竹縣，平日居住位於新竹市的公司宿舍，平日生活單純，除了工作就返回宿舍休息，目前宿舍人員已全面篩檢。
