PublishDate,Sentence
2017-05-23T07:01:00.000Z,正峰新 (1538) 受惠綠能科技產業搭上「520後行情」，買盤持續簇擁，股價強鎖漲停。
2017-05-23T02:14:00.000Z,正峰新 (1538) 受惠綠能科技產業搭上「520後行情」，昨日拉出一根長紅棒後，今早買盤持續簇擁，股價強鎖漲停。
2017-08-10T06:01:00.000Z,  台積電半年報出爐，營收4477.69億元，毛利率上揚至51.41%，營業淨利1786.07億元，稅後盈餘1538.99億元，年增率12.1%，EPS 5.94元。
2019-01-28T02:12:00.000Z, 12.上詮 (3363) ：5G題材強強滾，上周五獲三大法人聯手買超1538張，早盤火速攻頂，強登波段高點。
2019-03-22T02:12:00.000Z, 2.南亞科 (2408) ：昨外資大舉買超15384張，加上昨夜美光大漲9.62%，推升早盤股價續漲至64.7元、漲幅逾3%。
2019-11-26T02:15:20.000Z,"
24.正峰新 (1538) ：桃園平鎮廠房售出，估獲利1.57億元，早盤亮燈漲停，一舉收復5日線、周線及月線。"
2019-11-26T02:15:00.000Z, 24.正峰新 (1538) ：桃園平鎮廠房售出，估獲利1.57億元，早盤亮燈漲停，一舉收復5日線、周線及月線。
2019-12-10T02:08:00.000Z, 22.正峰新 (1538) ：11月營收2651萬元，月增6.01%，早盤亮燈漲停。
2020-02-03T02:18:38.000Z,"
32.正峰新 (1538) ：不敵大盤拖累，早盤跌停鎖死。"
2020-02-03T02:18:00.000Z,  32.正峰新 (1538) ：不敵大盤拖累，早盤跌停鎖死。
2020-02-03T02:18:38.000Z,"
32.正峰新 (1538) ：不敵大盤拖累，早盤跌停鎖死。"
2020-02-03T02:18:00.000Z,  32.正峰新 (1538) ：不敵大盤拖累，早盤跌停鎖死。
2020-02-25T06:48:54.000Z,國際股市殺聲隆隆，美股昨夜重挫千點，亞股今早剉咧等，台股在盤初急跌百餘點、探至11415.47點後，回測半年線，惟權值三王台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 多頭回神重掌兵符，攜手搖旗反攻，帶領其他電子、半導體、電子零組件等主要電子族群步步逼退空軍，午盤過後成功收復失土、持穩盤上，最高來到11567.09點，惟臨收台積電、鴻海遭空軍突襲，漲幅雙雙縮減，大盤漲點也同步降至5.36點，收11540.23點，總成交值則放大至1538.15億元；店頭市場收146.48點，下跌0.08點，總成交值376.22億元。
2020-02-25T06:48:00.000Z,國際股市殺聲隆隆，美股昨夜重挫千點，亞股今早剉咧等，台股在盤初急跌百餘點、探至11415.47點後，回測半年線，惟權值三王台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 多頭回神重掌兵符，攜手搖旗反攻，帶領其他電子、半導體、電子零組件等主要電子族群步步逼退空軍，午盤過後成功收復失土、持穩盤上，最高來到11567.09點，惟臨收台積電、鴻海遭空軍突襲，漲幅雙雙縮減，大盤漲點也同步降至5.36點，收11540.23點，總成交值則放大至1538.15億元；店頭市場收146.48點，下跌0.08點，總成交值376.22億元。
2020-03-25T03:00:00.000Z,"
回顧同二，周二亞洲股市領先美股強彈，脫離近期偏弱走勢，台股早盤跳空開高，台積電等蘋概三王領軍走高，終場加權指數上漲395.59點，漲幅4.45%，收在9,285.62點，收紅K棒，且收復十年線，成交值擴增至1538.30億元。"
2020-03-25T03:00:00.000Z,"
回顧同二，周二亞洲股市領先美股強彈，脫離近期偏弱走勢，台股早盤跳空開高，台積電等蘋概三王領軍走高，終場加權指數上漲395.59點，漲幅4.45%，收在9,285.62點，收紅K棒，且收復十年線，成交值擴增至1538.30億元。"
2021-07-13T07:38:32.000Z,新竹市13日零確診，但昨天確診的竹科台積電員工案15355有1位同事也確診，因戶籍在苗栗，確診個案登錄在苗栗，市長林智堅表示，苗栗新增的個案為案15385，為30多歲男性，戶籍地在苗栗，但常往返竹市，已匡列6人並採檢，4人PCR陰性，2人待結果。
