PublishDate,Sentence
2019-06-17T04:14:13.000Z,"
6.錩泰 (1541) ：業績題材續熱，多頭熱情不減，早盤股價再漲逾6%。"
2019-06-17T04:14:00.000Z, 6.錩泰 (1541) ：業績題材續熱，多頭熱情不減，早盤股價再漲逾6%。
2019-09-11T02:17:15.000Z,"
34.錩泰 (1541) ：8月營收4.18億元，年增10.03%，早盤多頭搶進大漲6%，收復10日、20日線。"
2019-09-11T02:17:00.000Z, 34.錩泰 (1541) ：8月營收4.18億元，年增10.03%，早盤多頭搶進大漲6%，收復10日、20日線。
2019-11-07T09:13:58.000Z,"
10.台積電 (2330) ：每股成交價308.38元，成交量5萬股，成交金額1541萬9000元。"
2019-11-20T02:16:07.000Z,"
19.錩泰 (1541) ：三大法人連買超3日，早盤多方進場、漲逾4%，挑戰前高。"
2019-11-20T02:16:00.000Z, 19.錩泰 (1541) ：三大法人連買超3日，早盤多方進場、漲逾4%，挑戰前高。
2019-11-28T02:26:00.000Z, 33.錩泰 (1541) ：外資昨轉買超，擺脫連日跌勢，早盤漲逾2%，挑戰重返40元。
2020-02-11T01:56:00.000Z,  18.錩泰 (1541) ：1月營收月增60.37%、年增19.69%，早盤跳漲逾5%，收復周線。
2020-03-09T03:50:00.000Z,  不過，儘管台股指數表現不佳，中小型個股表現亮眼的不少，永光 (1711) 、神隆 (1789) 、中生化 (1762) 、台耀 (4746) 及台康生技 (6589) 等盤中股價逆勢強攻漲停板，申豐 (6582) 及生泰 (1777) 等盤中股價逆勢走高，加上台股跌深後，搶短買盤進場，台股指數在中場過後急速向上拉升，截至11點35分為止，加權股價指數為11075.71點，下跌246.1點，成交量1541.11億元；OTC指數為141.15點，下跌3.11點，成交量277.32億元。
2020-04-10T09:12:32.000Z,8.統一超 (2912) ：每股成交價289.17元，成交量5萬3300股，成交金額1541萬2761元。
2021-01-28T07:10:15.000Z,（中央社台北2021年1月28日電）台股今天跌285.57點，收在15415.88點，成交值新台幣交3593.29億元。
2021-02-01T11:18:24.000Z,台股今天雖然一度翻黑，但震盪走高，終場勁揚271.78點，收在15410.09點，外資也終止連六賣，回補台股逾百億元。
2021-02-01T11:18:24.000Z,台股今天雖然一度翻黑，但震盪走高，終場勁揚271.78點，收在15410.09點，外資也終止連六賣，回補台股逾百億元。
